pair,contrast_x,contrast_y,n_all,pearson_all,pearson_ci_lo,pearson_ci_hi,spearman_all,spearman_ci_lo,spearman_ci_hi,sign_concordance_pct,n_sig,pearson_sig,spearman_sig,sign_conc_sig
Training,Training_HR,Training_LR,1919,0.2184,0.1754,0.2606,0.1997,0.1563,0.2423,58.9,82,0.2748,0.3168,67.1
Acute,Acute_HR,Acute_LR,1918,0.3839,0.345,0.4214,0.1629,0.119,0.2062,54.8,168,0.4886,0.2535,72
