pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,Regulation Of Monoatomic Ion Transport,GO:BP,-1.466,-1.395,0.192,0.3574,NS,86
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT,Sarcoplasmic Reticulum Calcium Ion Transport,GO:BP,-1.339,-1.521,0.5042,0.4029,NS,24
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Ribonucleoside Monophosphate Biosynthetic ...,GO:BP,-1.223,-1.627,0.6528,0.3444,NS,15
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT,Protein Transmembrane Transport,GO:BP,1.396,1.451,0.4299,0.5188,NS,19
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,Regulation Of Release Of Sequestered Calci...,GO:BP,-1.575,-1.271,0.2281,0.7035,NS,23
GOBP_RESPONSE_TO_ETHANOL,Response To Ethanol,GO:BP,1.35,-1.492,0.4896,0.43120000000000003,NS,24
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT,Organophosphate Ester Transport,GO:BP,1.584,-1.257,0.2676,0.7308,NS,17
GOBP_IMPORT_INTO_THE_MITOCHONDRION,Import Into The Mitochondrion,GO:BP,1.669,1.168,0.1614,0.8221,NS,21
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS,Polysaccharide Metabolic Process,GO:BP,1.141,1.694,0.6905,0.3199,NS,32
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Negative Regulation Of Transferase Activity,GO:BP,-1.08,-1.752,0.7479,0.3199,NS,26
GOBP_REGULATION_OF_AMIDE_METABOLIC_PROCESS,Regulation Of Amide Metabolic Process,GO:BP,-1.573,-1.254,0.2691,0.7174,NS,17
GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Regulation Of G Protein Coupled Receptor S...,GO:BP,1.291,-1.532,0.5751,0.4398,NS,16
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE,Negative Regulation Of Cell Cycle,GO:BP,-1.17,-1.639,0.6863,0.3444,NS,22
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Regulation Of Intracellular Protein Transport,GO:BP,-1.088,-1.719,0.7469,0.3199,NS,30
