pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
GOBP_CYTOPLASMIC_TRANSLATION,4.7872658481756456e-4,0.47202441263011863,1.7533870691133597,32,102,,GO:BP,2.210748736793753,Concordant Up,Cytoplasmic Translation,0.32603553950918523,FALSE
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.0013222064102738692,0.6518477602650175,1.754661332971727,27,86,,GO:BP,2.1940034327397555,Concordant Up,Actin Filament Organization,0.18585382236173265,FALSE
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,0.005281722312188257,0.6776964271219376,1.8629737609329446,17,51,,GO:BP,2.361963190184049,Concordant Up,Regulation Of Cellular Component Size,0.16896480399449915,FALSE
HALLMARK_MYC_TARGETS_V1,0.005429042488919197,0.6776964271219376,1.5242512589451365,33,121,,Hallmark,1.7975806451612903,Concordant Up,MYC Targets V1,0.16896480399449915,FALSE
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,0.006432347932704439,0.6776964271219376,1.5584492038573672,29,104,,GO:BP,1.8459023354564756,Concordant Up,Membraneless Organelle Assembly,0.16896480399449915,FALSE
HALLMARK_HEME_METABOLISM,4.327002356024972e-9,4.266424323040623e-6,2.3631656804733727,35,52,,Hallmark,5.455278001611603,Discordant Acute Up,Heme Metabolism,5.369935953389446,TRUE
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,4.6870609783006055e-5,0.023107210623021984,2.442427138079312,16,23,,GO:BP,5.882479784366577,Discordant Acute Up,Defense Response To Bacterium,1.6362524770282052,TRUE
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,0.0019540567605807477,0.6093300282200502,2.2718164188752423,11,17,,GO:BP,4.677570093457944,Discordant Acute Up,Nucleoside Monophosphate Biosynthetic Process,0.21514741900514384,FALSE
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,0.002471927092170589,0.6093300282200502,2.0746753246753245,13,22,,GO:BP,3.6910569105691056,Discordant Acute Up,Glycoprotein Metabolic Process,0.21514741900514384,FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.004229731622605048,0.6443474142151608,1.9844720496894408,13,23,,Hallmark,3.319512195121951,Discordant Acute Up,Reactive Oxygen Species Pathway,0.19087990997854948,FALSE
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,7.304474860327119e-8,7.202212212282538e-5,1.5430774823431657,93,174,,GO:BP,2.3566193163391063,Discordant Training Up,Energy Derivation By Oxidation Of Organic ...,4.142534086343586,TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.714744912819307e-5,0.009297476968079673,1.4340892983699502,76,153,,Hallmark,1.974025974025974,Discordant Training Up,OXPHOS,2.031634888811775,TRUE
GOBP_FATTY_ACID_METABOLIC_PROCESS,3.8351502086608064e-4,0.06302430176232592,1.4570149757910145,54,107,,GO:BP,2.0043303433343644,Discordant Training Up,Fatty Acid Metabolic Process,1.2004919571144073,FALSE
GOBP_OXIDATIVE_PHOSPHORYLATION,0.0011183277713492919,0.14227748451637284,1.4292317785995468,50,101,,GO:BP,1.9192693363990547,Discordant Training Up,OXPHOS,0.8468638217988519,FALSE
GOBP_GLUCAN_METABOLIC_PROCESS,0.0011543812131145869,0.14227748451637284,1.8284638554216865,19,30,,GO:BP,3.32600422832981,Discordant Training Up,Glucan Metabolic Process,0.8468638217988519,FALSE
