set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within
ac_hr_up,62,Up,0.035549018355605394,1.2687988826110508e-7,Up,TRUE,0.1734822745460805
ac_hr_down,30,Down,0.055070192971275564,0.24513313467987186,Down,TRUE,0.1734822745460805
