gene,uniprot_id,set,t_acute_hr,t_acute_lr,logFC_Acute_HR,logFC_Acute_LR,pi_score_Acute_HR
ARPC2,O15144,ac_hr_up,2.62310160523537,0.671809215057588,0.906497741399221,0.206810386237127,0.0200619703328961
HNRNPR,O43390,ac_hr_up,3.77040234663897,3.53199302003731,0.733151514336107,0.642436048334954,0.00376303929383952
SYNCRIP,O60506,ac_hr_up,4.0932010014456,1.41794157450389,0.726925445795917,0.235540267882691,0.00196763306977202
FN1,P02751,ac_hr_up,2.72396039212807,2.80176748986496,1.04168841453771,1.00830067958988,0.00896175073552734
LTF,P02788,ac_hr_up,2.49848736733334,2.29920448538083,5.05135798990005,4.54103363745918,4.66037390447444e-9
ANXA1,P04083,ac_hr_up,2.1218364648884,1.08951909310269,0.987227163576204,0.474180903297945,0.0413314497339176
S100A8,P05109,ac_hr_up,5.84328000149236,8.30519911953011,3.81171172676292,5.06777618666716,2.1928140301255997e-24
RPLP1,P05386,ac_hr_up,2.57044642692378,0.634859411605402,0.892544229538647,0.206206703050764,0.0217363641317769
RPLP2,P05387,ac_hr_up,2.86577419166636,0.7974935282058,0.70313829847829,0.183033245401887,0.0287266014994508
S100A9,P06702,ac_hr_up,5.03119028739182,8.26858398694843,3.67704158110119,5.6524791399254,4.40181555716656e-19
CD63,P08962,ac_hr_up,2.1779264927279,0.327182497048939,1.00793893640832,0.10599699445763,0.0377107757310539
IFITM1,P13164,ac_hr_up,1.74273679641,1.82059688023418,1.29594025399717,1.03291397001892,0.0490217269641956
RPA2,P15927,ac_hr_up,3.13297874249136,2.09308038308195,0.919133626570508,0.483963091416657,0.0061678942223479
RPL7,P18124,ac_hr_up,2.78583703351227,0.12749552046986,0.783422637841781,0.0335381700268194,0.0225747090214445
NCL,P19338,ac_hr_up,3.48169525566821,0.610947354102203,0.731744264752344,0.120109230976798,0.00710211847740555
HMGB2,P26583,ac_hr_up,2.42955708425707,1.81181447691121,1.23824926369346,0.750545523360564,0.00876272668833613
RPL12,P30050,ac_hr_up,2.6649175868964,0.0775945033853589,0.850095758819506,0.0239255175015174,0.0214350859853064
GPC1,P35052,ac_hr_up,3.36985756655806,1.85987217816817,2.15376243443627,0.857356121117729,1.13521552674568e-5
HNRNPA3,P51991,ac_hr_up,2.8939877453797,2.40861815809936,1.12520905391776,0.828669206176535,0.00341689676124465
ARHGDIB,P52566,ac_hr_up,2.21550650001804,2.41265563610138,1.47053186007504,1.43827629104003,0.00756010705462282
RRAD,P55042,ac_hr_up,3.16947080775916,2.50966815608721,1.84273371415347,1.20815229851652,2.33411510546405e-5
LYZ,P61626,ac_hr_up,2.90506211157673,3.55506528482133,2.51838654895084,3.45709942159943,4.32340681340907e-6
RPL7A,P62424,ac_hr_up,2.63700063667139,1.10684865365989,0.874910339699145,0.343514902118294,0.0202549836158587
H2BC4,P62807,ac_hr_up,2.25299879198938,1.56225175278788,1.02964148363781,0.667851829428859,0.0265039870955639
ARHGAP1,Q07960,ac_hr_up,3.4273726616253,0.0669819617376553,1.21343988946553,0.019861188440828,4.2156928678798e-4
ILF3,Q12906,ac_hr_up,4.79999522643777,1.67420827581035,1.44165666054583,0.416388193560117,1.17891448329243e-6
DHCR24,Q15392,ac_hr_up,2.32230163346468,0.312248855873035,1.27206694284853,0.110568322324365,0.0126391181845566
MAPRE1,Q15691,ac_hr_up,3.02551839778658,0.085645005108364,0.643578043225943,0.0163905824318036,0.0301135819336189
HNRNPUL2,Q1KMD3,ac_hr_up,3.28940346742781,1.25428836776118,1.58311997010905,0.50050078244311,9.09168662573847e-5
DCAF8,Q5TAQ9,ac_hr_up,1.53344916779085,0.990062449128087,1.64142828280947,2.05594363148716,0.0461777479622068
FERMT3,Q86UX7,ac_hr_up,2.17091499692889,1.86063536627082,2.12931120122449,1.64445290034254,0.00234945366967369
ECHDC2,Q86YB7,ac_hr_up,2.33074314310294,1.82672829345757,0.863442519655166,0.464416054682466,0.0497872602866276
SYNE2,Q8WXH0,ac_hr_up,2.60089154767543,4.6289141809421,1.96620015711884,3.11715452685193,3.0673094301647e-4
OSTF1,Q92882,ac_hr_up,2.62443481771438,1.68881192952778,2.28542014214033,0.913871150625685,1.6781411756064e-4
TPPP3,Q9BW30,ac_hr_up,2.60020299911268,0.239143066993569,1.74597975335946,0.160405304553102,7.915843076195e-4
BOLA2,Q9H3K6,ac_hr_up,2.47608851500016,0.245176194444866,0.794293342298555,0.0743564606618641,0.0444777856382332
APMAP,Q9HDC9,ac_hr_up,2.88247453600051,3.0398874306964,0.93412316532855,0.955050366989873,0.00891615127577382
DNAJB4,Q9UDY4,ac_hr_up,2.70900892805708,0.718060006621488,0.912548171612045,0.261912797596281,0.015808765463378
NAGK,Q9UJ70,ac_hr_up,2.5156233443232,0.797099251829569,0.731484665553044,0.224202580768743,0.0485825202220608
NUBP2,Q9Y5Y2,ac_hr_up,2.85976036406532,1.39832877219235,1.43374205329188,1.05931369933238,0.00163435437392731
FBP2,O00757,ac_hr_down,-2.94111525043096,-0.338169369168555,-0.64031837328417,-0.0688687522218174,0.0346945753991347
CALU,O43852,ac_hr_down,-3.2875512875137902,-1.68779803457134,-0.520067644451192,-0.249753625861853,0.0396920194451911
EPM2A,O95278,ac_hr_down,-2.52251162957964,-1.62964005975878,-0.860247908369438,-0.460825859149445,0.0286570227106406
HLA-C,P10321,ac_hr_down,-2.47862156139267,-1.4433718773756,-1.75284543092747,-0.806175714249884,0.00186954606646687
KRT10,P13645,ac_hr_down,-2.0667259255661,-1.56111396907724,-1.1703975373469,-0.826968844842206,0.0264082197284056
TPSB2,P20231,ac_hr_down,-2.80935065508814,-1.73529069091344,-0.977387141326219,-0.533254049171866,0.00923597275643868
HMGCL,P35914,ac_hr_down,-3.23756763929434,-0.582477944743519,-0.72372984907344,-0.117179633865341,0.0131081332369783
MAP2K6,P52564,ac_hr_down,-3.2874964103374,-0.882952789780923,-0.659452162676057,-0.165675968934814,0.0167179459380488
CD81,P60033,ac_hr_down,-2.92632407698758,-2.47516480156526,-1.07134831944495,-0.775739778659187,0.00389431789050394
CACNG1,Q06432,ac_hr_down,-2.8991005327286,-1.66437485205986,-0.868066391640706,-0.491901312462131,0.0138187050728355
COX19,Q49B96,ac_hr_down,-2.66988417222483,-0.0977131146469624,-0.731898614259265,-0.0250562104152046,0.0360431407881138
RCSD1,Q6JBY9,ac_hr_down,-3.03473222733834,-3.0036149680261,-0.63127836557079,-0.584451954971158,0.0310132956863947
ATPAF2,Q8N5M1,ac_hr_down,-2.81251194678365,-1.69213477857482,-0.804576680906237,-0.467839206977995,0.0196945385697507
UBA3,Q8TBC4,ac_hr_down,-3.18758798814452,-1.02359417317078,-0.63256878223822,-0.182868029975474,0.0237842431365989
LRRC20,Q8TCA0,ac_hr_down,-2.84286750982603,-1.11617454248772,-0.672031903712245,-0.24681378398784,0.0350046471137061
PNPT1,Q8TCS8,ac_hr_down,-3.06626738399625,-4.4627936738754,-0.863656159819833,-1.07532472808507,0.00856577428562836
CHCHD10,Q8WYQ3,ac_hr_down,-2.77911103972638,-0.823778598518915,-1.10185755372584,-0.302347771335914,0.00518438549802476
PHKB,Q93100,ac_hr_down,-2.83287610066729,-0.955577071354681,-0.702369181980234,-0.221619318044887,0.0306492301457146
ACSF2,Q96CM8,ac_hr_down,-2.65689008255048,-0.889614131301496,-0.683787747392085,-0.214167430536456,0.0458669658512395
PLIN4,Q96Q06,ac_hr_down,-3.1665030801972,-2.10359192645096,-0.643636445692035,-0.399968910406564,0.0229442837667764
MYLK2,Q9H1R3,ac_hr_down,-2.62478396585807,-0.0228562532237117,-0.7415985898682,-0.0060406600604388,0.0375410359183277
TPRKB,Q9Y3C4,ac_hr_down,-3.20837046563905,-0.00755562103383938,-1.59143079241448,-0.00250872997714957,2.8274780910417e-4
