pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,Regulation Of Protein Serine Threonine Kin...,GO:BP,-1.735,-2.02,0.0966,0.1134,NS,16
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,Mitochondrial RNA Metabolic Process,GO:BP,1.639,1.793,0.2158,0.2589,NS,15
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.688,1.67,0.1721,0.3147,NS,16
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY,Regulation Of Transferase Activity,GO:BP,-1.625,-1.618,0.113,0.2589,NS,47
GOBP_ACYL_COA_METABOLIC_PROCESS,Acyl Coa Metabolic Process,GO:BP,1.678,1.484,0.1112,0.3631,NS,36
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,Calcium Ion Transmembrane Import Into Cytosol,GO:BP,-1.49,-1.661,0.2671,0.2629,NS,38
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,Regulation Of Muscle Contraction,GO:BP,-1.596,-1.553,0.1424,0.3147,NS,49
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,Regulation Of Endothelial Cell Migration,GO:BP,1.53,1.618,0.2831,0.3147,NS,24
GOBP_RESPONSE_TO_UV,Response To Uv,GO:BP,-1.381,-1.76,0.4372,0.2589,NS,24
GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,Cytochrome Complex Assembly,GO:BP,1.83,1.29,0.08298,0.6953,NS,16
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Endoplasmic Reticulum Organization,GO:BP,-1.419,-1.698,0.3875,0.3147,NS,24
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,Negative Regulation Of Cytokine Production,GO:BP,-1.521,-1.587,0.2717,0.3147,NS,27
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,Regulation Of Muscle System Process,GO:BP,-1.6,-1.485,0.1152,0.3147,NS,64
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,Protein Transmembrane Import Into Intracel...,GO:BP,1.401,1.674,0.4479,0.3147,NS,15
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-1.366,-1.701,0.3786,0.1062,NS,25
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,Dicarboxylic Acid Metabolic Process,GO:BP,1.622,1.426,0.141,0.4172,NS,40
GOBP_REGULATION_OF_KINASE_ACTIVITY,Regulation Of Kinase Activity,GO:BP,-1.584,-1.445,0.1944,0.403,NS,36
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,Regulation Of Monoatomic Ion Transmembrane...,GO:BP,-1.566,-1.462,0.1225,0.3147,NS,67
GOBP_CALCIUM_MEDIATED_SIGNALING,Calcium Mediated Signaling,GO:BP,-1.492,-1.529,0.2669,0.3147,NS,38
GOBP_KETONE_BIOSYNTHETIC_PROCESS,Ketone Biosynthetic Process,GO:BP,1.889,1.125,0.05955,0.8514,NS,16
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,Monocarboxylic Acid Catabolic Process,GO:BP,1.626,1.386,0.1194,0.4747,NS,49
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,1.207,1.802,0.5924,0.1134,NS,51
GOBP_FATTY_ACID_BETA_OXIDATION,Fatty Acid Beta Oxidation,GO:BP,1.706,1.3,0.1112,0.6204,NS,36
GOBP_FATTY_ACID_CATABOLIC_PROCESS,Fatty Acid Catabolic Process,GO:BP,1.667,1.337,0.106,0.5783,NS,41
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Monoatomic Ion Tran...,GO:BP,-1.458,-1.544,0.3365,0.3175,NS,27
GOBP_REGULATION_OF_BLOOD_CIRCULATION,Regulation Of Blood Circulation,GO:BP,-1.636,-1.356,0.1001,0.4975,NS,53
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Regulation Of Calcium Ion Transmembrane Tr...,GO:BP,-1.467,-1.523,0.2757,0.3147,NS,44
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,Regulation Of Calcium Mediated Signaling,GO:BP,-1.567,-1.411,0.2506,0.5783,NS,17
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteasome Mediated Ubiquitin Dependent Pr...,GO:BP,-1.296,-1.679,0.4051,0.1271,NS,95
GOBP_CARDIAC_MUSCLE_CONTRACTION,Cardiac Muscle Contraction,GO:BP,-1.703,-1.259,0.07957,0.6423,NS,48
GOBP_HEART_PROCESS,Heart Process,GO:BP,-1.725,-1.232,0.05693,0.6423,NS,65
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,Cell Substrate Junction Organization,GO:BP,-1.463,1.485,0.3365,0.409,NS,24
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,Alcohol Biosynthetic Process,GO:BP,-1.239,-1.707,0.5924,0.2629,NS,29
GOBP_REGULATION_OF_HEART_CONTRACTION,Regulation Of Heart Contraction,GO:BP,-1.657,-1.289,0.1083,0.6204,NS,48
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,Polysaccharide Biosynthetic Process,GO:BP,1.137,1.791,0.7149,0.2589,NS,15
GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT,Regulation Of Calcium Ion Transport,GO:BP,-1.35,-1.576,0.3875,0.3147,NS,54
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,Mitochondrial Gene Expression,GO:BP,1.129,1.793,0.6924,0.1134,NS,44
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,Protein Localization To Cell Junction,GO:BP,-1.004,1.913,0.8305,0.1271,NS,17
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,Protein Targeting To Mitochondrion,GO:BP,1.558,1.332,0.1944,0.5847,NS,43
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Calcium Ion Transmembrane Transport,GO:BP,-1.128,-1.761,0.6863,0.1134,NS,61
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,Regulation Of Monoatomic Ion Transport,GO:BP,-1.46,-1.405,0.1944,0.317,NS,86
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Ribonucleoside Monophosphate Biosynthetic ...,GO:BP,-1.226,-1.639,0.6426,0.3147,NS,15
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT,Sarcoplasmic Reticulum Calcium Ion Transport,GO:BP,-1.345,-1.518,0.4959,0.3525,NS,24
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,Regulation Of Release Of Sequestered Calci...,GO:BP,-1.577,-1.276,0.2322,0.6919,NS,23
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT,Protein Transmembrane Transport,GO:BP,1.394,1.456,0.4469,0.4931,NS,19
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Negative Regulation Of Transferase Activity,GO:BP,-1.087,-1.753,0.7416,0.2589,NS,26
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT,Organophosphate Ester Transport,GO:BP,1.572,-1.268,0.2662,0.7046,NS,17
GOBP_IMPORT_INTO_THE_MITOCHONDRION,Import Into The Mitochondrion,GO:BP,1.665,1.168,0.162,0.7843,NS,21
GOBP_REGULATION_OF_AMIDE_METABOLIC_PROCESS,Regulation Of Amide Metabolic Process,GO:BP,-1.574,-1.259,0.2448,0.7146,NS,17
GOBP_RESPONSE_TO_ETHANOL,Response To Ethanol,GO:BP,1.339,-1.489,0.4875,0.3906,NS,24
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS,Polysaccharide Metabolic Process,GO:BP,1.13,1.697,0.7045,0.2589,NS,32
GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Regulation Of G Protein Coupled Receptor S...,GO:BP,1.279,-1.543,0.5841,0.3694,NS,16
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE,Negative Regulation Of Cell Cycle,GO:BP,-1.17,-1.651,0.6803,0.3147,NS,22
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,Peptidyl Amino Acid Modification,GO:BP,-1.293,-1.525,0.5001,0.3147,NS,43
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Regulation Of Intracellular Protein Transport,GO:BP,-1.088,-1.729,0.7427,0.2589,NS,30
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Extrinsic Apoptotic...,GO:BP,-1.503,-1.309,0.3221,0.6784,NS,17
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Calcium Ion Transme...,GO:BP,-1.047,-1.763,0.7759,0.2589,NS,17
GOBP_CARDIAC_CELL_DEVELOPMENT,Cardiac Cell Development,GO:BP,-1.756,1.033,0.06838,0.879,NS,21
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,Positive Regulation Of Transferase Activity,GO:BP,-1.545,-1.243,0.2669,0.7204,NS,21
