"engine","group_id","source","ID","Description","GeneRatio","pvalue","p.adjust","Count"
"wgcna","blue","GO_BP","GO:0065007","biological regulation","49/58",0.000241728510056705,0.0302967006285432,49
"wgcna","blue","GO_BP","GO:0050789","regulation of biological process","48/58",0.000456044058933312,0.0302967006285432,48
"wgcna","blue","GO_BP","GO:0048523","negative regulation of cellular process","29/58",0.000484060930644273,0.0302967006285432,29
"wgcna","blue","GO_BP","GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","7/58",0.000593152419409157,0.0302967006285432,7
"wgcna","blue","GO_BP","GO:0060142","regulation of syncytium formation by plasma membrane fusion","7/58",0.000593152419409157,0.0302967006285432,7
"wgcna","blue","GO_BP","GO:1901739","regulation of myoblast fusion","7/58",0.000593152419409157,0.0302967006285432,7
"wgcna","blue","GO_BP","GO:1901740","negative regulation of myoblast fusion","7/58",0.000593152419409157,0.0302967006285432,7
"wgcna","blue","GO_BP","GO:0048519","negative regulation of biological process","29/58",0.000613056917547954,0.0302967006285432,29
"wgcna","blue","GO_BP","GO:0050794","regulation of cellular process","47/58",0.000671601738071154,0.0302967006285432,47
"wgcna","blue","GO_BP","GO:0051093","negative regulation of developmental process","8/58",0.000802147585785149,0.0303578003464467,8
"wgcna","blue","GO_BP","GO:0003006","developmental process involved in reproduction","9/58",0.000887332433743581,0.0303578003464467,9
"wgcna","blue","GO_BP","GO:0051128","regulation of cellular component organization","20/58",0.000897274887087096,0.0303578003464467,20
"wgcna","blue","GO_BP","GO:0006941","striated muscle contraction","10/58",0.00149055261128541,0.046551104629375,10
"wgcna","blue","Reactome","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","9/41",0.000113214595339518,0.00156394924989222,9
"wgcna","blue","Reactome","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","9/41",0.000226480921457568,0.00156394924989222,9
"wgcna","blue","Reactome","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","8/41",0.000234592387483833,0.00156394924989222,8
"wgcna","blue","Reactome","REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION","8/41",0.000234592387483833,0.00156394924989222,8
"wgcna","blue","Reactome","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","8/41",0.000234592387483833,0.00156394924989222,8
"wgcna","blue","Reactome","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","8/41",0.000234592387483833,0.00156394924989222,8
"wgcna","blue","Reactome","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","8/41",0.000234592387483833,0.00156394924989222,8
"wgcna","blue","Reactome","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","8/41",0.000234592387483833,0.00156394924989222,8
"wgcna","blue","Reactome","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","8/41",0.000234592387483833,0.00156394924989222,8
"wgcna","blue","Reactome","REACTOME_VIRAL_INFECTION_PATHWAYS","REACTOME_VIRAL_INFECTION_PATHWAYS","17/41",0.000469234869195873,0.00260952375953133,17
"wgcna","blue","Reactome","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","8/41",0.000478412689247411,0.00260952375953133,8
"wgcna","blue","Reactome","REACTOME_INFECTIOUS_DISEASE","REACTOME_INFECTIOUS_DISEASE","18/41",0.00090877670865767,0.00454388354328835,18
"wgcna","blue","Reactome","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","8/41",0.00156508295739816,0.00626033182959263,8
"wgcna","blue","Reactome","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","8/41",0.00156508295739816,0.00626033182959263,8
"wgcna","blue","Reactome","REACTOME_SIGNALING_BY_ROBO_RECEPTORS","REACTOME_SIGNALING_BY_ROBO_RECEPTORS","8/41",0.00156508295739816,0.00626033182959263,8
"wgcna","blue","Reactome","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","7/41",0.00188396501706099,0.00706486881397869,7
"wgcna","blue","Reactome","REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA","11/41",0.00422507970904416,0.0149120460319206,11
"wgcna","blue","Reactome","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","8/41",0.00611971032798244,0.0203990344266081,8
"wgcna","blue","Reactome","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","6/41",0.011120451742693,0.0351172160295569,6
"wgcna","blue","Reactome","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT","9/41",0.0160567137228736,0.0481701411686209,9
"wgcna","turquoise","GO_BP","GO:0045785","positive regulation of cell adhesion","9/73",1.82524225292366e-05,0.00424857201660388,9
"wgcna","turquoise","GO_BP","GO:0030155","regulation of cell adhesion","11/73",2.09289261901669e-05,0.00424857201660388,11
"wgcna","turquoise","GO_BP","GO:0001775","cell activation","13/73",0.000182220654465848,0.0168752025186435,13
"wgcna","turquoise","GO_BP","GO:0016477","cell migration","13/73",0.000182220654465848,0.0168752025186435,13
"wgcna","turquoise","GO_BP","GO:0007155","cell adhesion","12/73",0.000259569404225939,0.0168752025186435,12
