"uniprot_id","protein","gene","description","gene_symbol","S03_T1","S10_T1","S16_T1","S22_T1","S24_T1","S27_T1","S28_T1","S04_T1","S05_T1","S06_T1","S12_T1","S14_T1","S17_T1","S21_T1","S30_T1","S03_T2","S10_T2","S16_T2","S22_T2","S24_T2","S27_T2","S29_T2","S04_T2","S05_T2","S06_T2","S12_T2","S14_T2","S17_T2","S21_T2","S30_T2","S03_T3","S10_T3","S16_T3","S22_T3","S24_T3","S27_T3","S29_T3","S04_T3","S05_T3","S06_T3","S12_T3","S14_T3","S17_T3","S21_T3","S30_T3","logFC_Training_HR","CI.L_Training_HR","CI.R_Training_HR","average_intensity_Training_HR","t_Training_HR","B_Training_HR","P.Value_Training_HR","adj.P.Val_Training_HR","sig.PVal_Training_HR","sig.FDR_Training_HR","pi_score_Training_HR","sig_pi_Training_HR","logFC_Training_LR","CI.L_Training_LR","CI.R_Training_LR","average_intensity_Training_LR","t_Training_LR","B_Training_LR","P.Value_Training_LR","adj.P.Val_Training_LR","sig.PVal_Training_LR","sig.FDR_Training_LR","pi_score_Training_LR","sig_pi_Training_LR","logFC_Acute_HR","CI.L_Acute_HR","CI.R_Acute_HR","average_intensity_Acute_HR","t_Acute_HR","B_Acute_HR","P.Value_Acute_HR","adj.P.Val_Acute_HR","sig.PVal_Acute_HR","sig.FDR_Acute_HR","pi_score_Acute_HR","sig_pi_Acute_HR","logFC_Acute_LR","CI.L_Acute_LR","CI.R_Acute_LR","average_intensity_Acute_LR","t_Acute_LR","B_Acute_LR","P.Value_Acute_LR","adj.P.Val_Acute_LR","sig.PVal_Acute_LR","sig.FDR_Acute_LR","pi_score_Acute_LR","sig_pi_Acute_LR","logFC_Baseline_HRvLR","CI.L_Baseline_HRvLR","CI.R_Baseline_HRvLR","average_intensity_Baseline_HRvLR","t_Baseline_HRvLR","B_Baseline_HRvLR","P.Value_Baseline_HRvLR","adj.P.Val_Baseline_HRvLR","sig.PVal_Baseline_HRvLR","sig.FDR_Baseline_HRvLR","pi_score_Baseline_HRvLR","sig_pi_Baseline_HRvLR","logFC_Trained_HRvLR","CI.L_Trained_HRvLR","CI.R_Trained_HRvLR","average_intensity_Trained_HRvLR","t_Trained_HRvLR","B_Trained_HRvLR","P.Value_Trained_HRvLR","adj.P.Val_Trained_HRvLR","sig.PVal_Trained_HRvLR","sig.FDR_Trained_HRvLR","pi_score_Trained_HRvLR","sig_pi_Trained_HRvLR","logFC_Acute_HRvLR","CI.L_Acute_HRvLR","CI.R_Acute_HRvLR","average_intensity_Acute_HRvLR","t_Acute_HRvLR","B_Acute_HRvLR","P.Value_Acute_HRvLR","adj.P.Val_Acute_HRvLR","sig.PVal_Acute_HRvLR","sig.FDR_Acute_HRvLR","pi_score_Acute_HRvLR","sig_pi_Acute_HRvLR","logFC_Training_Interaction","CI.L_Training_Interaction","CI.R_Training_Interaction","average_intensity_Training_Interaction","t_Training_Interaction","B_Training_Interaction","P.Value_Training_Interaction","adj.P.Val_Training_Interaction","sig.PVal_Training_Interaction","sig.FDR_Training_Interaction","pi_score_Training_Interaction","sig_pi_Training_Interaction","logFC_Acute_Interaction","CI.L_Acute_Interaction","CI.R_Acute_Interaction","average_intensity_Acute_Interaction","t_Acute_Interaction","B_Acute_Interaction","P.Value_Acute_Interaction","adj.P.Val_Acute_Interaction","sig.PVal_Acute_Interaction","sig.FDR_Acute_Interaction","pi_score_Acute_Interaction","sig_pi_Acute_Interaction"
"A0A0B4J2D5","GAL3B_HUMAN","GATD3B","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial","=""GATD3B""",25.7753566437834,25.1985169982783,25.3412903094705,25.8973021457756,25.4152109554167,24.9351956678211,25.1404612898931,24.855554280882,24.906393336898,24.8582466490787,25.2075622667941,24.4121538609004,25.3810220622316,24.8305380107806,25.8277997166386,25.5016527491241,24.6987679644561,25.0050825433134,25.3911382669942,25.4985470247492,25.0556869097041,25.4788056032117,24.9695468782896,25.2112868062389,25.4142321921898,25.4906064815856,25.4050611143309,25.6859181555375,25.0723414684699,25.5590619257012,25.2862245637413,25.2205693544512,25.226853951546,25.5234344265034,25.7958331500264,25.1309005891056,25.3146388893399,25.2689525112977,25.1566499359829,25.2396079941685,25.4919233418118,25.1517375893132,25.3087324504524,24.8796622267529,25.6947526381458,-0.165183831503757,-0.467808430348836,0.137440767341321,25.2691291975817,-1.10074274970077,-5.02151225841683,0.277124267834714,0.831667371395931,0,0,0.808981980677691,0,0.316098104767441,0.0366328920005925,0.59556331753429,25.2691291975817,2.28095470508638,-3.45574168733499,0.0275581255718626,0.978684988765096,1,0,0.321340805706761,0,0.124110551880179,-0.174650327461373,0.42287143122173,25.2691291975817,0.837736624574109,-5.29544245707222,0.406804761680306,0.803702688279824,0,0,0.89437712780105,0,-0.0770045418022889,-0.356469754569138,0.20246067096456,25.2691291975817,-0.555662527828745,-5.43607216057452,0.581317445526264,0.988493835914496,0,0,0.959088665337391,0,0.356255803786592,0.0353389575205616,0.677172650052622,25.2691291975817,2.23867968037231,-4.3129201566076,0.0303982715474553,0.996539969772052,1,0,0.288075359097571,0,-0.125026132484606,-0.446203310623836,0.196151045654623,25.2691291975817,-0.785016244504495,-4.70307953140701,0.436742140762884,0.998358778940204,0,0,0.90161003230837,0,0.0760889611978612,-0.245088216941369,0.397266139337091,25.2691291975817,0.477748686460788,-4.83499916986177,0.635245545735926,0.954302642616697,0,0,0.966064299460267,0,-0.481281936271198,-0.893207236505312,-0.0693566360370846,25.2691291975817,-2.35615371155093,-4.38849966961451,0.0230864633080482,0.999083237378713,-1,0,0.163047252096325,0,0.201115093682468,-0.20798008860615,0.610210275971085,25.2691291975817,0.991386099713289,-4.59886839185219,0.327035754073141,0.881617841825402,0,0,0.798689132829966,0
"A0FGR8","ESYT2_HUMAN","ESYT2","Extended synaptotagmin-2","=""ESYT2""",NA,NA,NA,NA,16.8432284244346,NA,17.2044260374723,16.6182347607491,16.6475406705088,NA,NA,16.41785635883,NA,16.7219882549277,16.3961999743061,NA,NA,16.6914312078213,16.7673705068144,NA,16.523042111984,NA,16.1803182290305,15.8177935127881,16.0632271453315,16.3738973876681,17.0119174896619,NA,15.7731596593386,NA,16.7861672817708,17.4322282957551,16.6714030293627,16.1073284849397,NA,17.0748204616157,NA,17.2159857762349,NA,NA,NA,17.0116785141913,NA,NA,16.3004927523226,-0.325727388908557,-1.02384128720771,0.372386509390597,16.6104890136608,-0.967482841969875,-4.81743886431574,0.343791416333852,0.85273221562906,0,0,0.706250211081497,0,-0.377806774273509,-0.832171017383976,0.0765574688369576,16.6104890136608,-1.72417312802207,-4.19529116140181,0.0986647565987527,0.999124715295518,-1,0,0.416857489062334,0,0.116289668643862,-0.434464422910206,0.66704376019793,16.6104890136608,0.437823107165065,-5.26806407537786,0.665771716654803,0.883609934293317,0,0,0.95379394816965,0,0.633267971670474,0.102785330715401,1.16375061262555,16.6104890136608,2.47532155988714,-3.23350198552416,0.0214693742046474,0.621107211698362,1,0,0.0878202453298702,0,0.460911081461219,-0.23872733905741,1.16054950197985,16.6104890136608,1.36602540730944,-4.56919142436782,0.185697485815755,0.996539969772052,0,0,0.460240246556374,0,0.512990466826171,-0.0754992769817124,1.10148021063405,16.6104890136608,1.80753066559061,-4.37999906911852,0.0843376681751487,0.998358778940204,1,0,0.281228489134664,0,-0.00398783620044085,-0.610307555725025,0.602331883324143,16.6104890136608,-0.0136380065983383,-4.76435328306308,0.989241381349922,0.999659947529315,0,0,0.999956864860837,0,0.0520793853649515,-0.780873122534382,0.885031893264285,16.6104890136608,0.129646527186,-4.61961031305486,0.898021038929224,0.999083237378713,0,0,0.99441390904309,0,-0.516978303026612,-1.28166248732639,0.247705881273166,16.6104890136608,-1.4018627201444,-4.57051248413616,0.174871456154374,0.816943344039481,0,0,0.40597764096944,0
"A1L0T0","ILVBL_HUMAN","ILVBL","Acetolactate synthase-like protein","=""ILVBL""",NA,NA,NA,16.8997872144664,16.7053149925124,NA,NA,NA,16.6388192551402,NA,NA,NA,NA,NA,17.3118410739483,NA,NA,17.2853897895257,17.0229774100779,NA,NA,NA,15.4662573287771,NA,17.2965931350287,NA,16.7349619306704,NA,NA,16.8950739598333,17.028019716996,18.6067388694626,15.4527968554014,17.3548336460648,17.2563199720015,NA,NA,NA,NA,16.8394996635906,NA,NA,NA,NA,17.2451470094782,0.488760582678825,-0.933962944816248,1.9114841101739,16.9435512837044,0.7319872692767,-4.9070550530129,0.47541516174581,0.877117920807805,0,0,0.695290066896517,0,-0.349384948122673,-1.57807302224733,0.87930312600198,16.9435512837044,-0.605885299901826,-4.8118958052306,0.553614548896097,0.999124715295518,0,0,0.813355792393021,0,-0.145704279820901,-1.33706836552331,1.04565980588151,16.9435512837044,-0.260588755716845,-5.21600681282183,0.797939456828642,0.935584013131583,0,0,0.967646211952636,0,0.337820742920581,-0.888429195507133,1.56407068134829,16.9435512837044,0.586996053704135,-5.02767091733162,0.565903811528177,0.987959445584774,0,0,0.825033014991966,0,-0.136867613172857,-1.69664735272861,1.4229121263829,16.9435512837044,-0.186967140654015,-4.61945861134887,0.854182102704772,0.996539969772052,0,0,0.978659183742299,0,0.701277917628641,-0.652221048623104,2.05477688388039,16.9435512837044,1.10397719644133,-4.58545838539862,0.286932264204916,0.998358778940204,0,0,0.416632031668362,0,0.217752894887159,-1.09107128597975,1.52657707575407,16.9435512837044,0.354495310768626,-4.71349648201966,0.72788310579073,0.9551863117313,0,0,0.933175918078721,0,0.838145530801498,-1.04169930832331,2.7179903699263,16.9435512837044,0.9500036997389,-4.59699195671922,0.357109462582281,0.999083237378713,0,0,0.421873704908813,0,-0.483525022741482,-2.19321426239748,1.22616421691452,16.9435512837044,-0.602600715682242,-4.60840882881342,0.55574110459786,0.964278238569017,0,0,0.75273044067242,0
"A5A3E0","POTEF_HUMAN","POTEF","POTE ankyrin domain family member F","=""POTEF""",21.9975914663876,21.2701441783105,17.1361111965614,19.4938184271907,19.2554007576584,19.5875902163333,20.3822388276008,17.4054140529118,19.4377878762129,NA,21.3938583224356,16.4771477182031,20.3739391561285,19.7129961810267,16.7933684866564,16.9108099963754,20.5337817466243,18.2306089910618,16.8508721789925,NA,19.1785890136044,19.7744913336823,18.4865583224916,20.416452016411,19.0893001538312,19.5318090294694,17.8677963381304,18.9087327416295,18.5489028062543,18.6699880474651,18.8152239666865,18.400172643858,16.9237486405459,19.4716127710515,19.3157588779226,18.5236406748364,NA,18.9163426912446,20.852558364959,19.5783665900848,18.7494248582704,17.302831259237,17.7111249802033,18.903274084893,18.4237844885081,-1.31085787756246,-2.60371665782929,-0.0179990972956361,18.9429515350462,-2.0491192888749,-3.80484192391108,0.0470393933053779,0.698574001271245,-1,0,0.0181880432009136,-1,0.119605754595906,-1.0668048651237,1.30601637431552,18.9429515350462,0.203741628113352,-5.18466421551998,0.83958692240389,0.999124715295518,0,0,0.979304649865989,0,0.0316495449639618,-1.28984173465028,1.3531408245782,18.9429515350462,0.0484022879714485,-5.53959102423499,0.961636158680844,0.988115608769938,0,0,0.998762663997316,0,-0.13522901728529,-1.2834846449913,1.01302661042072,18.9429515350462,-0.238009357401636,-5.54616465496865,0.8130870919076,0.988493835914496,0,0,0.972406658110308,0,1.08647389608549,-0.273975898486738,2.44692369065772,18.9429515350462,1.61398501905455,-4.48673817938537,0.114381533637774,0.996539969772052,0,0,0.0948261858709601,0,-0.343989736072878,-1.71788853931882,1.02990906717306,18.9429515350462,-0.506003430857359,-4.75560058111828,0.615627684178235,0.998358778940204,0,0,0.846306356979995,0,-0.177111173823626,-1.55185373129706,1.19763138364981,18.9429515350462,-0.260367819848638,-4.85406930513645,0.795913797325947,0.97354547015284,0,0,0.960378141452236,0,-1.43046363215837,-3.18518696770061,0.324259703383875,18.9429515350462,-1.64752074424047,-4.51963370648154,0.107274283933416,0.999083237378713,0,0,0.0410354546265334,-1,0.166878562249252,-1.58378707934396,1.91754420384247,18.9429515350462,0.192646029908851,-4.64432841412401,0.848209560264577,0.986851547189035,0,0,0.972901136369476,0
"A5D6W6","FITM1_HUMAN","FITM1","Fat storage-inducing transmembrane protein 1","=""FITM1""",NA,16.6230284787776,NA,16.1190885069752,NA,15.6982870873747,16.2839617804939,16.8148238379245,16.0733170287367,16.5672548513457,15.909371821332,16.0652346937135,17.6959160111905,NA,16.3372598735678,17.3411157648255,17.2350402133144,14.905972362085,17.4793072379301,16.9998975441689,NA,15.3628662447119,18.6988062591666,16.2789682696486,18.0003592230247,16.8401670430237,NA,NA,16.2985425889055,15.3453410029158,16.9637517428036,NA,16.3714954942989,17.4115323586646,16.2524235637462,16.7266261728263,NA,16.1828989258666,15.4376130198406,16.3198159093328,16.1119067345277,NA,16.3572433398297,NA,NA,0.46739365401498,-0.444636386106162,1.37942369413612,16.5184616662694,1.0451220921483,-4.9481090544221,0.304032868390831,0.838150209356913,0,0,0.573218687393618,0,0.462435849776064,-0.313228715301693,1.23810041485382,16.5184616662694,1.21582453413777,-4.65493068390827,0.233212447981723,0.999124715295518,0,0,0.510065245567047,0,0.197215851967243,-0.646995245457896,1.04142694939238,16.5184616662694,0.476413569756211,-5.40338962285818,0.63711441097332,0.878507788848522,0,0,0.914931485841441,0,-0.953546413447253,-1.79497309636437,-0.112119730530134,16.5184616662694,-2.31110095349551,-3.39739392584952,0.0276308206328078,0.671121071293543,-1,0,0.0326434936287343,-1,-0.395009948274069,-1.36295937210068,0.572939475552538,16.5184616662694,-0.832240272263197,-4.61605721659632,0.411627010773884,0.996539969772052,0,0,0.704247301809898,0,-0.390052144035153,-1.28340862018813,0.503304332117822,16.5184616662694,-0.890412481585438,-4.65556805103069,0.380090189823832,0.998358778940204,0,0,0.685699592246002,0,0.760710121379343,-0.214955664316649,1.73637590707534,16.5184616662694,1.59005255448204,-4.38279717041435,0.12195187027748,0.803617484581006,0,0,0.201768941842218,0,0.00495780423891645,-1.19231171913526,1.2022273276131,16.5184616662694,0.00844482796335883,-4.63608309192607,0.993316093329474,0.999083237378713,0,0,0.999966751811973,0,1.1507622654145,-0.0411652658308659,2.34268979665986,16.5184616662694,1.96892476280534,-4.49473281045603,0.0579400050308757,0.797282774250342,1,0,0.0377122434862704,1
"A5YM72","CRNS1_HUMAN","CARNS1","Carnosine synthase 1","=""CARNS1""",22.3773497638441,20.7503030803999,21.7547826255915,22.6283226952904,20.2224663116055,21.5131419418203,21.1827126210824,20.5746144700399,20.7927444304972,20.5706903626272,21.0701196638187,21.5395950526276,21.7249676229966,NA,21.5301027253401,21.4277830395963,21.383443094787,22.7417388535832,22.1586223977135,21.4439807768212,21.7653449550617,21.4100000602562,21.7046851320375,21.5412221134507,21.4441539340716,21.385479391263,21.9712922899143,22.2319114107801,21.0123460586164,21.3159280409307,21.7293995332422,20.9123876899175,22.170901190796,21.9548625081461,20.5086511425745,21.4000331297128,21.5042522121467,21.3001543469453,21.2681112206559,20.8412392316126,21.4892400551844,21.2798715913308,21.5787855885823,NA,21.3473956845681,0.270027363783822,-0.220594457828529,0.760649185396172,21.4524448846949,1.11146235736858,-5.01137528986555,0.272835549312478,0.831667371395931,0,0,0.704170492282846,0,0.476541039434082,0.00801799674750892,0.945064082120655,21.4524448846949,2.05401303610761,-3.77818673088449,0.046378467878367,0.999124715295518,1,0,0.231443522119472,0,-0.307203681611895,-0.791561554066597,0.177154190842806,21.4524448846949,-1.28083709240592,-4.8914460047324,0.20743878038202,0.673002339386382,0,0,0.616802432533468,0,-0.290546269300933,-0.759069311987506,0.17797677338564,21.4524448846949,-1.25232828938566,-4.87457226886564,0.217536897222147,0.883136606685587,0,0,0.641981723279865,0,0.384004288599439,-0.152789926595527,0.920798503794404,21.4524448846949,1.44464816575747,-4.5227536708246,0.156145522236778,0.996539969772052,0,0,0.490130673645919,0,0.177490612949178,-0.343209068439416,0.698190294337772,21.4524448846949,0.688369976423784,-4.72825128220534,0.495091028019741,0.998358778940204,0,0,0.882692554789681,0,0.160833200638216,-0.376370094290599,0.69803649556703,21.4524448846949,0.604603810166542,-4.79357398193037,0.54876910199086,0.930163712580261,0,0,0.907998651248486,0,-0.20651367565026,-0.884911503897452,0.471884152596931,21.4524448846949,-0.614749537224828,-4.62871417544847,0.542112243747362,0.999083237378713,0,0,0.881222924637047,0,-0.0166574123109626,-0.690538996965959,0.657224172344034,21.4524448846949,-0.0499180705028141,-4.64850083008146,0.960429728136951,0.997756851679712,0,0,0.999327692053254,0
"A6NCE7","MP3B2_HUMAN","MAP1LC3B2","Microtubule-associated proteins 1A/1B light chain 3 beta 2","=""MAP1LC3B2""",19.6289154947616,18.8183632667596,NA,19.4691884834133,18.6583804090178,19.7404231384653,18.8625809356384,19.2698491480121,19.0915360871384,19.4980240916275,19.0250797615191,19.7293407978443,19.885894355897,19.1693084948447,18.2637872635558,18.1623592135726,19.3556888996558,18.4564386626374,18.8410425577199,17.3733560653778,18.2255754423652,18.707618044036,18.9387243131809,18.9594362217092,18.9565433952707,18.555595197163,19.3460653002181,19.6357037393054,19.3135451661279,18.8401993362999,19.2560901708523,19.6686167462739,19.0381118286972,19.3615611702549,19.693381745521,19.5319960240525,19.0503704921509,18.6136430805308,19.1670942092185,19.0266508992355,18.5879755684183,19.4184144016974,19.3241695841119,19.5459728060024,18.9150496994941,-0.749873954379613,-1.19596613215974,-0.303781776599484,19.0676741297647,-3.39222365354679,-1.23071436347926,0.00152020256318549,0.534024006201612,-1,0,0.00770515366463839,-1,-0.173375916395472,-0.569843030131451,0.223091197340508,19.0676741297647,-0.882475012596488,-4.94105449609642,0.382536083336089,0.999124715295518,0,0,0.846536028002005,0,0.92543561320544,0.501569608836047,1.34930161757483,19.0676741297647,4.40593858385296,1.28395686237321,7.12027413389299e-05,0.0667881713759163,1,1,0.000145128515756267,1,0.0066446974292198,-0.38982241630676,0.4031118111652,19.0676741297647,0.033821187910409,-5.57055078372899,0.973179743914984,0.999135949755424,0,0,0.9998193703672,0,-0.0545578391010544,-0.528597859216756,0.419482181014648,19.0676741297647,-0.232253875458422,-4.67156275818419,0.817467279806174,0.996539969772052,0,0,0.989064406092553,0,-0.631055877085196,-1.08671244380626,-0.175399310364131,19.0676741297647,-2.7948017009783,-3.58681366347484,0.00779027635012752,0.998358778940204,-1,0,0.046714536408203,-1,0.287735038691025,-0.167921528030039,0.743391605412089,19.0676741297647,1.27431247337257,-4.53008403180712,0.209548913676178,0.839322035545992,0,0,0.6378374756055,0,-0.576498037984141,-1.17330990394422,0.0203138279759425,19.0676741297647,-1.94931130276406,-4.4695074123359,0.0579475141579553,0.999083237378713,-1,0,0.193594045395855,0,0.918790915776221,0.338404353273079,1.49917747827936,19.0676741297647,3.19462701941984,-4.20670584855127,0.00265415538556773,0.797282774250342,1,0,0.0042966198168001,1
"A6NDG6","PGP_HUMAN","PGP","Glycerol-3-phosphate phosphatase","=""PGP""",22.3643277247832,22.8237639699239,22.7824458521908,23.1310998050374,22.0709098430576,22.7732791434663,22.6647301701174,22.4607125744392,23.015723438888,22.8739497177587,22.6574824822512,22.9540969083474,23.0339772753693,22.7094133927838,22.9819211630093,22.690158951087,22.4913190192315,23.1583733497944,23.3446223921781,23.072350904221,22.7959708013092,22.0182481719495,22.6876061356923,22.9657224241183,22.921460402916,22.4597779346313,22.6942358882467,22.5943449857249,22.5505351004063,23.0316013992394,22.6095172647339,22.1798593686924,22.6648435394561,22.804610731501,22.1490714591695,22.3281554659363,23.1890284737647,22.5936208070084,23.0945554683737,22.9080956794464,22.7366218992644,22.6936771021594,23.0778800924547,22.502665947553,22.8783141433615,0.140899998226953,-0.177745690820215,0.459545687274121,22.7374373058899,0.891713753568132,-5.19760387413197,0.377502536984072,0.856502874928798,0,0,0.871742081396219,0,-0.0977490852339535,-0.392009319288467,0.196511148820559,22.7374373058899,-0.669890240278241,-5.05966836712135,0.506504550674049,0.999124715295518,0,0,0.935671266310617,0,-0.23513675521669,-0.549714177612089,0.0794406671787094,22.7374373058899,-1.50735482712255,-4.62513289407013,0.13902215234544,0.610785849648818,0,0,0.628792791283123,0,0.0725183585807727,-0.22174187547374,0.366778592635286,22.7374373058899,0.496980002810126,-5.46298886849702,0.621731288596904,0.988493835914496,0,0,0.966122971194078,0,-0.180687192810499,-0.51859352955754,0.157219143936542,22.7374373058899,-1.07833464683221,-4.58940991053653,0.286888440493302,0.996539969772052,0,0,0.798023523368368,0,0.0579618906504074,-0.280218560063024,0.396142341363839,22.7374373058899,0.34563408910418,-4.79169007539032,0.731300723225377,0.998358778940204,0,0,0.982025459835687,0,-0.249693223147055,-0.587873673860486,0.088487227566376,22.7374373058899,-1.48895228864162,-4.40491099098939,0.143788314080368,0.805336980534097,0,0,0.616154023549481,0,0.238649083460906,-0.195083738094209,0.672381905016021,22.7374373058899,1.10958354640567,-4.58629585913875,0.27333715562547,0.999083237378713,0,0,0.73378470328937,0,-0.307655113797463,-0.73840798961694,0.123097762022015,22.7374373058899,-1.44031829600322,-4.54426839960244,0.157009420234123,0.802628729571247,0,0,0.565747225496626,0
"A6NNS2","DRS7C_HUMAN","DHRS7C","Dehydrogenase/reductase SDR family member 7C","=""DHRS7C""",23.614699413163,22.7767284787572,23.5471196712842,23.0770798956901,22.1952426132179,22.4089140999505,22.8281544285312,22.5768727973163,22.7856731760328,22.8528982312292,23.3337673794657,22.0495067566281,22.7545661452634,23.2563524216554,22.2601896682973,22.1914103855344,22.1716584645405,23.1607781337198,21.9337968216563,22.635016414105,23.1699422763286,22.0016586995656,21.5451786463756,22.9812775604375,22.5490986565748,22.8848424056903,22.1052549507176,22.9895266330984,22.2985529994084,21.9289847393791,22.3173749383851,21.4599426537377,23.17021940088,22.5479821785009,21.9129339457839,23.1793153598729,22.0480904679522,22.9475801722921,22.7257472970223,22.8490657646702,22.0303073198887,21.7946083625923,22.2469794073488,22.465452643799,21.5263499353858,-0.438797319518535,-0.945693981265044,0.0680993422279733,22.5352598402606,-1.74568974074401,-4.26752297388674,0.0879974815247991,0.704774767210464,-1,0,0.344220215299858,0,-0.323388748025817,-0.791493402989152,0.144715906937519,22.5352598402606,-1.39317114185814,-4.53267403486101,0.170719032121211,0.999124715295518,0,0,0.564584066800344,0,-0.0897717500482109,-0.590196675770163,0.410653175673741,22.5352598402606,-0.36176228070704,-5.54595195922578,0.719298988321561,0.900819724667527,0,0,0.970855311287326,0,-0.0870782110853128,-0.555182866048648,0.381026443878023,22.5352598402606,-0.375136276414307,-5.50939474753282,0.709400676147576,0.988493835914496,0,0,0.97054551520849,0,0.169350581460861,-0.368185622440871,0.706886785362594,22.5352598402606,0.635333121717477,-4.64926873427927,0.528573309660342,0.996539969772052,0,0,0.897651393953607,0,0.0539420099681429,-0.484030250215778,0.591914270152064,22.5352598402606,0.202204011522776,-4.80585954623229,0.84070959290682,0.998358778940204,0,0,0.990684239395587,0,0.0512484710052448,-0.486723789178676,0.589220731189166,22.5352598402606,0.192107161520106,-4.87800810701784,0.848561409384442,0.983436224677866,0,0,0.99161965641329,0,-0.115408571492718,-0.805384073730369,0.574566930744932,22.5352598402606,-0.337308215449837,-4.64356505225335,0.737523360879973,0.999083237378713,0,0,0.965473130672488,0,-0.00269353896289815,-0.687928589352299,0.682541511426503,22.5352598402606,-0.00792695180082805,-4.65026670699681,0.993711887248998,0.999155727563499,0,0,0.999983009391598,0
"A8MU46","SMTL1_HUMAN","SMTNL1","Smoothelin-like protein 1","=""SMTNL1""",22.745556789626,23.5542856193391,24.3060049778066,24.8503962377629,23.9104775126555,23.2110207435596,23.9453657427439,23.5922390848449,23.771889863608,23.2923228743204,22.9457772108808,23.1330488586495,22.566963055437,23.7228672495709,22.6314432314107,23.5953202989849,23.4892562368295,23.4265920380765,24.4841370815271,23.2308964376043,22.9352744101127,23.9505702184005,23.2936621234096,22.7263276231219,23.313740520885,23.1631725514963,22.1611043229587,23.7876740108077,23.3144192138598,23.5936085235638,23.5960477217845,21.7991767481018,23.2761623267093,23.9596377421649,23.2003649517981,23.1693065882319,23.0182422777364,23.3339348793594,23.4642866044961,23.393333595467,23.2290796744512,22.3895288579733,23.3730520157025,23.0795846056394,23.4926604142522,-0.20266952621397,-0.720837793958359,0.315498741530418,23.3426625259494,-0.788751436937732,-5.27132832287612,0.434578753403412,0.867504568794451,0,0,0.844593067370965,0,-0.0378553173274341,-0.516368979953871,0.440658345299003,23.3426625259494,-0.159534668227259,-5.21342268856662,0.873993653014352,0.999124715295518,0,0,0.994914538857649,0,-0.441872623572646,-0.953425246555064,0.069679999409772,23.3426625259494,-1.7419244073636,-4.30924824122929,0.0886617798914105,0.549380486926781,-1,0,0.342794261055554,0,0.0502189696547752,-0.428294692971662,0.528732632281212,23.3426625259494,0.211639136274872,-5.55140337693514,0.83338714754918,0.98957194390339,0,0,0.990889001148231,0,0.587153985460631,0.0376648594798688,1.13664311144139,23.3426625259494,2.15484201820746,-4.33759065991415,0.0368102093704935,0.996539969772052,1,0,0.143880707540678,0,0.422339776574095,-0.12759510205298,0.97227465520117,23.3426625259494,1.54872120856949,-4.39841155128872,0.12876816887736,0.998358778940204,0,0,0.420762211629619,0,-0.0697518166533264,-0.619686695280401,0.480183061973749,23.3426625259494,-0.255780117760954,-4.87157892240309,0.799338612642473,0.97354547015284,0,0,0.984499037909394,0,-0.164814208886536,-0.870132349173165,0.540503931400092,23.3426625259494,-0.471229121109142,-4.63789270942108,0.63985599521083,0.999083237378713,0,0,0.929051092511718,0,-0.492091593227421,-1.19256387062344,0.208380684168594,23.3426625259494,-1.41669877581307,-4.54757062561052,0.163765690727797,0.805433370756238,0,0,0.410511856870099,0
