"Contrast","FDR_full","FDR_reduced","Pi_full","Pi_reduced","Pearson_r","Spearman_rho"
"Training_HR",0,0,54,52,0.98220312586516,0.974112872714162
"Training_LR",0,0,33,34,0.999962347334041,0.999933709585584
"Acute_HR",1,1,53,57,0.995676006639445,0.992732957482168
"Acute_LR",33,35,85,86,0.999979222091408,0.999960912013052
"Baseline_HRvLR",0,0,32,29,0.984846739848149,0.979403510851212
"Trained_HRvLR",1,1,46,51,0.994901678881771,0.993141192094655
"Acute_HRvLR",0,0,44,44,0.998224405868522,0.996776254339896
"Training_Interaction",0,0,50,52,0.985544993301044,0.97620446929739
"Acute_Interaction",0,0,67,69,0.997232672675203,0.994187704009182
