quantile,Training_HR,Training_LR,ratio
Q25,0.100458044777874,0.06958121312870874,1.444
Q50,0.2027528464494,0.148968836936664,1.361
Q75,0.3847900133474625,0.2793893093788515,1.377
Q90,0.5926546854557042,0.459751771394072,1.289
