quantile,Acute_HR,Acute_LR,ratio
Q25,0.11043013546130626,0.07626335326848377,1.448
Q50,0.2223831314761585,0.1710698430346455,1.3
Q75,0.392057795619836,0.3425017019263703,1.145
Q90,0.6379283483955067,0.542070026088351,1.177
