pair,set,n,direction,PValue,PValue.Mixed,expected,consistent
HR,up,20,Down,0.020347556700078526,0.4574757612913718,Up,FALSE
HR,down,39,Up,1.9850692835905102e-4,0.001041893370550151,Down,FALSE
LR,up,17,Down,9.634481945637239e-5,0.3611706596556054,Up,FALSE
LR,down,14,Up,9.7921835899228e-4,0.21616708280245311,Down,FALSE
