contrast,median_absLFC,ci_lower,ci_upper,boot_se,n_proteins
Training_HR,0.206336743913852,0.195516363300019,0.218242535661169,0.006118440014194369,1927
Training_LR,0.152804524639841,0.144137526359991,0.16027960662823,0.004267884389674819,1929
Acute_HR,0.226582027442873,0.213208728911436,0.237716739554749,0.005943656563097456,1933
Acute_LR,0.1761231502174835,0.164533526118273,0.188177709556397,0.005902610294603567,1924
Baseline_HRvLR,0.176787747060885,0.16495701234437,0.188125240354857,0.006084157111171506,1925
Trained_HRvLR,0.172707036067454,0.161503642930839,0.182552005915642,0.0057127568543808085,1933
Acute_HRvLR,0.219134322719608,0.206368514303385,0.229471427212079,0.006043454160619073,1927
Training_Interaction,0.226263365196676,0.211769531288354,0.238267895342826,0.006425648493245461,1919
Acute_Interaction,0.271905718156306,0.255458382058274,0.2860200501224056,0.007660447693803195,1918
