contrast,spearman_rho,p_value,n_proteins
Training_HR,0.98,0,1927
Training_LR,0.9854,0,1929
Acute_HR,0.9895,0,1933
Acute_LR,0.9845,0,1924
Baseline_HRvLR,0.9759,0,1925
Trained_HRvLR,0.988,0,1933
Acute_HRvLR,0.9858,0,1927
Training_Interaction,0.9697,0,1919
Acute_Interaction,0.9823,0,1918
