contrast,n_subjects,within_cor,effective_sigma,min_detectable_d,min_detectable_logFC,power,alpha
Training_HR,7,0.18494487242582736,0.8139,1.0666,0.8681,0.8,0.1
Training_LR,8,0.18494487242582736,0.8139,0.9781,0.7961,0.8,0.1
Acute_HR,7,0.18494487242582736,0.8139,1.0666,0.8681,0.8,0.1
Acute_LR,8,0.18494487242582736,0.8139,0.9781,0.7961,0.8,0.1
Baseline_HRvLR,7,NA,0.9015,1.4109,1.2719,0.8,0.1
Trained_HRvLR,7,NA,0.9015,1.4109,1.2719,0.8,0.1
Acute_HRvLR,7,NA,0.9015,1.4109,1.2719,0.8,0.1
Training_Interaction,7,NA,0.9015,1.4109,1.2719,0.8,0.1
Acute_Interaction,7,NA,0.9015,1.4109,1.2719,0.8,0.1
