quantile,Training_HR,Training_LR,ratio
Q25,0.10247258207635211,0.07023039152559729,1.459
Q50,0.20555915384012202,0.15301768755269585,1.343
Q75,0.3840686924278707,0.28753447272010924,1.336
Q90,0.6019005429523689,0.47002690635098093,1.281
