"Contrast","FDR_full","FDR_reduced","Pi_full","Pi_reduced","Pearson_r","Spearman_rho"
"Training_HR",0,0,62,56,0.983269645999557,0.974361015927812
"Training_LR",0,0,40,41,0.999964590456614,0.999941354879331
"Acute_HR",3,3,60,65,0.996288430280994,0.992624755472358
"Acute_LR",55,56,106,106,0.999984252722973,0.999970091888968
"Baseline_HRvLR",0,0,33,29,0.985375337714633,0.979799565593958
"Trained_HRvLR",1,1,48,52,0.994843234176681,0.99297624731697
"Acute_HRvLR",0,2,53,52,0.998344372492652,0.996840205497854
"Training_Interaction",0,0,52,52,0.985815340161332,0.976588019494968
"Acute_Interaction",0,0,80,83,0.9973686793588,0.994209721113335
