contrast,spearman_rho,p_value,n_proteins
Training_HR,0.935,0,1960
Training_LR,0.9378,0,1963
Acute_HR,0.962,0,1967
Acute_LR,0.9602,0,1959
Baseline_HRvLR,0.9127,0,1959
Training_Interaction,0.9186,0,1952
Acute_Interaction,0.9455,0,1952
