pathway_label,pathway_padj,pathway_db,n_overlap,mean_logFC,direction
Biological Process Involve..,1,Other,3,-2.128647899907423,Down
Lipoprotein Metabolic Proc..,1,Other,4,-0.7115281904997756,Down
Monosaccharide Metabolic P..,1,Other,1,-1.09318846825282,Down
Phospholipid Transport,1,Other,3,-0.5160677628718797,Down
Regulation Of Fatty Acid M..,1,Other,4,-0.04600587237187759,Down
Smooth Muscle Cell Prolife..,1,Other,3,-0.4267354962444946,Down
Carbohydrate Phosphorylation,1,Other,3,0.10615225270709165,Up
Establishment Of Protein L..,1,Other,5,0.5001146749582703,Up
KRAS Signaling Up,1,Other,3,0.08770902782173606,Up
