gene,logFC,neg_log10_p,pi_score,adj_pval,direction
ACAD10,1.3983,3.3321,2.2e-5,0.867087,Up
CORO6,-1.9211,2.2856,4.1e-5,0.999046,Down
LMAN2,1.4951,2.6821,9.8e-5,0.999046,Up
MYH6,-1.9992,1.7893,2.65e-4,0.999046,Down
MLYCD,-1.157,2.9307,4.07e-4,0.999046,Down
DCAF8,3.8865,0.8675,4.25e-4,0.999046,Up
RTN4IP1,1.6297,2.0545,4.48e-4,0.999046,Up
PRPSAP2,1.6336,1.9126,7.51e-4,0.999046,Up
TPRKB,1.8135,1.7115,7.87e-4,0.999046,Up
TMED5,1.5583,1.9544,9.01e-4,0.999046,Up
CPT1A,1.3552,2.2188,9.84e-4,0.999046,Up
LAMP1,-2.2239,1.2432,0.001719,0.999046,Down
PURA,-1.4694,1.8781,0.001739,0.999046,Down
AKT2,-1.1924,2.2302,0.002191,0.999046,Down
SND1,-1.7802,1.4412,0.002719,0.999046,Down
SYNPO2L,-1.8265,1.4033,0.002734,0.999046,Down
PALMD,1.2492,1.9815,0.003347,0.999046,Up
HLA-DRA,-1.7461,1.3596,0.004227,0.999046,Down
RPL32,-1.6979,1.3469,0.005166,0.999046,Down
SYNC,-1.1699,1.941,0.005362,0.999046,Down
MLIP,-1.2938,1.7534,0.005388,0.999046,Down
DYNLT1,1.3166,1.6389,0.006953,0.999046,Up
ALPK3,-1.4492,1.4572,0.007732,0.999046,Down
MRPL22,-1.1144,1.876,0.008118,0.999046,Down
MYH4,-1.8364,1.1295,0.008431,0.999046,Down
RBKS,-1.6703,1.2259,0.008962,0.999046,Down
PDPR,1.0455,1.8719,0.011037,0.999046,Up
RO60,-2.0049,0.9606,0.011859,0.999046,Down
HNRNPL,-1.5451,1.2212,0.012975,0.999046,Down
DHCR24,-1.4032,1.3387,0.01323,0.999046,Down
PPM1B,-1.1063,1.6897,0.013512,0.999046,Down
EIF3L,0.8794,2.1021,0.014173,0.999046,Up
DRG1,-1.7027,1.0809,0.014443,0.999046,Down
COPA,1.6469,1.1166,0.014489,0.999046,Up
SYNE2,-1.9233,0.9355,0.015875,0.999046,Down
TYMP,-1.6379,1.0627,0.018173,0.999046,Down
NMT1,1.1635,1.4664,0.019668,0.999046,Up
ATP6V1H,-1.0549,1.5352,0.024015,0.999046,Down
GAA,-1.1078,1.4609,0.024073,0.999046,Down
RAP2B,-1.848,0.8745,0.024212,0.999046,Down
ROMO1,-1.0776,1.4536,0.027137,0.999046,Down
UBE2O,-1.4517,1.0645,0.02849,0.999046,Down
JPT2,-0.9206,1.6436,0.030679,0.999046,Down
MAPKAPK2,-0.7796,1.94,0.030736,0.999046,Down
POLDIP2,-1.208,1.2483,0.031044,0.999046,Down
COMTD1,1.4695,1.025,0.031179,0.999046,Up
HNRNPUL2,-1.3085,1.1426,0.031979,0.999046,Down
CHORDC1,-1.6142,0.9206,0.032649,0.999046,Down
SYNCRIP,-0.7053,2.0875,0.033706,0.999046,Down
CTPS1,-1.6933,0.8571,0.035377,0.999046,Down
XRCC5,-0.9275,1.5568,0.035975,0.999046,Down
KYAT3,1.3197,1.0422,0.042133,0.999046,Up
HINT1,-0.7442,1.8284,0.043585,0.999046,Down
CD9,1.6791,0.8096,0.04371,0.999046,Up
MFN2,0.868,1.5095,0.048958,0.999046,Up
YARS1,1.1082,1.1561,0.052341,0.999046,NS
MYH13,-1.1484,1.0961,0.055106,0.999046,NS
RAB8A,-1.1663,1.0653,0.057221,0.999046,NS
ASS1,-1.0952,1.1312,0.057702,0.999046,NS
MICU2,0.9382,1.3148,0.058409,0.999046,NS
MT-ND3,1.0703,1.1306,0.061648,0.999046,NS
ARHGAP1,-0.9246,1.2876,0.064485,0.999046,NS
PABPC4,0.6474,1.8153,0.066802,0.999046,NS
MRPL47,-0.8596,1.3424,0.070163,0.999046,NS
SNCA,1.3194,0.8654,0.072155,0.999046,NS
PITPNA,0.9453,1.1996,0.073449,0.999046,NS
OTUB1,-0.6016,1.8762,0.074358,0.999046,NS
LYPLA2,-0.6131,1.8323,0.075277,0.999046,NS
SNRPG,0.958,1.1589,0.077578,0.999046,NS
PPP1CC,-1.007,1.1005,0.077956,0.999046,NS
PGPEP1,-0.8196,1.3486,0.078467,0.999046,NS
ATP2A3,0.7003,1.5561,0.081329,0.999046,NS
DCUN1D1,-1.1049,0.9769,0.083293,0.999046,NS
GRSF1,-0.753,1.4328,0.083394,0.999046,NS
MTARC2,1.0049,1.0666,0.084772,0.999046,NS
SPPL2A,-0.9829,1.0901,0.084834,0.999046,NS
CSNK2B,-1.0051,1.0598,0.086056,0.999046,NS
DYNLL1,-0.8357,1.2526,0.089769,0.999046,NS
APOO,0.7468,1.3928,0.091181,0.999046,NS
NUBP2,-1.1482,0.895,0.093833,0.999046,NS
COX20,-0.8396,1.219,0.09475,0.999046,NS
TOMM70,-0.7768,1.3172,0.094807,0.999046,NS
TST,0.834,1.2185,0.096333,0.999046,NS
COL4A2,-1.2281,0.8266,0.096573,0.999046,NS
COA3,0.8346,1.1916,0.101288,0.999046,NS
