fiber_type,Group,Timepoint,n,mean,sd,sem
Mixed,HR,T1,8,541.875,328.6002510650289,116.17773291384198
Mixed,HR,T2,8,395.5,156.962233856246,55.49452997497012
Mixed,LR,T1,8,538.625,171.0922370285355,60.49024050562678
Mixed,LR,T2,8,753.375,190.129232365778,67.22083475381721
Type_I,HR,T1,8,197.25,136.9251620411676,48.410355297188225
Type_I,HR,T2,8,154.125,84.39776148013135,29.839114729782832
Type_I,LR,T1,8,188.5,88.65341827266771,31.343716617985358
Type_I,LR,T2,8,263.25,77.34108130316551,27.344201526884216
