Group,n,delta_mean,delta_sd,delta_sem,delta_t_test_p
HR,7,10.714285714285714,6.421689437998014,2.4271704642618395,0.6324286856242298
LR,8,9,7.131419413913534,2.521337513531827,0.6324286856242298
