Group,n,delta_mean,delta_sd,delta_sem,delta_t_test_p
HR,8,3.0126250000000008,1.0077403205049555,0.3562900071520794,0.04402800206095201
LR,8,1.1412500000000003,2.0706159021618955,0.7320732728256886,0.04402800206095201
