Group,n,delta_mean,delta_sd,delta_sem,delta_t_test_p
HR,8,1043.1687499999998,831.2829046280128,293.9028894734589,0.0010458527356243888
LR,8,-870.9512499999998,1004.1508012165945,355.0209204370794,0.0010458527356243888
