Group,n,delta_mean,delta_sd,delta_sem,delta_t_test_p
HR,8,914.0462499999999,883.9873389516308,312.53672092787457,0.0018441086414499614
LR,8,-961.9224999999999,1055.1389135863985,373.0479404453745,0.0018441086414499614
