Group,n,delta_mean,delta_sd,delta_sem,delta_t_test_p
HR,8,889.5525000000001,709.5195887308938,250.85305628815266,0.0011103180879222872
LR,8,-1191.8375,1168.0051154823154,412.9521688090609,0.0011103180879222872
