gene,quadrant,sig_cat,pathway,logFC_Acute_HR,logFC_Acute_LR
AZGP1,Concordant Up,Ac.(LR),Adaptive Immune Response Based On Somatic ...,0.6983,0.8401
HPRT1,Concordant Up,Ac.(LR),Adaptive Immune Response Based On Somatic ...,0.468,0.8501
HLA-B,Concordant Up,Ac.(LR),Adaptive Immune Response Based On Somatic ...,0.1983,1.2119
DHCR24,Concordant Up,Ac.(HR),Amyloid Precursor Protein Catabolic Process,1.2721,0.1106
CLU,Concordant Up,Ac.(LR),Amyloid Precursor Protein Catabolic Process,0.4558,1.9579
APOE,Concordant Up,Ac.(LR),Amyloid Precursor Protein Catabolic Process,0.0875,1.9125
KLKB1,Concordant Up,Ac.(LR),Coagulation,0.6509,1.5192
NAGK,Concordant Up,Ac.(HR),Defense Response To Bacterium,0.7315,0.2242
LYZ,Concordant Up,Both,Defense Response To Gram Positive Bacterium,2.5184,3.4571
HMGB2,Concordant Up,Ac.(HR),Defense Response To Gram Positive Bacterium,1.2382,0.7505
H2BC4,Concordant Up,Ac.(HR),Defense Response To Gram Positive Bacterium,1.0296,0.6679
APOL1,Concordant Up,Ac.(LR),Disruption Of Anatomical Structure In Anot...,0.0132,2.2615
ILF3,Concordant Up,Ac.(HR),E2F Targets,1.4417,0.4164
RPA2,Concordant Up,Ac.(HR),E2F Targets,0.9191,0.484
SYNCRIP,Concordant Up,Ac.(HR),E2F Targets,0.7269,0.2355
LCP1,Concordant Up,Ac.(LR),Extracellular Matrix Disassembly,1.0363,2.3295
FLOT1,Concordant Up,Ac.(LR),Extracellular Matrix Disassembly,0.0055,1.0368
ADD1,Concordant Up,Ac.(LR),Heme Metabolism,1.0597,1.5459
CAT,Concordant Up,Ac.(LR),Heme Metabolism,0.4997,1.5954
SPTB,Concordant Up,Ac.(LR),Heme Metabolism,0.4933,1.8
BLVRB,Concordant Up,Ac.(LR),Heme Metabolism,0.3319,0.9824
SLC2A1,Concordant Up,Ac.(LR),Heme Metabolism,0.2726,1.8231
ANK1,Concordant Up,Ac.(LR),Heme Metabolism,0.2607,2.0896
GCLC,Concordant Up,Ac.(LR),Heme Metabolism,0.1999,1.2044
ALAD,Concordant Up,Ac.(LR),Heme Metabolism,0.1397,1.2143
BPGM,Concordant Up,Ac.(LR),Heme Metabolism,0.0898,1.6431
SERPING1,Concordant Up,Ac.(LR),Humoral Immune Response,0.4935,1.7858
BOLA2,Concordant Up,Ac.(HR),Intracellular Iron Ion Homeostasis,0.7943,0.0744
CP,Concordant Up,Ac.(LR),Intracellular Iron Ion Homeostasis,0.7422,1.8379
MPP1,Concordant Up,Ac.(LR),Leukocyte Chemotaxis,0.3337,1.1857
FN1,Concordant Up,Both,Myeloid Leukocyte Activation,1.0417,1.0083
ANXA1,Concordant Up,Ac.(HR),Myeloid Leukocyte Activation,0.9872,0.4742
SNCA,Concordant Up,Ac.(LR),Myeloid Leukocyte Activation,0.2695,2.912
OSTF1,Concordant Up,Ac.(HR),Other,2.2854,0.9139
GPC1,Concordant Up,Ac.(HR),Other,2.1538,0.8574
FERMT3,Concordant Up,Both,Other,2.1293,1.6445
SYNE2,Concordant Up,Both,Other,1.9662,3.1172
RRAD,Concordant Up,Both,Other,1.8427,1.2082
TPPP3,Concordant Up,Ac.(HR),Other,1.746,0.1604
DCAF8,Concordant Up,Ac.(HR),Other,1.6414,2.0559
ARHGDIB,Concordant Up,Both,Other,1.4705,1.4383
NUBP2,Concordant Up,Ac.(HR),Other,1.4337,1.0593
IFITM1,Concordant Up,Ac.(HR),Other,1.2959,1.0329
