quadrant,pathway,n_flow
Concordant Up,Adaptive Immune Response Based On Somatic ...,3
Concordant Up,Amyloid Precursor Protein Catabolic Process,3
Concordant Up,Coagulation,1
Concordant Up,Defense Response To Gram Positive Bacterium,3
Concordant Up,E2F Targets,3
Concordant Up,Extracellular Matrix Disassembly,2
Concordant Up,Heme Metabolism,9
Concordant Up,Humoral Immune Response,1
Concordant Up,Intracellular Iron Ion Homeostasis,2
Concordant Up,Leukocyte Chemotaxis,1
Concordant Up,Myeloid Leukocyte Activation,3
Concordant Up,Positive Regulation Of DNA Binding Transcr...,2
Concordant Up,RNA Splicing Via Transesterification React...,9
Concordant Up,Regulation Of Innate Immune Response,1
Concordant Up,Response To Fungus,5
Concordant Down,Adaptive Immune Response Based On Somatic ...,1
Concordant Down,Humoral Immune Response,1
Concordant Down,Regulation Of Innate Immune Response,1
Discordant,Amyloid Precursor Protein Catabolic Process,2
Discordant,Coagulation,1
Discordant,E2F Targets,3
Discordant,Extracellular Matrix Disassembly,2
Discordant,Heme Metabolism,1
Discordant,Intracellular Iron Ion Homeostasis,4
Discordant,Leukocyte Chemotaxis,2
Discordant,Myeloid Leukocyte Activation,2
Discordant,Regulation Of Innate Immune Response,1
