pathway,quadrant,n_seg,xmin,xmax
Adaptive Immune Response Based On Somatic ...,Concordant Up,3,3.3,3.84
Adaptive Immune Response Based On Somatic ...,Concordant Down,1,3.84,4.02
Amyloid Precursor Protein Catabolic Process,Concordant Up,3,3.3,3.84
Amyloid Precursor Protein Catabolic Process,Discordant,2,3.84,4.199999999999999
Coagulation,Concordant Up,1,3.3,3.48
Coagulation,Discordant,1,3.48,3.6599999999999997
Defense Response To Gram Positive Bacterium,Concordant Up,3,3.3,3.84
E2F Targets,Concordant Up,3,3.3,3.84
E2F Targets,Discordant,3,3.84,4.38
Extracellular Matrix Disassembly,Concordant Up,2,3.3,3.6599999999999997
Extracellular Matrix Disassembly,Discordant,2,3.6599999999999997,4.02
Heme Metabolism,Concordant Up,9,3.3,4.92
Heme Metabolism,Discordant,1,4.92,5.1
Humoral Immune Response,Concordant Up,1,3.3,3.48
Humoral Immune Response,Concordant Down,1,3.48,3.6599999999999997
Intracellular Iron Ion Homeostasis,Discordant,4,3.3,4.02
Intracellular Iron Ion Homeostasis,Concordant Up,2,4.02,4.38
Leukocyte Chemotaxis,Discordant,2,3.3,3.6599999999999997
Leukocyte Chemotaxis,Concordant Up,1,3.6599999999999997,3.84
Myeloid Leukocyte Activation,Concordant Up,3,3.3,3.84
Myeloid Leukocyte Activation,Discordant,2,3.84,4.199999999999999
Positive Regulation Of DNA Binding Transcr...,Concordant Up,2,3.3,3.6599999999999997
RNA Splicing Via Transesterification React...,Concordant Up,9,3.3,4.92
Regulation Of Innate Immune Response,Concordant Up,1,3.3,3.48
Regulation Of Innate Immune Response,Concordant Down,1,3.48,3.6599999999999997
Regulation Of Innate Immune Response,Discordant,1,3.6599999999999997,3.84
Response To Fungus,Concordant Up,5,3.3,4.199999999999999
