gene,logFC,neg_log10_p,pi_score,adj_pval,direction
PPP2R5D,2.3174,2.4958,2e-6,0.507907,Up
CRIP2,2.086,2.6451,3e-6,0.507907,Up
SNCA,-2.5268,2.0223,8e-6,0.507907,Down
PM20D2,1.929,2.4858,1.6e-5,0.507907,Up
C1QC,-2.2077,2.0897,2.4e-5,0.507907,Down
RPS20,1.365,3.2178,4.1e-5,0.507907,Up
IGKV4-1,-1.9962,2.083,6.9e-5,0.507907,Down
RTN3,1.3945,2.6739,1.87e-4,0.507907,Up
CFI,-1.3493,2.505,4.17e-4,0.507907,Down
ANK1,-1.8137,1.8601,4.23e-4,0.507907,Down
ADIPOQ,-1.4173,2.358,4.55e-4,0.507907,Down
EPB41,-1.9988,1.6427,5.21e-4,0.549673,Down
HNRNPUL2,1.7084,1.9043,5.58e-4,0.507907,Up
HP,-1.786,1.7307,8.11e-4,0.530292,Down
BPGM,-1.5715,1.9641,8.19e-4,0.507907,Down
RPL6,1.3785,2.2173,8.78e-4,0.507907,Up
MAP1LC3B2,1.0369,2.8053,0.001234,0.507907,Up
DEFA3,-2.4512,1.1683,0.001369,0.589648,Down
IGHV3-7,-1.4551,1.9497,0.001455,0.507907,Down
GAA,1.3996,1.9716,0.00174,0.507907,Up
ARHGAP1,1.3335,2.0689,0.001742,0.507907,Up
RO60,2.576,1.0677,0.001776,0.630118,Up
FSCN1,1.4958,1.8345,0.001803,0.507907,Up
MYO18A,1.2465,2.1684,0.001982,0.507907,Up
MRPS27,-1.6212,1.6518,0.002099,0.545308,Down
SEPTIN9,1.4111,1.8979,0.002099,0.507907,Up
SERPINF2,-1.5735,1.6686,0.002368,0.545308,Down
APOD,-1.436,1.8225,0.002415,0.507907,Down
SSB,1.8198,1.4203,0.002602,0.577022,Up
ITIH4,-1.548,1.6682,0.002616,0.545308,Down
PDLIM1,1.2208,2.1024,0.002713,0.507907,Up
CFH,-1.3903,1.8029,0.003114,0.507907,Down
TST,-1.1941,2.091,0.003185,0.507907,Down
APOL1,-2.2264,1.1195,0.003218,0.621155,Down
PHKG1,-1.1806,2.095,0.003362,0.507907,Down
TMEM43,1.1799,2.0593,0.003717,0.507907,Up
APOE,-1.5862,1.5076,0.004061,0.577022,Down
FLOT2,-1.1903,2.0055,0.0041,0.507907,Down
ISCU,1.2342,1.9326,0.004119,0.507907,Up
RPL13A,1.3963,1.6935,0.00432,0.530292,Up
PDLIM3,0.9459,2.4948,0.004367,0.507907,Up
ACSS2,-1.2408,1.871,0.00477,0.507907,Down
PBXIP1,0.8889,2.5582,0.005321,0.507907,Up
ACAD10,-1.1517,1.9107,0.006301,0.507907,Down
CLU,-1.3491,1.6248,0.006428,0.558311,Down
S100A13,1.4669,1.488,0.006566,0.577022,Up
RBP4,-1.6186,1.3479,0.006581,0.582658,Down
ADSS2,-1.2635,1.7114,0.006882,0.530292,Down
SMIM4,-1.1979,1.8017,0.006944,0.507907,Down
PPBP,-1.7686,1.2137,0.007137,0.589475,Down
RPL14,1.1529,1.8457,0.007446,0.507907,Up
C1QB,-1.5423,1.3676,0.007774,0.577022,Down
ALDOC,-1.0382,2.0157,0.008076,0.507907,Down
XRCC6,-0.9757,2.115,0.00864,0.507907,Down
MYPN,1.0873,1.8943,0.008715,0.507907,Up
JPT2,1.086,1.8901,0.008859,0.507907,Up
C3,-1.2783,1.5795,0.00957,0.562735,Down
UBE2O,1.5293,1.2913,0.010596,0.582658,Up
FTL,1.5994,1.223,0.011062,0.589475,Up
MLEC,-0.9482,2.0435,0.011543,0.507907,Down
SERPINA3,-1.3029,1.4695,0.012173,0.577022,Down
TMX1,0.8969,2.1343,0.012182,0.507907,Up
PNP,-1.4539,1.2894,0.013346,0.582658,Down
PFKFB1,-0.9913,1.8861,0.013501,0.507907,Down
PRKRA,1.3219,1.3896,0.01456,0.577022,Up
SPTB,-1.267,1.4046,0.016607,0.577022,Down
ARL1,1.6584,1.0705,0.016776,0.630118,Up
CASQ2,0.908,1.9499,0.016966,0.507907,Up
CTSD,0.9348,1.8939,0.016969,0.507907,Up
MT-ND3,-1.2904,1.3694,0.017096,0.577022,Down
SEPTIN6,-1.9248,0.9113,0.01762,0.659774,Down
SERPINA1,-1.094,1.5984,0.017838,0.562735,Down
ILF3,1.0249,1.7001,0.018096,0.530292,Up
PADI2,0.8306,2.0896,0.018379,0.507907,Up
RWDD1,1.1283,1.5079,0.01989,0.577022,Up
NCL,0.8102,2.0953,0.020066,0.507907,Up
CYB5R1,0.729,2.3256,0.020169,0.507907,Up
HIGD1A,-1.3235,1.2646,0.021202,0.584363,Down
MYH8,-1.568,1.0635,0.021502,0.630118,Down
CFB,-1.1192,1.4777,0.022187,0.577022,Down
PEA15,1.7702,0.9218,0.023349,0.659774,Up
RTN4IP1,-1.1872,1.3734,0.023416,0.577022,Down
AIMP1,-0.7515,2.1369,0.024779,0.507907,Down
DHRS7,0.7375,2.1544,0.025771,0.507907,Up
LGALS3,1.15,1.3813,0.025795,0.577022,Up
FXYD1,1.3145,1.1998,0.026472,0.589475,Up
LAMTOR1,0.9631,1.6348,0.026641,0.552544,Up
TFRC,-1.2169,1.2838,0.027405,0.582658,Down
RPL7,0.9415,1.656,0.0276,0.545308,Up
STOML2,0.7727,2.0105,0.027957,0.507907,Up
VARS1,0.8678,1.7724,0.028972,0.530292,Up
ALAD,-1.0456,1.4454,0.030808,0.577022,Down
PRKCSH,0.7207,2.0912,0.031113,0.507907,Up
TPPP3,1.587,0.9386,0.032395,0.659774,Up
C8G,-1.19,1.2291,0.034457,0.589475,Down
MGLL,-0.9007,1.6184,0.034856,0.559429,Down
CPT1A,-0.9957,1.4604,0.035149,0.577022,Down
FTH1,1.0541,1.377,0.03536,0.577022,Up
DDX1,0.7819,1.8442,0.036149,0.507907,Up
MRPL47,-0.9254,1.5497,0.03681,0.577022,Down
NDUFA11,-1.0145,1.4032,0.037703,0.577022,Down
SLC2A1,-1.3845,1.0254,0.038051,0.635437,Down
S100A9,-1.5957,0.8855,0.038645,0.659774,Down
ARHGAP19,-1.3201,1.0651,0.039261,0.630118,Down
IGHG2,-1.0853,1.2899,0.039813,0.582658,Down
MB,0.703,1.9733,0.041007,0.507907,Up
SEPTIN2,0.9077,1.5225,0.041487,0.577022,Up
SEPTIN7,0.8131,1.696,0.041785,0.530292,Up
FBP2,-0.7621,1.8075,0.041924,0.507907,Down
GMPPB,-0.9971,1.3727,0.042775,0.577022,Down
PLIN2,-1.1116,1.2154,0.044568,0.589475,Down
RUVBL1,0.7583,1.7654,0.045849,0.530292,Up
MICOS13,-0.9677,1.3802,0.046171,0.577022,Down
XRCC5,0.9086,1.4695,0.046212,0.577022,Up
CCS,-1.1974,1.1146,0.046273,0.623484,Down
APOC2,-1.2698,1.051,0.046279,0.630118,Down
PARVA,0.9635,1.3825,0.04655,0.577022,Up
IGKV3-20,-1.2657,1.0455,0.047493,0.630118,Down
