set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within
hr_up,20,Up,0.4307173084445993,0.9217035558714417,Up,TRUE,0.1734822745460805
hr_down,39,Down,0.22967433425803654,0.8071490014012385,Down,TRUE,0.1734822745460805
