pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
GOBP_CYTOPLASMIC_TRANSLATION,1.885908549478112e-9,1.8557340126864622e-6,2.486885245901639,41,104,,GO:BP,3.835738335738336,Concordant Up,Cytoplasmic Translation,5.731484272244741,TRUE
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,1.2067896257637222e-6,5.937404958757513e-4,2.7375193318898856,23,53,,GO:BP,4.319976359338061,Concordant Up,Protein RNA Complex Organization,3.22640332915108,TRUE
GOBP_RNA_SPLICING,5.35278533776396e-5,0.01755713590786579,2.313005464480874,22,60,,GO:BP,3.234331411567789,Concordant Up,RNA Splicing,1.7555463290255486,TRUE
GOBP_PROTEIN_FOLDING,8.768425774695549e-5,0.019254284440689974,2.0520639936796363,27,83,,GO:BP,2.7107528263103804,Concordant Up,Protein Folding,1.7154726167054566,TRUE
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,1.1610222031499123e-4,0.019254284440689974,3.504553734061931,10,18,,GO:BP,6.826271186440678,Concordant Up,Telomere Maintenance Via Telomere Lengthening,1.7154726167054566,TRUE
GOBP_MUSCLE_CONTRACTION,5.972877859335627e-7,5.877311813586257e-4,1.664174107142857,62,112,,GO:BP,2.6473356401384085,Discordant Acute Up,Muscle Contraction,3.2308212677120793,TRUE
GOBP_REGULATION_OF_BLOOD_CIRCULATION,3.024478959722401e-6,9.906395656996791e-4,1.9285377358490565,34,53,,GO:BP,3.7354524926176826,Discordant Acute Up,Regulation Of Blood Circulation,3.004084330480461,TRUE
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,6.139783733779783e-6,9.906395656996791e-4,1.616568396226415,57,106,,GO:BP,2.4642069520775722,Discordant Acute Up,Membraneless Organelle Assembly,3.004084330480461,TRUE
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,7.244412010282382e-6,9.906395656996791e-4,1.9605978260869563,30,46,,GO:BP,3.8975409836065573,Discordant Acute Up,Cellular Component Assembly Involved In Mo...,3.004084330480461,TRUE
GOBP_MUSCLE_CELL_DEVELOPMENT,7.550041164782067e-6,9.906395656996791e-4,1.7536458333333333,42,72,,GO:BP,2.9357859531772577,Discordant Acute Up,Muscle Cell Development,3.004084330480461,TRUE
GOBP_POLYOL_METABOLIC_PROCESS,1.0738994548956014e-4,0.09917584372062078,3.2100712877294098,11,19,,GO:BP,6.420758928571429,Concordant Down,Polyol Metabolic Process,1.003594096156043,FALSE
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,2.0157691813134306e-4,0.09917584372062078,1.9748134696616793,26,73,,GO:BP,2.6367070988268044,Concordant Down,Pyridine Containing Compound Metabolic Pro...,1.003594096156043,FALSE
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,8.831585452456125e-4,0.18664814610216326,2.3522836433499257,14,33,,GO:BP,3.4474474474474475,Concordant Down,Monosaccharide Biosynthetic Process,0.7289763193813897,FALSE
GOBP_GLUCOSE_CATABOLIC_PROCESS,0.001138098451842459,0.18664814610216326,2.9354127818274285,9,17,,GO:BP,5.222263313609467,Concordant Down,Glucose Catabolic Process,0.7289763193813897,FALSE
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,0.001549615809529988,0.21783170808250119,2.1122547001509533,16,42,,GO:BP,2.8835696026028352,Concordant Down,Nucleoside Diphosphate Metabolic Process,0.6618789030790041,FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.8277842177964378e-22,2.7825396703116947e-19,2.1230013324450367,106,152,,Hallmark,5.458588196396098,Discordant Training Up,OXPHOS,18.555558635268312,TRUE
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,3.679698173642413e-19,1.810411501432067e-16,1.9595518696348027,112,174,,GO:BP,4.272952853598015,Discordant Training Up,Energy Derivation By Oxidation Of Organic ...,15.742222699998637,TRUE
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,7.546728559084493e-16,1.237663483689857e-13,2.26552840741831,64,86,,GO:BP,6.504481434058899,Discordant Training Up,Proton Transmembrane Transport,12.907397422394427,TRUE
GOBP_OXIDATIVE_PHOSPHORYLATION,1.4847830659222797e-12,2.0871807669536047e-10,2.019488657726532,67,101,,GO:BP,4.387610619469027,Discordant Training Up,OXPHOS,9.680439935845554,TRUE
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,1.889131877242956e-10,2.0654508524522986e-8,2.2187298862904954,43,59,,GO:BP,5.822156196943973,Discordant Training Up,Proton Motive Force Driven ATP Synthesis,7.684985134632063,TRUE
