module,trait,r,p,n,fdr
black,comp_hypertrophy,-0.2747252747252747,0.34108328932123827,14,0.7230874445906932
blue,comp_hypertrophy,-0.1956043956043956,0.5021982661858478,14,0.7230874445906932
brown,comp_hypertrophy,0.3010989010989011,0.29502725098973737,14,0.7230874445906932
green,comp_hypertrophy,-0.059340659340659345,0.843783845369856,14,0.8675963081234351
greenyellow,comp_hypertrophy,-0.27912087912087913,0.3331322913883994,14,0.7230874445906932
magenta,comp_hypertrophy,-0.621978021978022,0.020228714777316435,14,0.24274457732779722
pink,comp_hypertrophy,0.22197802197802197,0.44483181548067274,14,0.7230874445906932
purple,comp_hypertrophy,-0.47692307692307695,0.08718372018811796,14,0.5231023211287078
red,comp_hypertrophy,0.17802197802197803,0.5423155834430199,14,0.7230874445906932
tan,comp_hypertrophy,-0.05054945054945055,0.8675963081234351,14,0.8675963081234351
turquoise,comp_hypertrophy,0.23956043956043957,0.40857216775622035,14,0.7230874445906932
yellow,comp_hypertrophy,-0.0945054945054945,0.7500182955644609,14,0.8675963081234351
black,d_mcsa,-0.5032967032967033,0.06937541494630213,14,0.23336150689347113
blue,d_mcsa,-0.16043956043956042,0.5838261875852353,14,0.7005914251022823
brown,d_mcsa,0.17362637362637362,0.5525664478729494,14,0.7005914251022823
green,d_mcsa,0.4637362637362637,0.09723396120561298,14,0.23336150689347113
greenyellow,d_mcsa,0.2,0.49239763172461265,14,0.7005914251022823
magenta,d_mcsa,-0.8241758241758242,4.663053911481939e-4,14,0.005595664693778327
pink,d_mcsa,0.4637362637362637,0.09723396120561298,14,0.23336150689347113
purple,d_mcsa,-0.6395604395604395,0.01626793175228186,14,0.09760759051369117
red,d_mcsa,0.2703296703296703,0.349143388060547,14,0.6410969504976017
tan,d_mcsa,0.006593406593406593,0.9879128860568023,14,0.9879128860568023
turquoise,d_mcsa,0.06813186813186813,0.8201008378545838,14,0.8946554594777276
yellow,d_mcsa,-0.2571428571428571,0.37397322112360104,14,0.6410969504976017
black,d_fcsa_I,-0.12967032967032965,0.6595063509027614,14,1
blue,d_fcsa_I,0.002197802197802198,1,14,1
brown,d_fcsa_I,0.22637362637362637,0.4356143325666364,14,1
green,d_fcsa_I,-0.16483516483516483,0.5733233609876441,14,1
greenyellow,d_fcsa_I,-0.41098901098901103,0.14579020079220265,14,1
magenta,d_fcsa_I,-0.389010989010989,0.1702476447869169,14,1
pink,d_fcsa_I,0.22637362637362637,0.4356143325666364,14,1
purple,d_fcsa_I,-0.10769230769230768,0.7156344310870946,14,1
red,d_fcsa_I,-0.015384615384615384,0.9637487725027485,14,1
tan,d_fcsa_I,-0.03296703296703296,0.9155316458468048,14,1
turquoise,d_fcsa_I,0.024175824175824177,0.9396149794774017,14,1
yellow,d_fcsa_I,0.07692307692307693,0.7965664278323408,14,1
black,d_fcsa_II,-0.07692307692307693,0.796566427832341,14,0.9879128860568023
blue,d_fcsa_II,-0.006593406593406593,0.9879128860568023,14,0.9879128860568023
brown,d_fcsa_II,0.3142857142857143,0.2734936392418834,14,0.9879128860568023
green,d_fcsa_II,-0.13406593406593406,0.64847616069147,14,0.9879128860568023
greenyellow,d_fcsa_II,-0.35824175824175825,0.20893105922758012,14,0.9879128860568023
magenta,d_fcsa_II,-0.44175824175824174,0.11579142780969627,14,0.9879128860568023
pink,d_fcsa_II,0.10769230769230768,0.7156344310870939,14,0.9879128860568023
purple,d_fcsa_II,-0.14725274725274726,0.6158119162444922,14,0.9879128860568023
red,d_fcsa_II,-0.024175824175824177,0.9396149794774024,14,0.9879128860568023
tan,d_fcsa_II,-0.041758241758241756,0.8915187985082426,14,0.9879128860568023
turquoise,d_fcsa_II,0.10769230769230768,0.7156344310870939,14,0.9879128860568023
yellow,d_fcsa_II,0.01978021978021978,0.9516768251422436,14,0.9879128860568023
black,d_1rm_legpress,0.12582904092563296,0.6681964445441553,14,0.852362870549654
blue,d_1rm_legpress,0.21413012227695433,0.4622812643559697,14,0.852362870549654
brown,d_1rm_legpress,0.4128075553174274,0.14238956027896152,14,0.852362870549654
green,d_1rm_legpress,0.12141398685806688,0.6792622983123581,14,0.852362870549654
greenyellow,d_1rm_legpress,0.28477098735801143,0.3237366782744612,14,0.852362870549654
magenta,d_1rm_legpress,-0.10375377058780261,0.7241098130956384,14,0.852362870549654
pink,d_1rm_legpress,-0.11258387872293474,0.7015731684265331,14,0.852362870549654
