uniprot_id,gene,logFC_lm,P_lm,FDR_lm,pi_lm,logFC_lp,P_lp,FDR_lp,pi_lp,contrast
A0FGR8,ESYT2,-0.322477987131144,0.350900537794431,0.850841062662258,0.713397959336171,-0.0278622050909405,0.8911622905418988,0.9927109704716178,0.9967946218929596,Training_HR
A1L0T0,ILVBL,0.492534749226831,0.475768808388215,0.881485140733607,0.693595557906158,0.17778308804650678,0.5042530264795408,0.9669378116758716,0.8853926950300667,Training_HR
A5D6W6,FITM1,0.473029507475644,0.302154451176324,0.844212567415058,0.567718410525406,0.2213900912133866,0.5140629437613812,0.9669378116758716,0.863022010402652,Training_HR
A5YM72,CARNS1,0.272865572669886,0.269078381559403,0.836391637804517,0.698929794244072,0.560065154559318,0.01132061273588693,0.9203554759338012,0.08129060649837341,Training_HR
A6NCE7,MAP1LC3B2,-0.756298373252605,0.00140611358086228,0.541916174064321,0.00696710683492208,-0.5827189173601788,0.00585309271363953,0.829528719884197,0.05000497786972498,Training_HR
A6NDG6,PGP,0.127608183075179,0.43417605156517,0.870659554237497,0.899007260864723,0.14535240079185385,0.3833444613476361,0.9669378116758716,0.8699087304437535,Training_HR
A6NNS2,DHRS7C,-0.454318440161085,0.0832887385378867,0.714748826685736,0.323297573074564,-0.34294496348640635,0.1599843170051964,0.9661776354581992,0.5333869144664091,Training_HR
A8MU46,SMTNL1,-0.207871904885241,0.425480993764656,0.870659554237497,0.837248952662067,-0.18525393040728488,0.3886640953543925,0.9669378116758716,0.8393962963125325,Training_HR
A8MXV4,NUDT19,-0.455602003339738,0.471290203710614,0.881320865415853,0.709822148147121,0.1600920206121792,0.5051651541761153,0.9669378116758716,0.8964417019644825,Training_HR
E9PAV3,NACA,0.160493149305381,0.320257527010662,0.850101006758143,0.832982797655936,0.079613081848386,0.5854122837749398,0.9669378116758716,0.9582678543266422,Training_HR
L0R6Q1,SLC35A4,0.132066348210767,0.756170203552985,0.928865487939548,0.963761844646342,0.3605624116319923,0.16150390740406945,0.9661776354581992,0.5182037663944234,Training_HR
