contrast,med_lfc,med_abs_lfc,n_above_05,n_total,ci_lo,ci_hi
Training_HR,-0.0145629655818666,0.220631148389309,315,1849,0.20819001340422,0.232459423816156
Training_LR,0.0070306390210888,0.148224428516404,136,1861,0.1394528893748031,0.156597204523973
Acute_HR,-6.191266327491e-4,0.261468343102457,399,1863,0.248311610217002,0.274780015567881
Acute_LR,-0.0260043946785427,0.175719273821983,255,1860,0.16717080515529198,0.1871835297793505
Baseline_HRvLR,0.0238258967420855,0.187152555689721,252,1849,0.17816723025335518,0.197896445181126
