pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_CELLULAR_RESPIRATION,0.04382050015841561,-1.5398878006163097,139,PNPT1;STOML2;NDUFA3;MDH1;ATP5F1B;NDUFB5;COQ9;NDUFS5;OGDH;UQCRH;ATP5PO;ATP5PD;IDH2;CISD1;SDHA;ISCU;SUCLA2;NDUFA5;TRAP1;GHITM;PDHB;ACO2;ATP5F1C;SIRT3;IDH3B;NIPSNAP2;COX6C;NDUFA10;CYC1;ETFDH;ACO1;SUCLG1;ETFB;IDH3G;NDUFC2;NDUFV1;ADSL;DLD;COA6;CHCHD10;CHCHD2;MTCH2;COX5A;NDUFS8;NDUFA9;UQCRC1;NDUFV3;SHMT2;NDUFB7;MT-ND5;UQCR11;UQCRC2;ETFA;COX7C;RHOA;NDUFS7,GO:BP,0.0015582035615111503,-0.32701512936317556,0.45505986738722953,Acute_LR
GOBP_TOR_SIGNALING,0.04382050015841561,-1.8559689062433002,34,UBE2D1;LAMTOR2;RPS6KA3;SESN1;PRKAA2;UBE3A;PRKACA;LAMTOR1;EPM2A;OTUB1;SAR1B;PRKAA1;TIPRL;DEPTOR;YWHAG,GO:BP,0.0015459076922308107,-0.5169249076376359,0.45505986738722953,Acute_LR
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,0.04945758857830779,-1.7756993133732462,48,TIMM8A;MTX1;PMPCB;FIS1;ROMO1;PRKAA1;HSPD1;DNM1L;TIMM50;TOMM70;MAVS;BCAP31;AIFM1;DNAJC19;HK1;AKT1;MTCH2;LMAN1;UBL5;TMEM126A;MTX2;HSPA4;PIN1;TSPO;ARIH2;PMPCA;UBE2L3;TIMM21;UBE2D3;MFN2;RALA;MAPT;PITRM1;SH3GLB1;NDUFA13,GO:BP,0.00179454240124484,-0.45720943822713783,0.45505986738722953,Acute_LR
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,0.05319928072288401,1.8340607971404943,21,SNCA;SPTB;ADD1;TMOD1;PFN1;MTPN;SPTBN1,GO:BP,0.001968913872907899,0.6558857818440319,0.4317076958033464,Acute_LR
GOBP_TORC1_SIGNALING,0.053699341437333716,-1.887006577346756,24,UBE2D1;LAMTOR2;RPS6KA3;SESN1;PRKAA2;UBE3A;PRKACA;LAMTOR1;OTUB1;SAR1B;PRKAA1;DEPTOR;YWHAG,GO:BP,0.0020263902429182535,-0.5782525562954625,0.4317076958033464,Acute_LR
GOBP_RENAL_SYSTEM_DEVELOPMENT,0.05504069526940714,1.8307649955543468,21,CAT;RBP4;ADIPOQ;AGT;AQP1;SERPINF1;MPST,GO:BP,0.002116949818054121,0.6547071571204113,0.4317076958033464,Acute_LR
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,0.06799062538546934,1.772049178176716,35,C3;IGHG2;IGHG1;IGKC;IGHA1;IGHM;IGHG3;FLOT1;LTF;IGHA2;CACNB3,GO:BP,0.0027137042062415195,0.5699114085196721,0.34452128726268,Acute_LR
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.06799062538546934,1.743365940753473,45,S100A9;CFH;C3;A2M;SERPING1;RBP4;TFRC;HLA-B;AZGP1,GO:BP,0.002689813688899407,0.5330346866421135,0.4317076958033464,Acute_LR
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,0.06826994031399687,1.832900051151315,12,IGHM;DEFA3;LYZ;AQP1;LTF;HMGB2;RPL30;CTSG,GO:BP,0.002789872998081052,0.7523594428901822,0.4317076958033464,Acute_LR
GOBP_LEUKOCYTE_CHEMOTAXIS,0.06826994031399687,1.8150080757985778,25,S100A8;S100A9;MPP1;PPBP;OXSR1;CTSG;DDT;PPIA;MIF;ANXA1;PPIB;CALR;MCU;C1QBP,GO:BP,0.0028364323983611725,0.6228922023245937,0.34452128726268,Acute_LR
