set_A,set_B,n_A,n_B,overlap,expected,odds_ratio,p_value,p_bh
Training_HR,Training_LR,62,27,3,0.9,3.77,0.05796266759515704,0.07160094232342928
Training_HR,Acute_HR,62,124,11,4.1,3.22,0.001973724167694599,0.00318832365550666
Training_HR,Acute_LR,62,119,5,4,1.3,0.36139219921236704,0.42162423241442826
Training_HR,Baseline_HRvLR,62,37,12,1.2,16.99,5.91800349413272e-10,2.4855614675357425e-9
Training_HR,Training_Interaction,62,48,23,1.6,41.59,1.9207652706367334e-23,2.01680353416857e-22
Training_HR,Acute_Interaction,62,120,9,4,2.59,0.015514475083703657,0.021720265117185118
Training_LR,Acute_HR,27,124,2,1.8,1.13,0.5452323971187898,0.5724940169747293
Training_LR,Acute_LR,27,119,9,1.7,7.84,2.2830459220260756e-5,5.327107151394177e-5
Training_LR,Baseline_HRvLR,27,37,4,0.5,9.48,0.001658499917954032,0.002902374856419556
Training_LR,Training_Interaction,27,48,7,0.7,15.27,2.863565121959823e-6,8.590695365879468e-6
Training_LR,Acute_Interaction,27,120,7,1.7,5.34,0.0011516416572670035,0.002198588618418825
Acute_HR,Acute_LR,124,119,23,7.9,3.9,1.1865532818270851e-6,4.152936486394798e-6
Acute_HR,Baseline_HRvLR,124,37,1,2.5,0.39,0.9234639702967532,0.9234639702967532
Acute_HR,Training_Interaction,124,48,10,3.2,3.93,8.758036778833107e-4,0.0018391877235549524
Acute_HR,Acute_Interaction,124,120,42,8,10.9,2.487401498284174e-22,1.7411810487989217e-21
Acute_LR,Baseline_HRvLR,119,37,3,2.4,1.3,0.4235856010519218,0.4681735590573873
Acute_LR,Training_Interaction,119,48,7,3.1,2.6,0.029720687489957105,0.0390084023305687
Acute_LR,Acute_Interaction,119,120,44,7.7,12.86,2.485466044320013e-25,5.219478693072027e-24
Baseline_HRvLR,Training_Interaction,37,48,14,1,31.87,2.9146542347106124e-14,1.5301934732230715e-13
Baseline_HRvLR,Acute_Interaction,37,120,7,2.4,3.54,0.007789092645110258,0.011683638967665387
Training_Interaction,Acute_Interaction,48,120,13,3.1,5.93,4.765025423875583e-6,1.2508191737673405e-5
