gene,logFC,neg_log10_p,pi_score,adj_pval,direction
SEPTIN2,-0.6503,1.621,0.088274,0.408636,NS
NDUFA3,-0.6484,1.5977,0.092062,0.423055,NS
PITHD1,0.679,1.5145,0.093695,0.452698,NS
TSN,0.5946,1.7229,0.094509,0.375924,NS
LSM4,-0.8437,1.1999,0.097188,0.616207,NS
ABCF2,0.6702,1.5043,0.098149,0.459906,NS
MTPN,0.5527,1.8072,0.100278,0.344736,NS
SESN1,-0.6079,1.6288,0.10229100000000001,0.408636,NS
COPS7A,-0.3585,2.7491,0.103405,0.100842,NS
H3-3A,0.8712,1.1264,0.104375,0.632908,NS
CAND1,0.5719,1.706,0.105782,0.382481,NS
ESYT2,0.6143,1.5848,0.106288,0.427826,NS
DCAF8,2.0559,0.464,0.11118,0.914796,NS
CAB39L,1.0524,0.8965,0.113904,0.710993,NS
ILF2,0.7548,1.2251,0.118932,0.616207,NS
GPC1,0.8574,1.0665,0.121788,0.665728,NS
SLK,-0.8727,1.0429,0.123003,0.665728,NS
FAM98B,-0.787,1.1285,0.129373,0.632908,NS
DCUN1D1,0.6675,1.318,0.131895,0.564138,NS
VARS1,-0.5392,1.6198,0.133848,0.408636,NS
PRDX2,0.4977,1.7348,0.136978,0.372937,NS
MICU2,0.6299,1.3592,0.13926,0.542835,NS
OSTF1,0.9139,0.9311,0.140961,0.705671,NS
NDUFAF5,0.6725,1.2535,0.143562,0.599412,NS
APPL1,-0.5342,1.5762,0.143902,0.429043,NS
PFN1,0.434,1.9322,0.145025,0.295931,NS
ABCB7,0.6067,1.3749,0.146497,0.532319,NS
RAB1B,0.4837,1.7213,0.147057,0.375924,NS
PPP1R3A,-0.7819,1.0639,0.147273,0.665728,NS
LAMTOR2,-0.5211,1.5901,0.148399,0.426199,NS
PAFAH1B3,0.7157,1.1573,0.148485,0.621453,NS
AIMP1,0.4383,1.8771,0.150378,0.319147,NS
PPP1R1A,-0.6907,1.1913,0.150393,0.616207,NS
CPNE3,0.3978,2.0639,0.150986,0.251612,NS
HMGB2,0.7505,1.0927,0.151315,0.655786,NS
PSME1,0.4871,1.6667,0.154211,0.40637,NS
SSB,-0.8985,0.8976,0.156127,0.710993,NS
RAB8A,-0.7311,1.1,0.156975,0.653126,NS
ARCN1,-0.4891,1.6408,0.157591,0.408636,NS
LMNB2,-0.921,0.8656,0.159516,0.730276,NS
PRKRA,-0.753,1.0582,0.159652,0.665728,NS
UBE3A,-0.63,1.2589,0.161004,0.598809,NS
TIGAR,1.3171,0.6021,0.161055,0.846793,NS
RAB5C,0.6168,1.2796,0.162471,0.590868,NS
SYNPO2,0.7588,1.037,0.16335,0.665728,NS
NUBP2,1.0593,0.7419,0.163719,0.787866,NS
DCN,-0.5315,1.4709,0.165254,0.473265,NS
S100A4,0.7279,1.0642,0.168038,0.665728,NS
FAM114A2,0.5186,1.4834,0.17007,0.473252,NS
MTX1,-0.4986,1.5392,0.170789,0.450143,NS
RPL5,0.7373,1.039,0.171368,0.665728,NS
GCLM,0.537,1.4251,0.171676,0.51271,NS
NDUFB5,-0.5984,1.2763,0.172316,0.590868,NS
GABARAPL2,0.6422,1.164,0.178849,0.621453,NS
KRT10,-0.827,0.9002,0.180126,0.710993,NS
PVALB,-1.0429,0.7128,0.180566,0.797945,NS
PREB,-0.7755,0.9544,0.181916,0.686485,NS
MYH13,0.7531,0.9812,0.182427,0.673048,NS
SCFD1,-0.6464,1.1155,0.190055,0.638337,NS
CMBL,-0.4101,1.7485,0.191818,0.365224,NS
PMPCB,-0.6161,1.164,0.191819,0.621453,NS
EIF3L,0.4616,1.5454,0.193509,0.450143,NS
CES2,-0.5551,1.2747,0.196084,0.590868,NS
HNRNPL,0.6088,1.1544,0.198266,0.621453,NS
MRPS16,-0.6735,1.0419,0.198754,0.665728,NS
HNRNPUL1,0.5872,1.1948,0.198765,0.616207,NS
DDX1,-0.4537,1.5428,0.199543,0.450143,NS
MRPL9,0.9455,0.7359,0.201487,0.787866,NS
SCRN3,-0.5207,1.3336,0.202083,0.554283,NS
STK38,0.5158,1.3219,0.208047,0.56246,NS
TCP1,0.4164,1.6369,0.208163,0.408636,NS
RAB6A,0.4848,1.4017,0.209185,0.522592,NS
RWDD1,-0.5495,1.2129,0.215517,0.616207,NS
PSMD9,0.4561,1.456,0.216708,0.480903,NS
DBT,-0.5019,1.3036,0.221695,0.568719,NS
RPS20,-0.4924,1.3227,0.223199,0.56246,NS
PLN,-0.6713,0.9696,0.223439,0.678799,NS
RPA2,0.484,1.3446,0.223481,0.547218,NS
MYL12B,0.4826,1.3454,0.224253,0.547218,NS
NME1,0.5628,1.1475,0.226044,0.625607,NS
TMEM43,-0.533,1.2077,0.227135,0.616207,NS
SSBP1,-0.4064,1.5804,0.227929,0.428515,NS
MAN2C1,-0.4651,1.3734,0.229752,0.532319,NS
PHPT1,-0.4866,1.3113,0.230084,0.565917,NS
SERPINB6,-0.5013,1.2698,0.230907,0.593825,NS
UFM1,0.4621,1.3724,0.23213,0.532319,NS
MYL4,0.7287,0.866,0.233866,0.730276,NS
LYRM7,0.5201,1.2115,0.2344,0.616207,NS
FECH,-0.4583,1.3705,0.23546,0.532319,NS
SLC25A11,0.4422,1.4115,0.237577,0.514867,NS
SEPTIN7,-0.4558,1.3491,0.242689,0.547218,NS
HLA-C,-0.8062,0.7627,0.242731,0.776791,NS
CYB5R1,-0.3718,1.6218,0.249423,0.408636,NS
SCN1B,0.5989,1.0059,0.249797,0.665728,NS
H2BC4,0.6679,0.9011,0.250145,0.710993,NS
SELENOW,-0.7,0.8571,0.251179,0.738564,NS
DIABLO,-0.4248,1.4119,0.251294,0.514867,NS
CACNB1,-0.4241,1.4111,0.252084,0.514867,NS
