gene,logFC,neg_log10_p,pi_score,adj_pval,direction
TRMT112,-1.8583,2.7662,7e-6,0.395929,Down
RTN4IP1,1.5057,3.0072,3e-5,0.383587,Up
LMAN2,1.2948,3.3665,4.4e-5,0.383587,Up
TOMM40,1.3038,2.8501,1.92e-4,0.383587,Up
DCUN1D1,-1.7179,2.1468,2.05e-4,0.555158,Down
ADD1,-2.1177,1.7227,2.25e-4,0.652315,Down
MYH3,-1.7439,2.0912,2.26e-4,0.555158,Down
DRG1,-2.1477,1.6821,2.44e-4,0.652315,Down
DYNLT1,1.3741,2.5249,3.39e-4,0.460123,Up
TMED5,1.5478,2.2126,3.76e-4,0.544457,Up
BCKDK,-2.1296,1.5077,6.15e-4,0.653271,Down
ACAD10,1.1303,2.838,6.2e-4,0.383587,Up
TPSB2,1.2109,2.5678,7.78e-4,0.454693,Up
TIMM13,1.2665,2.3616,0.001021,0.544457,Up
CPT1A,1.0849,2.6038,0.001496,0.454693,Up
ARL1,-1.3083,2.1036,0.001769,0.555158,Down
LTF,-3.2989,0.8271,0.001868,0.743602,Down
MAP1LC3B2,-0.8701,3.0624,0.002164,0.383587,Down
AKAP12,-1.7911,1.3959,0.003161,0.678026,Down
DHCR24,-1.5799,1.509,0.00413,0.653271,Down
PURA,-1.3034,1.8217,0.004222,0.652315,Down
SYNCRIP,-0.7283,3.1826,0.004809,0.383587,Down
NUBP2,-1.3565,1.6708,0.005415,0.652315,Down
SND1,-1.4654,1.5069,0.006192,0.653271,Down
COL6A2,-1.6495,1.2873000000000001,0.007528,0.678026,Down
TKFC,0.959,2.2096,0.007603,0.544457,Up
PEA15,-1.6241,1.2874,0.008112,0.678026,Down
MRPL13,-1.2569,1.5608,0.010921,0.653271,Down
EIF3B,0.8042,2.3925,0.011912,0.544457,Up
ANKRD2,-0.8292,2.2705,0.013101,0.544457,Down
RAB8A,-1.3607,1.3441,0.014829,0.678026,Down
HNRNPUL2,-1.1723,1.509,0.017022,0.653271,Down
SYNPO2L,-1.3845,1.2736,0.017248,0.678026,Down
C1QC,-1.6478,1.0612,0.01784,0.711942,Down
JUP,1.0319,1.6472,0.019966,0.652315,Up
APOL1,-1.5011,1.1094,0.021610999999999998,0.707591,Down
LAMP1,-1.7713,0.9188,0.023582,0.734324,Down
MRPL22,-0.9003,1.7892,0.024506,0.652315,Down
UFL1,0.9398,1.71,0.024716,0.652315,Up
CD9,1.4836,1.0688,0.025957,0.707591,Up
RTN4,-0.6935,2.2839,0.026066,0.544457,Down
HMGCL,0.7416,2.1335,0.026166,0.555158,Up
VDAC2,0.5987,2.5921,0.028061,0.454693,Up
MRC2,1.3153,1.1684,0.029058,0.707591,Up
EIF3M,-0.9712,1.5603,0.030528,0.653271,Down
UBE3C,-0.7145,2.1147,0.030831,0.555158,Down
GCDH,0.6555,2.2965,0.031228,0.544457,Up
TOMM7,-1.391,1.07,0.032482,0.707591,Down
MLYCD,-0.8742,1.6719,0.034546,0.652315,Down
HRC,-0.6551,2.2088,0.035726,0.544457,Down
MAP2K1,-0.7742,1.8462,0.037203,0.652315,Down
MYH4,-1.4058,1.0055,0.038588,0.721699,Down
PPID,-0.7755,1.8215,0.038666,0.652315,Down
PDPR,0.8072,1.7431,0.039168,0.652315,Up
MRPL9,-1.268,1.1067,0.039516,0.707591,Down
