uniprot_id,protein,gene,description,logFC,P.Value,adj.P.Val,t,B,pi_score,sig_pi,contrast
P20042,IF2B_HUMAN,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,-0.12126553493646952,0.6397016403433962,0.9552365564375793,-0.47136798497255705,-5.160729073400402,0.9472655722123043,0,Acute_HRvLR
P20073,ANXA7_HUMAN,ANXA7,Annexin A7,0.010932979185575675,0.9133222074762518,0.9880763079768137,0.10947524152994062,-5.51291073284527,0.9990092356281476,0,Acute_HRvLR
P20231,TRYB2_HUMAN,TPSB2,Tryptase beta-2,0.060421472498447315,0.8370717443768954,0.9799638406567546,0.20685951856118187,-5.284437398923207,0.9893118418964226,0,Acute_HRvLR
P20340,RAB6A_HUMAN,RAB6A,Ras-related protein Rab-6A,-0.1297656636301241,0.5299348680765639,0.9552365564375793,-0.6331047069016269,-5.186219238289858,0.9209022819661012,0,Acute_HRvLR
P20472,PRVA_HUMAN,PVALB,Parvalbumin alpha,0.5543792049979217,0.3024528344609033,0.9271672525851049,1.0433920241621726,-4.933312075384659,0.5153323495843264,0,Acute_HRvLR
P20618,PSB1_HUMAN,PSMB1,Proteasome subunit beta type-1,-0.11637444837025868,0.3500410987349427,0.9304101981422621,-0.9445382142366228,-5.102078032034571,0.8850078126473214,0,Acute_HRvLR
P20674,COX5A_HUMAN,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial",-0.02022172392991095,0.9139247363857114,0.9881779425695255,-0.10871115562244801,-5.625675530192452,0.9981815575307937,0,Acute_HRvLR
P20774,MIME_HUMAN,OGN,Mimecan,-0.13755283422683817,0.6855058629995929,0.9568943238151487,-0.40764594366926005,-5.228308830435078,0.949386107078926,0,Acute_HRvLR
P20807,CAN3_HUMAN,CAPN3,Calpain-3,-0.019957131589450228,0.9492369744954172,0.9914703658820319,-0.06402838978192865,-5.342919786976689,0.9989608375736078,0,Acute_HRvLR
P20810,ICAL_HUMAN,CAST,Calpastatin,-0.2679960779097641,0.19771226261774563,0.873704037184255,-1.30781646225398,-4.675597787692361,0.6476491016883344,0,Acute_HRvLR
P20929,NEBU_HUMAN,NEB,Nebulin,0.003970146987441581,0.9941546353200443,0.9995962661735098,0.007367791614845377,-5.561341556221819,0.9999767252218457,0,Acute_HRvLR
P20962,PTMS_HUMAN,PTMS,Parathymosin,0.318948378442073,0.4123349927733927,0.9515374698910672,0.8309519832035601,-5.0727088009412915,0.7538495377500416,0,Acute_HRvLR
P21266,GSTM3_HUMAN,GSTM3,Glutathione S-transferase Mu 3,7.667021011954489e-4,0.997839645376813,0.9995962661735098,0.0027229978612597007,-5.526955344038508,0.9999983418612148,0,Acute_HRvLR
P21281,VATB2_HUMAN,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",-0.0018130707726378148,0.9921961207233159,0.9995166318708459,-0.009836473115906767,-5.256374727313423,0.9999857956180478,0,Acute_HRvLR
P21291,CSRP1_HUMAN,CSRP1,Cysteine and glycine-rich protein 1,-0.6020100855137684,0.2890620952852719,0.9192269249415438,-1.0731027407195952,-4.876509140918654,0.47370856147419554,0,Acute_HRvLR
P21333,FLNA_HUMAN,FLNA,Filamin-A,0.11705745088880803,0.5682427399117502,0.9552365564375793,0.5749563045125126,-5.497076140484073,0.9359795575664449,0,Acute_HRvLR
P21397,AOFA_HUMAN,MAOA,Amine oxidase [flavin-containing] A,-0.3955950102632855,0.1045758079353294,0.781533527622883,-1.6572080593519727,-4.29001129557914,0.40934725910122155,0,Acute_HRvLR
P21399,ACOC_HUMAN,ACO1,Cytoplasmic aconitate hydratase,0.06595689927270953,0.7435369417996353,0.96619212305835,0.32923460873370763,-5.3367813157796835,0.9806443157390706,0,Acute_HRvLR
P21695,GPDA_HUMAN,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",-0.08144721954771228,0.6296550021786316,0.9552365564375793,-0.48559966763054524,-5.545216986165304,0.9630247972644768,0,Acute_HRvLR
P21796,VDAC1_HUMAN,VDAC1,Voltage-dependent anion-selective channel protein 1,-0.08287852917434435,0.5389737584395636,0.9552365564375793,-0.619194929254835,-5.489933681029103,0.9500636875873429,0,Acute_HRvLR
P21817,RYR1_HUMAN,RYR1,Ryanodine receptor 1,0.10056459744078694,0.44177906433357206,0.9515374698910672,0.7761914807744541,-5.284654323845609,0.9211284514563276,0,Acute_HRvLR
P21912,SDHB_HUMAN,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",-0.23836397666484643,0.06765604903207187,0.7317272566730073,-1.8733557179401532,-4.107348590106559,0.5262440971360564,0,Acute_HRvLR
P21926,CD9_HUMAN,CD9,CD9 antigen,-0.0170882830975998,0.9733681251918154,0.9959211517892035,-0.033574293319332815,-5.238478174895447,0.9995388435706005,0,Acute_HRvLR
P21953,ODBB_HUMAN,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",-0.1481754714556942,0.7396812612274168,0.96619212305835,-0.33437553714436763,-5.197818351555067,0.9563032336970753,0,Acute_HRvLR
P21964,COMT_HUMAN,COMT,Catechol O-methyltransferase,-0.2381000269926652,0.20125840898995118,0.8765666818420279,-1.2973451487594831,-4.733385538422172,0.682690433217456,0,Acute_HRvLR
P21980,TGM2_HUMAN,TGM2,Protein-glutamine gamma-glutamyltransferase 2,-0.9362915830232446,0.001284542635995313,0.49917326834777864,-3.4395543926625924,-1.4915584985721693,0.0019631142628265706,-1,Acute_HRvLR
P22033,MUTA_HUMAN,MMUT,"Methylmalonyl-CoA mutase, mitochondrial",-0.11497071128290415,0.5387230717917124,0.9552365564375793,-0.619579060755858,-5.171151384349264,0.9313542680748289,0,Acute_HRvLR
P22059,OSBP1_HUMAN,OSBP,Oxysterol-binding protein 1,0.09598106645793081,0.6726507316176884,0.9568943238151487,0.42534907523520693,-5.347109046401231,0.9626558713100368,0,Acute_HRvLR
P22061,PIMT_HUMAN,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,0.020157889456640987,0.8399572198538001,0.9799638406567546,0.203143588121372,-5.580215895741322,0.9964905496201404,0,Acute_HRvLR
P22102,PUR2_HUMAN,GART,Trifunctional purine biosynthetic protein adenosine-3,0.0643735413196751,0.7799617888504103,0.9667491156513277,0.281082439304166,-5.203085747247859,0.9841297890079803,0,Acute_HRvLR
P22234,PUR6_HUMAN,PAICS,Multifunctional protein ADE2,-0.1859258893300293,0.24939169280376236,0.8933963857613099,-1.167226107122429,-4.813723604828738,0.7724399842795491,0,Acute_HRvLR
P22307,NLTP_HUMAN,SCP2,Non-specific lipid-transfer protein,-0.2970648803371603,0.27185523291604474,0.912056511206595,-1.11272536939281,-4.7901159408896765,0.6791435738309978,0,Acute_HRvLR
P22314,UBA1_HUMAN,UBA1,Ubiquitin-like modifier-activating enzyme 1,0.13816666332521876,0.2809255056017538,0.9160478622288841,1.091626389231475,-5.044981643208044,0.8390999244567867,0,Acute_HRvLR
P22352,GPX3_HUMAN,GPX3,Glutathione peroxidase 3,-0.19647672341958966,0.5318360145735832,0.9552365564375793,-0.6301688312980902,-5.128302702430132,0.8833274151645176,0,Acute_HRvLR
P22392,NDKB_HUMAN,NME2,Nucleoside diphosphate kinase B,-0.031188752219414084,0.854207294511496,0.9799638406567546,-0.1848331767441788,-5.5393531254082395,0.9950972910566169,0,Acute_HRvLR
P22570,ADRO_HUMAN,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",-0.06049620388342447,0.8215767086197194,0.976925906797754,-0.22686548856223113,-5.229967335961909,0.9881810815483882,0,Acute_HRvLR
P22626,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,-0.09202231007793316,0.7455522086958705,0.96619212305835,-0.3265511121982845,-5.439104488633701,0.9733412668657874,0,Acute_HRvLR
P22695,QCR2_HUMAN,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",-0.03148416248370012,0.817527538831,0.976925906797754,-0.23210844695846647,-5.629616662232736,0.9936769392738585,0,Acute_HRvLR
P22830,HEMH_HUMAN,FECH,"Ferrochelatase, mitochondrial",0.3805792822506895,0.09549135085287275,0.7763167142557814,1.7036140459930886,-4.208158931603334,0.4090679415160336,0,Acute_HRvLR
