uniprot_id,protein,gene,description,logFC,P.Value,adj.P.Val,t,B,pi_score,sig_pi,contrast
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,0.2959826055797734,0.13025165606359787,0.8207873951098841,1.5418675703129103,-4.547687277971143,0.5470049305355763,0,Acute_HR
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,0.03267135630177975,0.8966599556294055,0.9915824096687166,0.13063271147805408,-5.548201294079827,0.996442597466906,0,Acute_HR
A5D6W6,FITM1_HUMAN,FITM1,Fat storage-inducing transmembrane protein 1,0.2419933655870743,0.45504593156969164,0.8914725735905683,0.7536812910768882,-5.308558022695196,0.8265167050145624,0,Acute_HR
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,-0.15882344944341398,0.42101158061414,0.8777097651644572,-0.8122493960102362,-5.436356657783868,0.8716238069615921,0,Acute_HR
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,0.8398840113380679,5.41337642857218e-5,0.03506063466905248,4.46966004029119,1.3904421981070172,2.609805730905537e-4,1,Acute_HR
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,-0.14994743256706045,0.33962585128289935,0.8471175216258403,-0.9653658685223078,-5.387854624174592,0.8505008756536696,0,Acute_HR
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,0.10224099932309016,0.6571577305254834,0.9530138579502059,0.44686742983119554,-5.710077084313105,0.9579842298285336,0,Acute_HR
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,-0.3764667020019701,0.07156538175106916,0.7723907576219418,-1.846310093469382,-4.324015603360554,0.3705389040764636,0,Acute_HR
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,-0.46076217420965726,0.04398011883728756,0.6931173074979325,-2.073684660166029,-3.799505522427104,0.23706305038239403,0,Acute_HR
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.12267011359778479,0.36884041691865965,0.8638088660586138,0.9079486197015193,-5.37134936196666,0.8848385392282975,0,Acute_HR
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,-0.0912676508977448,0.7060000242004141,0.9579786614655289,-0.3796871339915409,-5.497661652295565,0.9687255661787978,0,Acute_HR
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,0.3407949951103788,0.24723201151432975,0.8329784100210285,1.1726492410982763,-5.1740054350309315,0.6211165765812137,0,Acute_HR
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,-0.4366864104747066,0.0399637141161865,0.6861292623838889,-2.116696556889449,-3.7265884905637607,0.24511307401378685,0,Acute_HR
