uniprot_id,protein,gene,description,logFC,P.Value,adj.P.Val,t,B,pi_score,sig_pi,contrast
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,-0.027862205090940506,0.8911622905418988,0.9927109704716178,-0.13762622270231234,-4.75488054804739,0.9967946218929596,0,Training_HR
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,0.17778308804650678,0.5042530264795408,0.9669378116758717,0.6733267757312177,-4.694065402168276,0.8853926950300667,0,Training_HR
A5D6W6,FITM1_HUMAN,FITM1,Fat storage-inducing transmembrane protein 1,0.2213900912133866,0.5140629437613812,0.9669378116758717,0.6578359071517511,-4.698077263129507,0.863022010402652,0,Training_HR
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,0.560065154559318,0.011320612735886937,0.9203554759338012,2.6434469387294897,-3.6899162394560228,0.08129060649837341,0,Training_HR
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,-0.5827189173601788,0.005853092713639534,0.829528719884197,-2.8964907887675406,-3.7743261823125276,0.050004977869724986,0,Training_HR
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,0.14535240079185385,0.3833444613476361,0.9669378116758717,0.8805325613183821,-4.697389409308059,0.8699087304437535,0,Training_HR
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,-0.34294496348640635,0.1599843170051964,0.9661776354581993,-1.429228743990755,-4.4466545707129645,0.5333869144664091,0,Training_HR
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,-0.18525393040728488,0.3886640953543925,0.9669378116758717,-0.8706426460748,-4.717647813034897,0.8393962963125325,0,Training_HR
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,0.1600920206121792,0.5051651541761153,0.9669378116758717,0.6718795726679614,-4.703863828236552,0.8964417019644825,0,Training_HR
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.079613081848386,0.5854122837749398,0.9669378116758717,0.5495326000435286,-4.766638764014142,0.9582678543266422,0,Training_HR
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,0.3605624116319923,0.16150390740406945,0.9661776354581993,1.4239312125392853,-4.479766769177453,0.5182037663944234,0,Training_HR
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,-0.06887112731477885,0.8268164007772127,0.9835682595695436,-0.22009043437497258,-4.835345362839939,0.9869879953643929,0,Training_HR
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,-0.09662627850964611,0.652976666924971,0.9688462797366996,-0.45271039735657226,-4.749560020423031,0.9596530545885611,0,Training_HR
O00168,PLM_HUMAN,FXYD1,Phospholemman,-0.1543280712361419,0.5319513312729347,0.9669378116758717,-0.6299909288788017,-4.705467068288616,0.9071818215313413,0,Training_HR
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,-0.09703780748218449,0.6231354565205558,0.9674151037256452,-0.49488864171905256,-4.719219057684361,0.9551393391240043,0,Training_HR
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",0.314856398219554,0.09800489256416073,0.9661776354581993,1.6904216653685544,-4.30316218930509,0.4812690151807206,0,Training_HR
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,0.0312890563462922,0.8072178220934801,0.9810606271035425,0.2454875457207193,-4.775645678823095,0.9933214826130985,0,Training_HR
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,-0.1415433982317893,0.3252312857379134,0.9669378116758717,-0.9948614271521179,-4.625676383851204,0.8530098432901733,0,Training_HR
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,-0.3636389301759948,0.12052239751177868,0.9661776354581993,-1.5831979617033551,-4.429858998747946,0.46327670620784983,0,Training_HR
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,0.10708380296658149,0.6601420490718162,0.9688462797366996,0.44270638469811174,-4.75962888714063,0.9565024494996965,0,Training_HR
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,0.2022843290475116,0.4691508658547282,0.9669378116758717,0.7301644272927703,-4.702643728715474,0.8580481792388592,0,Training_HR
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,0.1824480217283515,0.2949476146205722,0.9669378116758717,1.0599292878480964,-4.603494538572046,0.8003058727880727,0,Training_HR
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",0.2742911847066871,0.060880576729180624,0.9661776354581993,1.9235551525915913,-4.1097182431797705,0.46408041248483417,0,Training_HR
O00410,IPO5_HUMAN,IPO5,Importin-5,-0.09179702055625683,0.5591502383349118,0.9669378116758717,-0.5885732715262757,-4.7696084783949715,0.9480339057427916,0,Training_HR
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,-0.36361124764005837,0.10453185149720169,0.9661776354581993,-1.6574244631921502,-4.390821441539109,0.43993425117926677,0,Training_HR
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,-0.16831891543389332,0.3780349884055706,0.9669378116758717,-0.8904906573924533,-4.6651942535820545,0.8489666769389423,0,Training_HR
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,-0.1601440150631106,0.5318916579458872,0.9669378116758717,-0.630082986129127,-4.734856945671248,0.9038413853455628,0,Training_HR
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,0.038362957132385134,0.8604652152491865,0.9835682595695436,0.1768124954503486,-4.942291151875677,0.9942513219491924,0,Training_HR
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,1.6328473894233753e-4,0.9991927872372324,0.9998786471475886,0.0010174423277268107,-4.8003417856816215,0.9999998681412573,0,Training_HR
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,-0.20966240002054448,0.11369966402037776,0.9661776354581993,-1.6138223598130654,-4.303363860332365,0.6339108770895352,0,Training_HR
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,-0.1278083134125012,0.5179388960016038,0.9669378116758717,-0.6517593743897148,-4.732677370599482,0.9193532599814939,0,Training_HR
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,0.09027426866329336,0.7278392333871486,0.9762459655124508,0.35022217323040034,-4.747195400904649,0.9717294214380697,0,Training_HR
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,-0.0959787982157998,0.5467245135295644,0.9669378116758717,-0.6073635161667762,-4.76735883626379,0.9436943182346954,0,Training_HR
O00748,EST2_HUMAN,CES2,Cocaine esterase,-0.31186873970074913,0.2738382473154501,0.9669378116758717,-1.1080705824001842,-4.586085850546135,0.6676855785061253,0,Training_HR
O00757,F16P2_HUMAN,FBP2,"Fructose-1,6-bisphosphatase isozyme 2",0.20413039011612355,0.27784678806760243,0.9669378116758717,1.098733449270285,-4.648798323566791,0.7699522197479999,0,Training_HR
O00763,ACACB_HUMAN,ACACB,Acetyl-CoA carboxylase 2,0.11778932374511086,0.5267019132221913,0.9669378116758717,0.6389133391033202,-4.716827000374467,0.9272638255110194,0,Training_HR
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,-0.14142195377025502,0.5038546174956189,0.9669378116758717,-0.6739593487480188,-4.684726093655402,0.9076103209085405,0,Training_HR
O14521,DHSD_HUMAN,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",0.4173974346010496,0.15244532546964515,0.9661776354581993,1.4561094683972438,-4.442738022931113,0.45607254172839007,0,Training_HR
O14556,G3PT_HUMAN,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",0.3892863147845631,0.38424852404773224,0.9669378116758717,0.8788456962494071,-4.661036484664397,0.6891205757124859,0,Training_HR
O14558,HSPB6_HUMAN,HSPB6,Heat shock protein beta-6,-0.038852301334070916,0.8584693129578664,0.9835682595695436,-0.17936932548632864,-4.952323179767398,0.9940885120448518,0,Training_HR
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",-0.06234973839501734,0.7818930302430774,0.9810606271035425,-0.2785488838026324,-4.871028203931365,0.9847767003674399,0,Training_HR
O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,-0.16740872466149526,0.5966483993690175,0.9669378116758717,-0.533089003008061,-4.719008490556975,0.9171773407240662,0,Training_HR
O14653,GOSR2_HUMAN,GOSR2,Golgi SNAP receptor complex member 2,-0.3140145522719031,0.46036978203203593,0.9669378116758717,-0.7447561228719449,-4.673732741526707,0.7838097033306317,0,Training_HR
O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,-0.3532970636177133,0.16307924688840175,0.9661776354581993,-1.4184802675954205,-4.461152048815249,0.5269176817470603,0,Training_HR
O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,0.2821883604561535,0.14652779545189235,0.9661776354581993,1.4779514930058675,-4.4306062476886465,0.5816106316849725,0,Training_HR
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,0.14619094271943567,0.38629990822159865,0.9669378116758717,0.87502736572885,-4.6472866235986645,0.8701860535494187,0,Training_HR
O14791,APOL1_HUMAN,APOL1,Apolipoprotein L1,-0.4040200309655795,0.2713505617354931,0.9669378116758717,-1.113913833247187,-4.585592032139383,0.5903846617661402,0,Training_HR
O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,0.008676808125173352,0.9423259753576505,0.9927109704716178,0.07276016790839002,-4.871936255917392,0.9994846955468473,0,Training_HR
O14841,OPLA_HUMAN,OPLAH,5-oxoprolinase,0.25207907817431163,0.28803355297596817,0.9669378116758717,1.0754240201492247,-4.597614617636788,0.7306963034944148,0,Training_HR
O14874,BCKD_HUMAN,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-0.17066113604856525,0.6279623992076426,0.9674151037256452,-0.4880071431580232,-4.7121642971603235,0.9236663569885794,0,Training_HR
O14880,MGST3_HUMAN,MGST3,Microsomal glutathione S-transferase 3,-0.14708530694294808,0.6028549956932443,0.9669378116758717,-0.5240685937555082,-4.82162933784614,0.9282662094817238,0,Training_HR
O14949,QCR8_HUMAN,UQCRQ,Cytochrome b-c1 complex subunit 8,0.08861440969748458,0.6450829442942184,0.9678328230415887,0.4637849855912542,-4.825895927788109,0.9618983841620234,0,Training_HR
O14950,ML12B_HUMAN,MYL12B,Myosin regulatory light chain 12B,0.06355726571414522,0.7970804268178884,0.9810606271035425,0.2586869126716142,-4.831513086462855,0.9856886269970899,0,Training_HR
O14957,QCR10_HUMAN,UQCR11,Cytochrome b-c1 complex subunit 10,0.09965052323655854,0.8037528051280708,0.9810606271035425,0.24999413190488587,-4.844905385191115,0.9784652528382902,0,Training_HR
