uniprot_id,protein,gene,description,logFC,P.Value,adj.P.Val,t,B,pi_score,sig_pi,contrast
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,0.30831105115823476,0.13239966285321547,0.8539577834790023,1.5330792175472445,-4.429462234574625,0.5361274213563286,0,Trained_HRvLR
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,-0.014207716785609392,0.9576645327215477,0.9968672861115202,-0.053387182187803,-5.309056268984005,0.9993855951486514,0,Trained_HRvLR
A5D6W6,FITM1_HUMAN,FITM1,Fat storage-inducing transmembrane protein 1,-0.2932544796393479,0.39590677204640967,0.9462930431717019,-0.8573135386772075,-5.025658240018667,0.7620655410692572,0,Trained_HRvLR
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,0.32688964823401534,0.1256430552946311,0.8539577834790023,1.5611232367193233,-4.472198926428896,0.5075954230805074,0,Trained_HRvLR
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,-0.5805335011962676,0.006247493872762982,0.5117759081072929,-2.8720134696899775,-2.453478432976296,0.05252104916029521,0,Trained_HRvLR
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,-0.016910664212201,0.9183663180625964,0.9935024897306725,-0.10308061737021092,-5.551687382706358,0.9985609423903944,0,Trained_HRvLR
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,-0.02432258647312935,0.9212448469534129,0.9935024897306725,-0.0994333368535887,-5.527384702177459,0.9980068211434341,0,Trained_HRvLR
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,0.44021065775369905,0.04884187433103488,0.781672626806825,2.0259883845063027,-3.8699351569545475,0.26472344477952486,0,Trained_HRvLR
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,-0.011691514906752687,0.9613964101559929,0.9989268582529915,-0.04867710738513509,-5.346935006665058,0.9995398290033937,0,Trained_HRvLR
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",-0.026253672857098564,0.8566459422178674,0.9935024897306725,-0.18170618321147336,-5.465694828685131,0.9959459936792571,0,Trained_HRvLR
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,3.013562464460051e-5,0.9999068156795563,0.9999068156795563,1.1745311740261687e-4,-5.312179841882925,0.9999999971917014,0,Trained_HRvLR
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,-0.11064998197712228,0.7255366699274445,0.9887981810061182,-0.3533137086591789,-5.472057352172646,0.9651214355685306,0,Trained_HRvLR
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,-3.682375574562968e-4,0.9986412143190024,0.9999068156795563,-0.0017126668174427195,-5.374257467721456,0.9999994993039586,0,Trained_HRvLR
O00168,PLM_HUMAN,FXYD1,Phospholemman,-0.7697447034747906,0.0034757259631788503,0.5117759081072929,-3.0884204318431574,-2.02515963953273,0.012800673462036784,-1,Trained_HRvLR
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,0.03798172892973284,0.8483345082517393,0.9935024897306725,0.1923712955397036,-5.2829063743187055,0.9937722290483397,0,Trained_HRvLR
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",-0.13416414152639788,0.4654133287822232,0.9569547744606316,-0.7363557952516193,-5.298501570475411,0.902476454416696,0,Trained_HRvLR
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,0.08115381529060528,0.5293119560263704,0.9692923373654573,0.6340678516130064,-5.222625852690096,0.9496818776776178,0,Trained_HRvLR
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,0.06423941807743816,0.657788740350929,0.9816096510910385,0.44598695629278806,-5.278917755487102,0.9734507374437928,0,Trained_HRvLR
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,-0.25280728241905237,0.2776978739967003,0.9275007598482132,-1.0990786116005955,-4.8233955901829795,0.7233210261360312,0,Trained_HRvLR
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,-0.02539874648471141,0.9164377902012749,0.9935024897306725,-0.10552496720497531,-5.40448202453828,0.9977861318858251,0,Trained_HRvLR
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,0.19944031644046234,0.4754706517913202,0.9584860117273755,0.7197592654111536,-5.18835125882708,0.8621949040263127,0,Trained_HRvLR
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,0.11027585659947903,0.5240659152260652,0.9682426317325382,0.6422030890770525,-5.180491119179572,0.9312258891247628,0,Trained_HRvLR
