gene,logFC,neg_log10_p,pi_score,adj_pval,direction
OXCT1,1.2475,0.916,0.072004,0.767448,NS
DDI2,-1.273,0.8802,0.075766,0.767448,NS
LXN,-1.3065,0.8566,0.076007,0.767448,NS
ARF5,0.8888,1.2466,0.078001,0.757992,NS
STK38,-0.8176,1.3473,0.079139,0.757992,NS
NDUFA3,0.8561,1.2863,0.07922,0.757992,NS
RBBP7,1.1058,0.9865,0.08113,0.757992,NS
CPT1A,-0.8859,1.2226,0.082591,0.757992,NS
MRPS36,-0.8081,1.3337,0.083624,0.757992,NS
APOO,-0.7525,1.4228,0.084978,0.757992,NS
VPS35,0.5576,1.9159,0.085444,0.757992,NS
SELENBP1,-0.6841,1.56,0.085664,0.757992,NS
RPS5,1.1066,0.9628,0.086015,0.767448,NS
PLN,1.038,1.0241,0.086484,0.757992,NS
GCLC,-1.0173,1.0441,0.086674,0.757992,NS
PSME3,0.713,1.4843,0.087436,0.757992,NS
HNRNPUL2,1.0596,0.988,0.089765,0.757992,NS
SMIM4,-0.9037,1.1529,0.090814,0.757992,NS
FARSA,0.9455,1.0884,0.093523,0.757992,NS
PAFAH1B3,-1.0034,1.0252,0.0936,0.757992,NS
MRPL47,-0.7636,1.3397,0.094845,0.757992,NS
DHRS7,0.633,1.6159,0.094862,0.757992,NS
GLUL,-0.6651,1.527,0.096455,0.757992,NS
ALDH16A1,1.4125,0.7159,0.097464,0.815947,NS
MYH11,-1.1126,0.9059,0.098192,0.767448,NS
FAM114A2,-0.7117,1.413,0.098699,0.757992,NS
INPP1,1.1702,0.8593,0.098743,0.767448,NS
SEC24C,0.7678,1.3065,0.099275,0.757992,NS
HLA-B,-1.0059,0.9933,0.100188,0.757992,NS
CSNK2B,0.9328,1.063,0.10196,0.757992,NS
COQ3,-0.7142,1.3755,0.104152,0.757992,NS
THTPA,0.6296,1.5598,0.104215,0.757992,NS
GPC1,1.2,0.8132,0.105716,0.767448,NS
ALDH3A2,0.7428,1.3134,0.105795,0.757992,NS
NDUFA11,-0.8449,1.1512,0.106506,0.757992,NS
TIMM8A,0.8764,1.1082,0.106865,0.757992,NS
CLYBL,-1.1442,0.8475,0.107214,0.767448,NS
ATP5MG,-0.7179,1.3406,0.109044,0.757992,NS
LAMP1,1.193,0.7979,0.111701,0.775915,NS
RPL12,0.8214,1.1534,0.112871,0.757992,NS
RNF123,-0.5681,1.6669,0.112988,0.757992,NS
GPHN,-0.9557,0.9885,0.113571,0.757992,NS
PARVA,0.8344,1.1281,0.114489,0.757992,NS
PLIN2,-0.9222,1.0188,0.11492,0.757992,NS
RAB6A,-0.6949,1.3513,0.11507,0.757992,NS
MCTS1,0.6543,1.4283,0.116276,0.757992,NS
UFM1,-0.6741,1.3832,0.116842,0.757992,NS
DDX1,0.6359,1.4633,0.117334,0.757992,NS
EIF3E,0.6106,1.5222,0.117624,0.757992,NS
CES2,0.7581,1.22,0.118882,0.757992,NS
COA3,-0.8049,1.1425,0.120332,0.757992,NS
MB,0.5583,1.6438,0.120828,0.757992,NS
SRSF2,0.7726,1.1868,0.121077,0.757992,NS
OSTF1,1.3485,0.6778,0.121891,0.823249,NS
RBKS,1.2132,0.7528,0.12209,0.786658,NS
RPL7,0.7404,1.2307,0.122695,0.757992,NS
RPS27A,-0.8195,1.1116,0.122759,0.757992,NS
MRPL49,0.8712,1.0384,0.124557,0.757992,NS
MRPS27,-1.0587,0.849,0.126239,0.767448,NS
MAPRE1,0.6193,1.4455,0.127288,0.757992,NS
BDH1,-0.764,1.1663,0.128495,0.757992,NS
TPP2,-0.6201,1.4302,0.12974,0.757992,NS
MYLK2,-0.7347,1.2057,0.130077,0.757992,NS
ACAD9,-0.7606,1.1597,0.131199,0.757992,NS
COX19,-0.7219,1.2209,0.131411,0.757992,NS
PPM1A,0.625,1.4039,0.132608,0.757992,NS
MT-ATP6,-1.0188,0.8612,0.132627,0.767448,NS
CLIP2,0.6436,1.3617,0.132926,0.757992,NS
FIS1,0.7791,1.1197,0.134178,0.757992,NS
LMOD3,-0.7652,1.1376,0.134736,0.757992,NS
BLVRB,-0.64,1.3563,0.135499,0.757992,NS
TYMP,1.0999,0.7873,0.136142,0.775915,NS
DYNC1LI2,-0.6871,1.2451,0.13950099999999999,0.757992,NS
RPS7,0.9498,0.8965,0.140756,0.767448,NS
NCL,0.6117,1.3865,0.141852,0.757992,NS
ARL6IP5,0.616,1.3717,0.142914,0.757992,NS
USP9X,0.8723,0.9666,0.143471,0.767448,NS
AQP1,-0.7878,1.0704,0.143485,0.757992,NS
MPC1,1.5605,0.5383,0.14452,0.846197,NS
TUBB2A,0.7605,1.093,0.147517,0.757992,NS
TIMM10,-0.7651,1.0843,0.148064,0.757992,NS
CLIC5,-0.6372,1.2968,0.149167,0.757992,NS
CD63,0.906,0.9095,0.149981,0.767448,NS
ABCE1,0.6437,1.2608,0.154344,0.757992,NS
EHBP1L1,0.659,1.2272,0.155326,0.757992,NS
SEPTIN7,0.6413,1.2572,0.15625,0.757992,NS
CORO6,0.9448,0.8525,0.156508,0.767448,NS
RANBP1,-0.7732,1.0415,0.1566,0.757992,NS
MARCKS,1.0927,0.7363,0.156837,0.800256,NS
PAIP1,0.7019,1.1431,0.15764,0.757992,NS
SLC25A11,-0.6062,1.305,0.161765,0.757992,NS
LSM4,0.9424,0.8389,0.161987,0.767448,NS
HIGD1A,-1.0357,0.7605,0.163043,0.78251,NS
CACNG6,1.2585,0.6194,0.166163,0.834573,NS
HMGCL,-0.6031,1.2916,0.16636600000000001,0.757992,NS
PRXL2A,-0.6964,1.1073,0.16939,0.757992,NS
CLIC4,0.7364,1.0314,0.173967,0.757992,NS
HLA-DRB5,-1.0233,0.7221,0.182407,0.81527,NS
TAGLN,-1.1847,0.6216,0.18346,0.834573,NS
RPL27,0.7679,0.9545,0.184944,0.767448,NS
NHLRC2,0.6512,1.1124,0.188635,0.757992,NS
PGLS,-0.5928,1.2159,0.190222,0.757992,NS
MPP1,-0.8561,0.8377,0.191807,0.767448,NS
PDAP1,-0.7127,0.999,0.194093,0.757992,NS
BLVRA,-0.4718,1.5086,0.194172,0.757992,NS
TUBB,0.5686,1.2472,0.195366,0.757992,NS
RTN4IP1,-0.8456,0.8342,0.197037,0.767448,NS
GOSR2,1.2551,0.5616,0.197334,0.84259,NS
ENDOD1,-0.5886,1.1973,0.197343,0.757992,NS
ENSA,0.8914,0.7902,0.197517,0.775915,NS
ARIH2,0.8595,0.8172,0.198453,0.767448,NS
TMX1,0.615,1.1419,0.198475,0.757992,NS
PSMB2,-0.4647,1.5062,0.199539,0.757992,NS
PIP4K2B,0.6441,1.0798,0.201596,0.757992,NS
CHCHD10,-0.812,0.8526,0.203104,0.767448,NS
HHATL,0.7231,0.9553,0.203792,0.767448,NS
SYNE2,-1.1724,0.5881,0.204409,0.839747,NS
FBP2,-0.5709,1.2017,0.206021,0.757992,NS
NUDT19,-0.9651,0.7092,0.206819,0.818118,NS
PCYT2,0.9712,0.7029,0.207654,0.818118,NS
COBL,0.6579,1.0375,0.207731,0.757992,NS
ANK3,-0.6411,1.0586,0.209556,0.757992,NS
BOLA2,0.7177,0.9386,0.212,0.767448,NS
FTH1,0.7685,0.8763,0.212093,0.767448,NS
USP15,-0.5971,1.123,0.213523,0.757992,NS
ARMT1,-0.5779,1.1507,0.216246,0.757992,NS
XRCC5,0.6717,0.9831,0.218598,0.757992,NS
SAR1A,-0.6862,0.9524,0.222015,0.767448,NS
NNMT,1.6691,0.391,0.222547,0.903575,NS
ACAD8,-0.6027,1.0824,0.222689,0.757992,NS
PRDX2,-0.5533,1.1649,0.22667,0.757992,NS
TOM1,0.5033,1.277,0.227664,0.757992,NS
ACAA1,0.6311,1.0146,0.228929,0.757992,NS
MTARC2,-0.7229,0.8806,0.230903,0.767448,NS
BZW2,-0.5228,1.214,0.231925,0.757992,NS
UNC45B,0.5465,1.1555,0.233659,0.757992,NS
CAB39L,-1.3503,0.467,0.234127,0.877136,NS
IPO7,-0.632,0.9907,0.236526,0.757992,NS
SYNCRIP,0.4914,1.2737,0.236639,0.757992,NS
GLRX5,-0.4989,1.2544,0.236708,0.757992,NS
AKT1,0.7171,0.8705,0.237579,0.767448,NS
LMNB2,1.0833,0.5744,0.238638,0.839747,NS
CLIC1,-0.6733,0.9217,0.23955,0.767448,NS
PRKACA,0.4899,1.2461,0.245206,0.757992,NS
ANKRD2,0.6027,1.0113,0.245746,0.757992,NS
SLC25A6,-0.4896,1.2425,0.246389,0.757992,NS
NME1,-0.6822,0.8809,0.250643,0.767448,NS
PHKA2,-0.6876,0.8728,0.25108,0.767448,NS
RPS26,0.692,0.8643,0.252261,0.767448,NS
DBT,0.6003,0.9897,0.254583,0.757992,NS
TIMM13,-0.7554,0.7854,0.255104,0.775915,NS
ACTN3,-1.2952,0.4576,0.255421,0.877952,NS
CSRP1,-0.9316,0.6362,0.255437,0.834573,NS
HCCS,-0.5981,0.9872,0.25678,0.757992,NS
GARS1,0.5931,0.9929,0.257686,0.757992,NS
BDH2,-0.5569,1.056,0.258189,0.757992,NS
SUCLG2,-0.5729,1.0247,0.258793,0.757992,NS
ADH1B,-0.73,0.8019,0.259793,0.774648,NS
CDC37,-0.6529,0.8956,0.260167,0.767448,NS
MRPS17,-0.6548,0.8868,0.2626,0.767448,NS
UBE2D1,0.7123,0.8136,0.263345,0.767448,NS
RBBP4,0.6062,0.9546,0.263864,0.767448,NS
MRPL46,-0.6343,0.9122,0.263872,0.767448,NS
RPS11,-0.7469,0.7645,0.268541,0.781807,NS
RPS14,0.6994,0.8109,0.27093,0.769532,NS
OTUB1,0.4535,1.2479,0.271673,0.757992,NS
ARPC2,0.6828,0.8278,0.272128,0.767448,NS
MTPN,-0.5525,1.0227,0.272234,0.757992,NS
CAV1,0.6625,0.8423,0.276658,0.767448,NS
UQCR10,-0.679,0.82,0.277481,0.767448,NS
MAP2K6,-0.4942,1.122,0.278934,0.757992,NS
RAB8A,0.7854,0.7035,0.280225,0.818118,NS
TKT,-0.8929,0.6181,0.280591,0.835432,NS
PFKL,-0.6148,0.8945,0.281896,0.767448,NS
CAPZA1,-0.8479,0.6468,0.282883,0.828957,NS
RPLP1,0.6826,0.8009,0.283954,0.774648,NS
TFAM,-0.6309,0.8661,0.284163,0.767448,NS
PPIF,-0.4298,1.2697,0.284644,0.757992,NS
EEF1A2,0.64,0.8525,0.284689,0.767448,NS
SRSF3,0.6362,0.8568,0.285073,0.767448,NS
ELOC,0.5029,1.0789,0.286718,0.757992,NS
SMTN,-0.5497,0.9845,0.287634,0.757992,NS
LYRM7,-0.629,0.8556,0.28965,0.767448,NS
IDH1,-0.5583,0.9635,0.289807,0.767448,NS
SEPTIN2,0.617,0.8681,0.291325,0.767448,NS
EEF2,0.3814,1.4025,0.291805,0.757992,NS
GNAS,0.5095,1.0473,0.292657,0.757992,NS
PAFAH1B2,-0.5576,0.9566,0.292802,0.767448,NS
HLA-C,-1.0053,0.5304,0.29298,0.846197,NS
COPA,-1.1098,0.4766,0.295834,0.874032,NS
ETF1,0.4892,1.0787,0.296692,0.757992,NS
SNTA1,-0.4812,1.0739,0.304232,0.757992,NS
SCP2,-0.6556,0.7852,0.305657,0.775915,NS
BCAM,-0.6151,0.8366,0.305779,0.767448,NS
LZIC,-0.5837,0.8808,0.306144,0.767448,NS
TKFC,-0.5836,0.8772,0.307675,0.767448,NS
CASQ2,0.5723,0.8934,0.308075,0.767448,NS
