metric,estimate,ci_lower,ci_upper,p_value,n,note
Pearson_r,0.40840598960364416,0.369809235206409,0.44559558645611386,1.1833528842014474e-75,1859,95% CI from cor.test()
Spearman_rho,0.19761462751764236,0.15353081647589234,0.24091337742205687,8.000634750794719e-18,1859,95% CI via Fisher z-transformation
Sign_concordance_pct,57.57575757575758,54.897815362931645,60.04228329809725,NA,1419,"95% BCa bootstrap CI (10000 replicates, |logFC|>0.2 filter)"
