gene,logFC_Acute_HR,logFC_Acute_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
NUBP2,1.4601,1.0992,0.004295,0.155004,0.887092,HR only,Concordant Up
PPP1R3A,-1.6377,-0.7903,0,0.051479,0.127455,HR only,Concordant Down
KRT10,-1.3819,-0.8349,0.008665,0.181321,0.692251,HR only,Concordant Down
KRT8,-1.4531,-0.6146,0.04445,0.609759,0.551603,HR only,Concordant Down
HMGB2,1.2578,0.76,0.00817,0.148926,0.680369,HR only,Concordant Up
ECHDC2,1.4635,0.4723,2.79e-4,0.265028,0.062827,HR only,Concordant Up
SYNPO2,1.0852,0.749,0.019838,0.156458,0.841564,HR only,Concordant Up
ANXA1,1.3741,0.4573,0.001146,0.561674,0.18762,HR only,Concordant Up
TPSB2,-1.2007,-0.5407,4.27e-4,0.221194,0.282734,HR only,Concordant Down
S100A11,1.184,0.5363,0.036954,0.536169,0.576383,HR only,Concordant Up
PPP1R1A,-0.9551,-0.6948,0.025703,0.14564,0.886698,HR only,Concordant Down
EPM2A,-1.1698,-0.4658,8.84e-4,0.32833,0.23062,HR only,Concordant Down
CACNG1,-1.0571,-0.4867,0.001757,0.332346,0.392285,HR only,Concordant Down
AKAP12,1.299,0.2221,0.013187,0.923716,0.174514,HR only,Concordant Up
RPL11,0.9266,0.5889,0.032186,0.300148,0.812515,HR only,Concordant Up
RPL10A,1.0519,0.4401,0.012807,0.524503,0.453643,HR only,Concordant Up
MYL6B,1.0897,0.3964,0.014829,0.635615,0.387287,HR only,Concordant Up
ATPAF2,-0.9986,-0.4609,0.001574,0.323284,0.396237,HR only,Concordant Down
CHCHD10,-1.0688,-0.3095,0.016698,0.762534,0.295915,HR only,Concordant Down
RPL7A,1.0249,0.3401,0.005485,0.644612,0.275776,HR only,Concordant Up
RPA2,0.8354,0.4942,0.029523,0.213603,0.729974,HR only,Concordant Up
RPL15,1.1095,0.1894,9.72e-4,0.883129,0.055915,HR only,Concordant Up
RPLP1,1.004,0.1987,0.012247,0.889054,0.181842,HR only,Concordant Up
SHMT2,-0.9724,-0.2173,0.012693,0.854112,0.202829,HR only,Concordant Down
PHKB,-0.9178,-0.2323,0.00162,0.756853,0.127833,HR only,Concordant Down
NAGK,0.9073,0.2224,0.007561,0.821996,0.203793,HR only,Concordant Up
LRRC20,-0.83,-0.262,0.006779,0.691834,0.273388,HR only,Concordant Down
SYNCRIP,0.8381,0.2272,3.21e-4,0.669125,0.087561,HR only,Concordant Up
PLIN4,-0.6473,-0.4075,0.038949,0.27964,0.815553,HR only,Concordant Down
ACSF2,-0.8241,-0.2221,0.009728,0.787749,0.243306,HR only,Concordant Down
PLCD4,-0.6921,-0.3384,0.010019,0.380749,0.55442,HR only,Concordant Down
RPLP2,0.8185,0.1724,0.008709,0.87045,0.174425,HR only,Concordant Up
PPP2CB,-0.832,-0.1506,0.024718,0.905918,0.186902,HR only,Concordant Down
RPL12,0.9621,0.017,0.009357,0.999235,0.055243,HR only,Concordant Up
MAP2K6,-0.7944,-0.1735,0.002873,0.835673,0.123143,HR only,Concordant Down
PHKA1,-0.7804,-0.1857,0.007932,0.83136,0.195783,HR only,Concordant Down
NIBAN1,-0.847,-0.102,0.011915,0.962045,0.118595,HR only,Concordant Down
GMPR,-0.7752,-0.1513,0.040237,0.914883,0.274517,HR only,Concordant Down
RPL18A,0.9031,-0.01,0.046023,0.999776,0.121338,HR only,HR↑ LR↓
COX19,-0.8731,-0.027,0.010231,0.997658,0.060854,HR only,Concordant Down
CALU,-0.6425,-0.2573,0.006777,0.526965,0.393653,HR only,Concordant Down
SRSF2,0.8355,-0.0583,0.021855,0.990196,0.060646,HR only,HR↑ LR↓
COA6,-0.7181,-0.1724,0.021979,0.858929,0.276585,HR only,Concordant Down
DUSP28,-0.8647,0.0221,0.048861,0.998695,0.105293,HR only,HR↓ LR↑
NAA50,-0.7696,-0.1167,0.019106,0.941115,0.164931,HR only,Concordant Down
PHKA2,-0.8403,0.0426,0.041387,0.99505999999999994,0.091767,HR only,HR↓ LR↑
SMTN,-0.7781,-0.1004,0.01449,0.959797,0.142449,HR only,Concordant Down
HMGCL,-0.758,-0.1129,0.011831,0.938057,0.130952,HR only,Concordant Down
MYLK2,-0.8134,-0.0141,0.027702,0.999397,0.102843,HR only,Concordant Down
COQ3,-0.8117,0.0097,0.012319,0.999674,0.050401,HR only,HR↓ LR↑
HNRNPK,0.585,0.2075,0.036326,0.723591,0.472577,HR only,Concordant Up
ECI2,-0.6272,-0.1453,0.039575,0.88759,0.326848,HR only,Concordant Down
BPNT1,-0.7248,-0.0278,0.038334,0.996929,0.122018,HR only,Concordant Down
MAPRE1,0.7069,0.0138,0.020168,0.999183,0.079637,HR only,Concordant Up
TUBA8,-0.6378,-0.0787,0.040276,0.97063,0.215492,HR only,Concordant Down
HSDL2,-0.5289,-0.1246,0.042824,0.888468,0.342497,HR only,Concordant Down
COQ8A,-0.5117,-0.1197,0.045707,0.892489,0.348326,HR only,Concordant Down
FUS,0.5227,0.0983,0.040054,0.930288,0.281589,HR only,Concordant Up
ALDH1L1,-0.5968,0.022,0.028569,0.997474,0.076908,HR only,HR↓ LR↑
PGP,-0.4904,0.0464,0.044996,0.984683,0.077347,HR only,HR↓ LR↑
S100A9,4.048,5.6437,0,0,0.038645,Interaction,Concordant Up
DEFA3,0.482,2.9331,0.803049,0,0.001369,Interaction,Concordant Up
C1QC,0.5412,2.7489,0.611884,0,2.4e-5,Interaction,Concordant Up
SNCA,0.377,2.9038,0.821577,0,8e-6,Interaction,Concordant Up
CFH,0.8618,2.2521,0.069249,0,0.003114,Interaction,Concordant Up
ITIH4,0.7653,2.3133,0.197466,0,0.002616,Interaction,Concordant Up
C3,0.8091,2.0875,0.103399,0,0.00957,Interaction,Concordant Up
PNP,0.679,2.1329,0.352136,0,0.013346,Interaction,Concordant Up
IGHV3-7,0.6648,2.1199,0.2387,0,0.001455,Interaction,Concordant Up
HNRNPUL2,2.2121,0.5037,0,0.433683,5.58e-4,Interaction,Concordant Up
RO60,2.0646,-0.5114,0.011714,0.670412,0.001776,Interaction,HR↑ LR↓
CLU,0.6007,1.9498,0.349434,0,0.006428,Interaction,Concordant Up
SEPTIN6,0.3108,2.2356,0.914558,6e-6,0.01762,Interaction,Concordant Up
IGHG2,0.6384,1.7237,0.266216,0,0.039813,Interaction,Concordant Up
ANK1,0.2676,2.0813,0.878938,0,4.23e-4,Interaction,Concordant Up
CFB,0.6042,1.7234,0.282305,0,0.022187,Interaction,Concordant Up
C1QB,0.3911,1.9334,0.741304,1e-6,0.007774,Interaction,Concordant Up
PPP2R5D,1.5942,-0.7232,2.24e-4,0.252473,2e-6,Interaction,HR↑ LR↓
SPTB,0.5249,1.7919,0.483083,0,0.016607,Interaction,Concordant Up
IGKV3-20,0.5141,1.7798,0.588209,2e-6,0.047493,Interaction,Concordant Up
APOL1,0.0324,2.2588,0.998746,4.27e-4,0.003218,Interaction,Concordant Up
HP,0.2383,2.0243,0.908096,0,8.11e-4,Interaction,Concordant Up
SLC2A1,0.4341,1.8186,0.724122,9e-6,0.038051,Interaction,Concordant Up
APOE,0.3283,1.9145,0.816302,0,0.004061,Interaction,Concordant Up
CFI,0.3984,1.7477,0.509789,0,4.17e-4,Interaction,Concordant Up
CRIP2,1.0878,-0.9982,0.024088,0.016457,3e-6,Interaction,HR↑ LR↓
EPB41,-0.2281,1.7707,0.929351,1.8e-5,5.21e-4,Interaction,HR↓ LR↑
IGKV4-1,-0.002,1.9942,0.999994,0,6.9e-5,Interaction,HR↓ LR↑
PM20D2,1.5568,-0.3721,5.4e-5,0.678118,1.6e-5,Interaction,HR↑ LR↓
TPPP3,1.7404,0.1534,0.001004,0.970747,0.032395,Interaction,Concordant Up
ILF3,1.4518,0.4269,3e-6,0.382579,0.018096,Interaction,Concordant Up
SSB,0.9122,-0.9076,0.151493,0.167844,0.002602,Interaction,HR↑ LR↓
RBP4,0.0984,1.717,0.986989,5e-6,0.006581,Interaction,Concordant Up
PEA15,1.0853,-0.6849,0.12667,0.5451,0.023349,Interaction,HR↑ LR↓
PPBP,-0.3203,1.4483,0.863222,0.00536,0.007137,Interaction,HR↓ LR↑
C8G,0.2703,1.4604,0.855371,3.6e-5,0.034457,Interaction,Concordant Up
BPGM,0.0642,1.6357,0.992261,0,8.19e-4,Interaction,Concordant Up
ARL1,1.2605,-0.3979,0.013984,0.811037,0.016776,Interaction,HR↑ LR↓
SERPINF2,0.0419,1.6154,0.997121,5e-6,0.002368,Interaction,Concordant Up
