module,trait,cor,pval,pval_raw,stars,label,trait_label,xpos
MEturquoise,Training_HR,-0.2366,0.8379436975372415,0.20706862718689445,,-0.24,Trn_HR,1
MEgreenyellow,Training_HR,0.0526,0.9506281895299544,0.7819764352106874,,0.05,Trn_HR,1
MEpurple,Training_HR,-0.0925,0.9506281895299544,0.6260445197735832,,-0.09,Trn_HR,1
MEyellow,Training_HR,-0.3141,0.5988375123610993,0.09328599656193848,,-0.31,Trn_HR,1
MEblack,Training_HR,-0.0279,0.9506281895299544,0.8845250469070041,,-0.03,Trn_HR,1
MEmagenta,Training_HR,0.0261,0.9506281895299544,0.8914883238655824,,0.03,Trn_HR,1
MEbrown,Training_HR,0.1929,0.8379436975372415,0.3105261494102977,,0.19,Trn_HR,1
MEblue,Training_HR,0.2863,0.5988375123610993,0.124757815075229,,0.29,Trn_HR,1
MEgreen,Training_HR,0.3054,0.5988375123610993,0.1045804539184935,,0.31,Trn_HR,1
MEpink,Training_HR,0.1854,0.8379436975372415,0.3316860469418248,,0.19,Trn_HR,1
MEred,Training_HR,-0.2227,0.8379436975372415,0.2438635284553954,,-0.22,Trn_HR,1
MEturquoise,Training_LR,-0.0494,0.9506281895299544,0.8046011708667629,,-0.05,Trn_LR,2
MEgreenyellow,Training_LR,0.0395,0.9506281895299544,0.8433213998474769,,0.04,Trn_LR,2
MEpurple,Training_LR,-0.1807,0.8680397511126139,0.3616832296302558,,-0.18,Trn_LR,2
MEyellow,Training_LR,-0.0271,0.9506281895299544,0.8925859971788727,,-0.03,Trn_LR,2
MEblack,Training_LR,0.1175,0.9506281895299544,0.5574540159903862,,0.12,Trn_LR,2
MEmagenta,Training_LR,0.10780000000000001,0.9506281895299544,0.5903442748950065,,0.11,Trn_LR,2
MEbrown,Training_LR,0.2086,0.8379436975372415,0.29418698604815396,,0.21,Trn_LR,2
MEblue,Training_LR,-0.0289,0.9506281895299544,0.8851308849788182,,-0.03,Trn_LR,2
MEgreen,Training_LR,0.1163,0.9506281895299544,0.56206028705602,,0.12,Trn_LR,2
MEpink,Training_LR,0.0841,0.9506281895299544,0.6755157703647829,,0.08,Trn_LR,2
MEred,Training_LR,-0.0469,0.9506281895299544,0.8156992432170183,,-0.05,Trn_LR,2
MEturquoise,Acute_HR,-0.1332,0.9506281895299544,0.4819794801282574,,-0.13,"Acute
HR",3
MEgreenyellow,Acute_HR,-0.0586,0.9506281895299544,0.7577330232696221,,-0.06,"Acute
HR",3
MEpurple,Acute_HR,0.0489,0.9506281895299544,0.797187163150762,,0.05,"Acute
HR",3
MEyellow,Acute_HR,-0.0262,0.9506281895299544,0.8913907647284842,,-0.03,"Acute
HR",3
MEblack,Acute_HR,0.4598,0.15147709690779534,0.01105548138568401,,0.46,"Acute
HR",3
MEmagenta,Acute_HR,0.3803,0.31252749475223923,0.0390659368440299,,0.38,"Acute
HR",3
MEbrown,Acute_HR,-0.3943,0.309514277574693,0.03224107058069719,,-0.39,"Acute
HR",3
MEblue,Acute_HR,0.082,0.9506281895299544,0.6662903058859571,,0.08,"Acute
HR",3
MEgreen,Acute_HR,0.0215,0.9506281895299544,0.911018681632873,,0.02,"Acute
HR",3
MEpink,Acute_HR,0.5012,0.15147709690779534,0.0052432499149206,,0.50,"Acute
HR",3
