uniprot_id,module,gene,kME,GS,functional_group
O14653,turquoise,GOSR2,0.9403089851473151,-0.10848214705699931,Other
O60237,turquoise,PPP1R12B,0.8512220116980146,-0.03365752822886698,Other
O75663,turquoise,TIPRL,0.9257963077104375,0.08952660261155146,Other
P30153,turquoise,PPP2R1A,0.9083642466040915,0.027106399318992697,Other
P35270,turquoise,SPR,0.9218341166559599,-0.13116058978005932,Other
P49023,turquoise,PXN,0.9043142112994877,-0.12234831853816346,Other
Q13724,turquoise,MOGS,0.8891716876576237,0.041552191990318954,Other
Q14974,turquoise,KPNB1,0.8626544751711778,0.08118412409226472,Other
Q8IZ83,turquoise,ALDH16A1,0.8399194448072731,-0.21556628417798412,Other
Q92616,turquoise,GCN1,0.8923562106269296,-0.15660137849823144,Other
Q93008,turquoise,USP9X,0.8708374616653329,-0.10768258046735917,Other
Q96I23,turquoise,PYURF,0.8800027744722363,-0.09923574459081469,Other
Q9BYD2,turquoise,MRPL9,0.8939341611242893,-0.05188497857981939,Other
Q9NPQ8,turquoise,RIC8A,0.8730048664489517,-0.021985806730051356,Other
Q9NQ50,turquoise,MRPL40,0.8826398752591224,-0.01026987519860578,Other
Q9Y295,turquoise,DRG1,0.9397680439268643,-0.09490905238408426,Other
Q9Y5U8,turquoise,MPC1,0.8568137797707878,-0.12330056703646046,Other
O75298,blue,RTN2,0.8834337585569746,-0.16985201213304174,Other
O75964,blue,ATP5MG,0.8194251900095207,-0.10039289391909058,Other
O94760,blue,DDAH1,0.7976591163365516,0.0974924407142434,Other
O95747,blue,OXSR1,0.8125669713419106,0.026302658725641335,Other
P00846,blue,MT-ATP6,0.8949874329562529,-0.02758163901613954,Other
P07108,blue,DBI,0.856990561330036,0.10071362976088898,Other
P14868,blue,DARS1,0.8390129939894342,-0.055698464063653495,Other
P20042,blue,EIF2S2,0.838220820706108,0.07457081417108774,Other
P26885,blue,FKBP2,0.7962663469881003,0.07790784824327576,Other
P41567,blue,EIF1,0.816378107005431,-0.05077507933297447,Other
P46109,blue,CRKL,0.8427424506621913,-0.014758298675904556,Other
P52907,blue,CAPZA1,0.8791838293409964,-0.057604824532544875,Other
P58546,blue,MTPN,0.7865296785027222,-0.08979821794619623,Other
P62979,blue,RPS27A,0.7748892964489533,0.03270722627824976,Other
Q13085,blue,ACACA,0.7621160299643396,-0.10080848232003223,Other
Q15185,blue,PTGES3,0.9063358570636145,-0.01196155500744409,Other
Q9NR31,blue,SAR1A,0.8900897574730017,-3.178777702286125e-4,Other
Q9NWV4,blue,CZIB,0.7659668743147893,-0.11151578492950703,Other
Q9Y5L4,blue,TIMM13,0.7784405553460004,-0.11454565054870859,Other
O75521,brown,ECI2,0.7881458160983571,-0.06448771837482038,Fatty Acid Metabolism
P00505,brown,GOT2,0.8180153445203919,-0.2284941699723112,Oxidative Phosphorylation
P24752,brown,ACAT1,0.7423747035011984,-0.33983147050068246,Oxidative Phosphorylation
P30405,brown,PPIF,0.7303051521895475,-0.24834339849408632,Other
P35613,brown,BSG,0.695049025204124,-0.3617243947519909,Other
P40926,brown,MDH2,0.7358969085461488,-0.2511547947187813,Fatty Acid Metabolism
P48047,brown,ATP5PO,0.6990280375753151,-0.23007916106498308,Oxidative Phosphorylation
P53597,brown,SUCLG1,0.8140860163711199,-0.2317195375224889,Fatty Acid Metabolism
Q13907,brown,IDI1,0.6923969108422837,-0.41926341608970547,Fatty Acid Metabolism
Q16134,brown,ETFDH,0.851471848216937,-0.14174406853307034,Fatty Acid Metabolism
Q16698,brown,DECR1,0.6899226121854894,-0.08397646599321973,Fatty Acid Metabolism
Q5JTJ3,brown,COA6,0.7623089260132306,-0.2548243737165169,Other
Q6YN16,brown,HSDL2,0.7592801239068648,-0.18715339436145623,Fatty Acid Metabolism
Q9NR28,brown,DIABLO,0.7034876547165837,-0.09446000858310298,Other
Q9P2R7,brown,SUCLA2,0.8847809063615115,-0.17521135814158542,Fatty Acid Metabolism
P04632,yellow,CAPNS1,0.7941538694561584,0.24617729607395916,Other
P07451,yellow,CA3,0.8308312882185214,0.27523037905341324,Other
P10644,yellow,PRKAR1A,0.7714962330135626,0.21702284861836807,Other
P13639,yellow,EEF2,0.8842189881516246,0.1854373338751274,Other
P26640,yellow,VARS1,0.7766808120922437,0.19874718460353594,Other
P61981,yellow,YWHAG,0.8693141488321352,0.06729545368539633,Other
P62258,yellow,YWHAE,0.8327085642599016,0.022658382803473823,Other
P68104,yellow,EEF1A1,0.8333743220824416,0.17275298751393095,Other
Q04917,yellow,YWHAH,0.7468097758976053,0.002822115912329671,Other
O00217,green,NDUFS8,0.9172534651653603,-0.2092050866018059,Other
O95182,green,NDUFA7,0.854017865518436,-0.25003472277164673,Other
P17568,green,NDUFB7,0.8188409399407877,-0.2980470290320266,Other
P28331,green,NDUFS1,0.886731287539357,-0.1951720097489469,Other
P49821,green,NDUFV1,0.8832567866935302,-0.2959855960508123,Other
P51970,green,NDUFA8,0.8315209773855242,-0.053098016913692904,Other
Q16891,green,IMMT,0.9154941420728583,-0.16503570734661055,Other
Q9UI09,green,NDUFA12,0.9041197768270631,-0.22671922876634018,Other
Q9Y512,green,SAMM50,0.8961791343904397,-0.2718303726281788,Other
Q9Y6M9,green,NDUFB9,0.8969882317889502,-0.31609624418938487,Other
