module,sample_id,subject,group,timepoint,group_time,eigengene
turquoise,S03_T2,HR_S03,HR,T2,HR_T2,-0.06777058677339742
blue,S03_T2,HR_S03,HR,T2,HR_T2,0.10522534010873168
brown,S03_T2,HR_S03,HR,T2,HR_T2,0.05962377317559846
yellow,S03_T2,HR_S03,HR,T2,HR_T2,-0.1821766414903135
green,S03_T2,HR_S03,HR,T2,HR_T2,0.1689106332278985
turquoise,S10_T2,HR_S10,HR,T2,HR_T2,-0.07302180607571077
blue,S10_T2,HR_S10,HR,T2,HR_T2,-3.8581246982517434e-4
brown,S10_T2,HR_S10,HR,T2,HR_T2,0.0908434138683098
yellow,S10_T2,HR_S10,HR,T2,HR_T2,0.03839680565537047
green,S10_T2,HR_S10,HR,T2,HR_T2,0.12397412302904685
turquoise,S16_T2,HR_S16,HR,T2,HR_T2,-0.1288030163357349
blue,S16_T2,HR_S16,HR,T2,HR_T2,0.11102603658551922
brown,S16_T2,HR_S16,HR,T2,HR_T2,0.07045442997737375
yellow,S16_T2,HR_S16,HR,T2,HR_T2,-0.008752364806348221
green,S16_T2,HR_S16,HR,T2,HR_T2,-0.014967575660039424
turquoise,S22_T2,HR_S22,HR,T2,HR_T2,-0.08957426492872515
blue,S22_T2,HR_S22,HR,T2,HR_T2,0.07567379849107433
brown,S22_T2,HR_S22,HR,T2,HR_T2,0.06638794682334302
yellow,S22_T2,HR_S22,HR,T2,HR_T2,0.13096710312307303
green,S22_T2,HR_S22,HR,T2,HR_T2,-0.11292502430467764
turquoise,S24_T2,HR_S24,HR,T2,HR_T2,0.1856924404326814
blue,S24_T2,HR_S24,HR,T2,HR_T2,-0.020069122378212508
brown,S24_T2,HR_S24,HR,T2,HR_T2,0.05845165329589149
yellow,S24_T2,HR_S24,HR,T2,HR_T2,-0.08685148951526804
green,S24_T2,HR_S24,HR,T2,HR_T2,0.026982805130946554
turquoise,S27_T2,HR_S27,HR,T2,HR_T2,-0.08933744641881346
blue,S27_T2,HR_S27,HR,T2,HR_T2,0.1086992094806969
brown,S27_T2,HR_S27,HR,T2,HR_T2,0.003712789245436509
yellow,S27_T2,HR_S27,HR,T2,HR_T2,-0.08837093425380196
green,S27_T2,HR_S27,HR,T2,HR_T2,-0.05007052006526018
turquoise,S29_T2,HR_S29,HR,T2,HR_T2,-0.08001265559998952
blue,S29_T2,HR_S29,HR,T2,HR_T2,0.10657895936269077
brown,S29_T2,HR_S29,HR,T2,HR_T2,0.022841353045520384
yellow,S29_T2,HR_S29,HR,T2,HR_T2,-0.13444381676956288
green,S29_T2,HR_S29,HR,T2,HR_T2,0.025287309102093026
turquoise,S04_T2,LR_S04,LR,T2,LR_T2,-0.300000881811236
blue,S04_T2,LR_S04,LR,T2,LR_T2,0.019525810618664808
brown,S04_T2,LR_S04,LR,T2,LR_T2,0.030087518815982477
yellow,S04_T2,LR_S04,LR,T2,LR_T2,0.06401558233312596
green,S04_T2,LR_S04,LR,T2,LR_T2,0.24420311881878282
turquoise,S05_T2,LR_S05,LR,T2,LR_T2,0.06666247762807317
blue,S05_T2,LR_S05,LR,T2,LR_T2,-0.026456444704082746
brown,S05_T2,LR_S05,LR,T2,LR_T2,-0.011388345469751185
yellow,S05_T2,LR_S05,LR,T2,LR_T2,-0.02644183264731516
green,S05_T2,LR_S05,LR,T2,LR_T2,0.09791677616883362
turquoise,S06_T2,LR_S06,LR,T2,LR_T2,0.11097986717206874
blue,S06_T2,LR_S06,LR,T2,LR_T2,0.029079293989877943
brown,S06_T2,LR_S06,LR,T2,LR_T2,0.1429002739971587
yellow,S06_T2,LR_S06,LR,T2,LR_T2,-0.04847554899516918
green,S06_T2,LR_S06,LR,T2,LR_T2,0.027445269152223947
turquoise,S12_T2,LR_S12,LR,T2,LR_T2,0.12114628169014804
blue,S12_T2,LR_S12,LR,T2,LR_T2,-0.0053486135320304825
brown,S12_T2,LR_S12,LR,T2,LR_T2,0.05329885121889825
yellow,S12_T2,LR_S12,LR,T2,LR_T2,-0.2575955182057618
green,S12_T2,LR_S12,LR,T2,LR_T2,0.2234529298392925
turquoise,S14_T2,LR_S14,LR,T2,LR_T2,0.08942278131448592
blue,S14_T2,LR_S14,LR,T2,LR_T2,0.041611825738768864
brown,S14_T2,LR_S14,LR,T2,LR_T2,-0.18331520752712555
yellow,S14_T2,LR_S14,LR,T2,LR_T2,0.11040890600397889
green,S14_T2,LR_S14,LR,T2,LR_T2,-0.27454219642063943
