module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
turquoise,O14653,GOSR2,0.9403,0.8934,0.967,9.537221684072476e-22,-0.1085,-0.3896,0.1911,0.4781136399606276,45
turquoise,O60237,PPP1R12B,0.8512,0.7434,0.9159,1.2852280333389937e-13,-0.0337,-0.324,0.2625,0.8262682655798386,45
turquoise,O75663,TIPRL,0.9258,0.8682,0.9588,8.868324863671532e-20,0.0895,-0.2095,0.3733,0.5586558718274078,45
turquoise,P30153,PPP2R1A,0.9084,0.8384,0.9489,6.934448234252116e-18,0.0271,-0.2686,0.3181,0.8597041724659644,45
turquoise,P35270,SPR,0.9218,0.8614,0.9565,2.6067558049141096e-19,-0.1312,-0.4089,0.1689,0.39044449898552347,45
turquoise,P49023,PXN,0.9043,0.8315,0.9466,1.6859167072567647e-17,-0.1223,-0.4015,0.1776,0.42333058763045595,45
turquoise,Q13724,MOGS,0.8892,0.806,0.9379,3.39625783024986e-16,0.0416,-0.2551,0.331,0.7863804257084007,45
turquoise,Q14974,KPNB1,0.8627,0.7621,0.9226,2.596815547635476e-14,0.0812,-0.2175,0.366,0.5960072533531295,45
turquoise,Q8IZ83,ALDH16A1,0.8399,0.7252,0.9093,5.507483674788717e-13,-0.21560000000000001,-0.4788,0.0832,0.1549819181862119,45
turquoise,Q92616,GCN1,0.8924,0.8113,0.9397,1.875131213927201e-16,-0.1566,-0.4304,0.1435,0.30427550582372304,45
turquoise,Q93008,USP9X,0.8708,0.7755,0.9273,7.549712590125801e-15,-0.1077,-0.3889,0.1919,0.48138243890859167,45
turquoise,Q96I23,PYURF,0.88,0.7907,0.9326,1.706145226085126e-15,-0.0992,-0.3817,0.2001,0.5166197433959538,45
turquoise,Q9BYD2,MRPL9,0.8939,0.814,0.9406,1.3873935153228077e-16,-0.0519,-0.3402,0.2454,0.7349948577922055,45
turquoise,Q9NPQ8,RIC8A,0.873,0.7791,0.9286,5.366722226166784e-15,-0.022,-0.3135,0.2733,0.8860119989669486,45
turquoise,Q9NQ50,MRPL40,0.8826,0.7951,0.9341,1.0873973741913797e-15,-0.0103,-0.3029,0.2841,0.9466171454664842,45
turquoise,Q9Y295,DRG1,0.9398,0.8924,0.9666,1.1515769495083415e-21,-0.0949,-0.3779,0.2043,0.5351552813911575,45
turquoise,Q9Y5U8,MPC1,0.8568,0.7525,0.9192,5.980806947841638e-14,-0.1233,-0.4023,0.1766,0.4197034306413615,45
blue,O75298,RTN2,0.8834,0.7964,0.9346,9.474995435647317e-16,-0.1699,-0.4414,0.1302,0.2646499985798263,45
blue,O75964,ATP5MG,0.8194,0.6924,0.8972,5.905820852789812e-12,-0.1004,-0.3827,0.199,0.511717515648175,45
blue,O94760,DDAH1,0.7977,0.6582,0.8842,5.401446522245152e-11,0.0975,-0.2018,0.3801,0.5240492592128887,45
blue,O95747,OXSR1,0.8126,0.6816,0.8931,1.223202319264318e-11,0.0263,-0.2693,0.3174,0.8638243286701023,45
blue,P00846,MT-ATP6,0.895,0.8158,0.9412,1.1316724797019788e-16,-0.0276,-0.3185,0.2681,0.8572697113229504,45
