gene,logFC,neg_log10_p,pi_score,adj_pval,direction
SNCA,-2.6425,2.4128,0,0.70758,Down
PM20D2,1.9791,2.7006,5e-6,0.70758,Up
RO60,2.8877,1.673,1.5e-5,0.741195,Up
RPS20,1.3444,3.3512,3.1e-5,0.70758,Up
SH3BGRL,-2.0573,2.1483,3.8e-5,0.70758,Down
ANK1,-1.8289,2.1043,1.42e-4,0.70758,Down
PPP2R5D,1.956,1.9411,1.6e-4,0.741195,Up
APOE,-1.825,2.0416,1.88e-4,0.70758,Down
RBP4,-1.9077,1.9128,2.24e-4,0.741195,Down
DEFA3,-2.6242,1.3873,2.29e-4,0.741195,Down
APOD,-1.5503,2.226,3.54e-4,0.70758,Down
EPB41,-1.9068,1.7794,4.05e-4,0.741195,Down
YARS1,-1.6525,2.039,4.27e-4,0.70758,Down
BPGM,-1.5532,2.1578,4.45e-4,0.70758,Down
ADIPOQ,-1.3582,2.3643,6.15e-4,0.70758,Down
SERPINF2,-1.6169,1.9311,7.55e-4,0.741195,Down
CLU,-1.5022,2.0577,8.11e-4,0.70758,Down
PTPN1,1.8013,1.6666,9.95e-4,0.741195,Up
RTN3,1.2778,2.2884,0.001191,0.70758,Up
FLOT2,-1.2175,2.3198,0.001499,0.70758,Down
TPRKB,-1.5889,1.7492,0.001662,0.741195,Down
PNP,-1.5985,1.6319,0.002462,0.741195,Down
APOL1,-2.2483,1.1233,0.002982,0.743177,Down
PPBP,-1.8464,1.3668,0.002995,0.741195,Down
RPL14,1.2094,2.0759,0.003086,0.70758,Up
S100A9,-1.9754,1.2584,0.003267,0.741195,Down
MAP1LC3B2,0.937,2.6497,0.003291,0.70758,Up
CHORDC1,1.7645,1.4067,0.003294,0.741195,Up
FSCN1,1.3473,1.8413,0.003305,0.741195,Up
SSB,1.683,1.4725,0.003324,0.741195,Up
LAMTOR1,1.2144,1.9927,0.003803,0.741195,Up
FXYD1,1.6232,1.4271,0.004825,0.741195,Up
XRCC6,-0.9668,2.2781,0.006275,0.70758,Down
ARHGAP1,1.1936,1.8425,0.006322,0.741195,Up
S100A13,1.4293,1.5307,0.006488,0.741195,Up
ARL1,1.8126,1.1861,0.007081,0.743177,Up
SEPTIN6,-1.9521,1.0934,0.007337,0.743177,Down
SPTB,-1.3067,1.6228,0.007575,0.741195,Down
RPL6,1.1456,1.8222,0.008175,0.741195,Up
SLC2A1,-1.5505,1.3445,0.008228,0.741195,Down
ISCU,1.1475,1.8102,0.008371,0.741195,Up
SERPING1,-1.2922,1.5884,0.00886,0.741195,Down
JPT2,1.0324,1.9493,0.009718,0.741195,Up
VARS1,0.9433,2.1118,0.010182,0.70758,Up
CRIP2,1.4152,1.391,0.010749,0.741195,Up
RWDD1,1.1503,1.7009,0.011052,0.741195,Up
RPL13A,1.2474,1.5316,0.012287,0.741195,Up
HBG2,-1.8842,1.0078,0.012622,0.743177,Down
TMEM43,1.0295,1.8169,0.013472,0.741195,Up
ILF3,1.0253,1.8235,0.013504,0.741195,Up
UBE2O,1.4982,1.241,0.013831,0.741195,Up
PRKRA,1.2745,1.4465,0.014336,0.741195,Up
GAA,1.1419,1.5821,0.015609,0.741195,Up
TST,-1.0229,1.7644,0.015672,0.741195,Down
PBXIP1,0.7844,2.2761,0.016388,0.70758,Up
MYO18A,1.0556,1.6875,0.016546,0.741195,Up
ALAD,-1.0747,1.6425,0.017173,0.741195,Down
MICOS13,-1.0333,1.699,0.017551,0.741195,Down
ARHGAP19,-1.3479,1.3022,0.017572,0.741195,Down
ADSS2,-1.1242,1.5514,0.018026,0.741195,Down
SEPTIN9,1.1353,1.5312,0.018265,0.741195,Up
PDLIM3,0.8296,2.0674,0.019269,0.70758,Up
FTL,1.4627,1.1683,0.019547,0.743177,Up
TIMMDC1,1.4208,1.1973,0.0199,0.743177,Up
MYPN,0.9921,1.6919,0.020963,0.741195,Up
ACAD10,-1.0069,1.6658,0.021022,0.741195,Down
CCS,-1.2399,1.3467,0.02139,0.741195,Down
AIMP1,-0.7298,2.2764,0.021812,0.70758,Down
PEA15,1.6834,0.9853,0.021942,0.743954,Up
RUVBL1,0.7848,2.0848,0.02311,0.70758,Up
PHKG1,-0.9661,1.6394,0.026077,0.741195,Down
ALDOC,-0.8893,1.748,0.027892,0.741195,Down
MLEC,-0.8377,1.8486,0.028269,0.741195,Down
ATG3,-1.5103,1.0211,0.028692,0.743177,Down
PRKCSH,0.7021,2.1963,0.0287,0.70758,Up
NUBP1,1.0142,1.514,0.029142,0.741195,Up
STOML2,0.7434,2.0514,0.02986,0.70758,Up
TPPP3,1.5856,0.9599,0.030067,0.750737,Up
TTR,-1.0179,1.4926,0.030251,0.741195,Down
CAT,-1.0957,1.3842,0.030427,0.741195,Down
GMPPB,-1.0377,1.4241,0.033278,0.741195,Down
MAPRE3,0.7727,1.9039,0.033795,0.741195,Up
COPB1,0.9756,1.5043,0.034064,0.741195,Up
MT-ND3,-1.1557,1.2692,0.034132,0.741195,Down
BIN3,1.1714,1.2391,0.035357,0.741195,Up
TARDBP,-1.2166,1.1881,0.035859,0.743177,Down
RPA3,-0.9407,1.5233,0.036898,0.741195,Down
FLOT1,-1.0314,1.378,0.037912,0.741195,Down
FITM1,1.1434,1.2107,0.041271,0.741195,Up
ACSS2,-1.0133,1.3605,0.041825,0.741195,Down
PFKFB1,-0.8117,1.6928,0.042265,0.741195,Down
LCP1,-1.2932,1.054,0.043347,0.743177,Down
ARPC1B,-1.1236,1.213,0.043359,0.741195,Down
UQCC3,1.7516,0.7713,0.044557,0.774284,Up
MYLK,-1.1903,1.1229,0.046061,0.743177,Down
CAMK2D,0.6288,2.1194,0.046484,0.70758,Up
GARNL3,-1.0606,1.2304,0.049556,0.741195,Down
TFRC,-1.0774,1.2061,0.050184,0.741195,NS
CYB5R1,0.6338,2.0351,0.051313,0.70758,NS
DYNLL1,0.9363,1.345,0.055043,0.741195,NS
AHCYL2,-0.7566,1.6462,0.056821,0.741195,NS
DCTN3,0.9094,1.3642,0.057464,0.741195,NS
MYH8,-1.3721,0.9038,0.057536,0.753202,NS
OXCT1,1.293,0.9536,0.05848,0.751519,NS
EEF1A1,0.7205,1.7013,0.059457,0.741195,NS
MAP2K1,0.8327,1.4688,0.059831,0.741195,NS
AKR1C3,1.0845,1.1185,0.061242,0.743177,NS
CA3,0.7983,1.5189,0.061306,0.741195,NS
DARS2,-0.9405,1.2881,0.061448,0.741195,NS
DHCR24,1.1615,1.0367,0.062502,0.743177,NS
STOM,-1.1222,1.0681,0.063296,0.743177,NS
DUSP28,-0.9102,1.3106,0.064145,0.741195,NS
MRPS18B,-1.0769,1.1074,0.064194,0.743177,NS
MGLL,-0.8054,1.4657,0.065998,0.741195,NS
DDI2,-1.2951,0.9097,0.066341,0.753202,NS
SCN1B,-0.9848,1.1957,0.066454,0.743177,NS
GPC1,1.2964,0.9065,0.066801,0.753202,NS
UBE2R2,-0.895,1.309,0.06736,0.741195,NS
PDLIM1,0.893,1.3082,0.067881,0.741195,NS
ARF5,0.9079,1.28,0.068841,0.741195,NS
CLEC3B,0.9972,1.1624,0.069327,0.743177,NS
GYPC,-1.2023,0.9634,0.06946,0.750737,NS
PADI2,0.7019,1.6486,0.069626,0.741195,NS
EIF3L,-0.7237,1.591,0.070573,0.741195,NS
NDUFA3,0.8682,1.3145,0.072226,0.741195,NS
LXN,-1.316,0.8657,0.072561,0.753202,NS
CP,-1.0957,1.018,0.076662,0.743177,NS
BTD,-1.1319,0.9803,0.077693,0.743954,NS
HNRNPUL2,1.0826,1.0233,0.078007,0.743177,NS
MRPS16,1.0828,1.0116,0.080287,0.743177,NS
CPT1A,-0.8885,1.2291,0.080902,0.741195,NS
RBBP7,1.1094,0.9813,0.081536,0.743954,NS
SELENBP1,-0.6889,1.575,0.082214,0.741195,NS
MRPS36,-0.8079,1.3327,0.083819,0.741195,NS
PSME3,0.715,1.4987,0.084814,0.741195,NS
RPS5,1.1097,0.9654,0.084865,0.750737,NS
PLN,1.0435,1.0255,0.085082,0.743177,NS
VPS35,0.5538,1.9256,0.085836,0.741195,NS
STK38,-0.8048,1.3136,0.08766,0.741195,NS
DHRS7,0.6366,1.6514,0.088875,0.741195,NS
MB,0.6165,1.705,0.088907,0.741195,NS
FARSA,0.9494,1.1027,0.089758,0.743177,NS
MICU2,-0.8277,1.2582,0.090897,0.741195,NS
APOO,-0.7464,1.388,0.092035,0.741195,NS
THTPA,0.6468,1.6011,0.092146,0.741195,NS
GCLC,-1.0045,1.0208,0.094324,0.743177,NS
HLA-B,-1.0135,1.0115,0.094356,0.743177,NS
PAFAH1B3,-1.001,1.0222,0.094809,0.743177,NS
TIMM8A,0.8934,1.141,0.095658000000000007,0.743177,NS
MYH11,-1.1134,0.9096,0.097117,0.753202,NS
ALDH16A1,1.4119,0.712,0.098805,0.798779,NS
SMIM4,-0.8898,1.1276,0.09923,0.743177,NS
MRPL47,-0.7559,1.3243,0.099763,0.741195,NS
INPP1,1.1654,0.8584,0.099898,0.753202,NS
ALDH3A2,0.751,1.3319,0.099944,0.741195,NS
FAM114A2,-0.7103,1.403,0.1008,0.741195,NS
CSNK2B,0.9442,1.0538,0.101154,0.743177,NS
GLUL,-0.6539,1.5062,0.10354,0.741195,NS
SEC24C,0.7774,1.2644,0.104004,0.741195,NS
PARVA,0.8489,1.1565,0.104284,0.743177,NS
CLYBL,-1.1547,0.849,0.104627,0.753202,NS
S100A8,-1.2561,0.7776,0.105494,0.774284,NS
MCTS1,0.662,1.4707,0.106259,0.741195,NS
ATP5MG,-0.7294,1.3345,0.106336,0.741195,NS
LAMP1,1.1982,0.7987,0.110415,0.773926,NS
RPL12,0.8262,1.1574,0.110604,0.743177,NS
DDX1,0.6456,1.4796,0.110866,0.741195,NS
SRSF2,0.7846,1.2137,0.111625,0.741195,NS
RBKS,1.227,0.7706,0.113372,0.774284,NS
RAB6A,-0.694,1.3566,0.114441,0.741195,NS
OSTF1,1.3715,0.6863,0.114469,0.804369,NS
NDUFA11,-0.834,1.1246,0.115389,0.743177,NS
GPHN,-0.9521,0.9808,0.116472,0.743954,NS
COQ3,-0.6992,1.3344,0.116691,0.741195,NS
RNF123,-0.5688,1.6363,0.117279,0.741195,NS
RPL7,0.7499,1.2362,0.118299,0.741195,NS
CES2,0.7598,1.2165,0.119029,0.741195,NS
CTSD,0.726,1.2723,0.119212,0.741195,NS
BLVRB,-0.6504,1.417,0.119768,0.741195,NS
PPM1A,0.6285,1.4626,0.120449,0.741195,NS
MAPRE1,0.6272,1.465,0.120551,0.741195,NS
PLIN2,-0.915,1.0036,0.120695,0.743177,NS
EIF3E,0.6073,1.5115,0.120804,0.741195,NS
CLIP2,0.6591,1.388,0.121682,0.741195,NS
RPS27A,-0.821,1.1134,0.121848,0.743177,NS
MT-ATP6,-1.0302,0.8616,0.129541,0.753202,NS
MRPL49,0.8679,1.0177,0.130843,0.743177,NS
MYLK2,-0.7356,1.1939,0.132387,0.743177,NS
