gene,logFC,neg_log10_p,pi_score,adj_pval,direction
APOD,-1.5179,3.1655,1.6e-5,0.621153,Down
PM20D2,1.6036,2.5339,8.6e-5,0.621153,Up
SNCA,-1.8217,1.9956,2.32e-4,0.632385,Down
AKR1C3,1.4531,2.4793,2.5e-4,0.621153,Up
PPP2R5D,1.708,2.0869,2.73e-4,0.632385,Up
HBG2,-2.1082,1.6669,3.06e-4,0.632385,Down
APOE,-1.5191,2.3036,3.17e-4,0.621153,Down
ANK1,-1.4942,2.2453,4.42e-4,0.621153,Down
OXCT1,1.8773,1.7784,4.59e-4,0.632385,Up
TPPP3,1.8909,1.7362,5.21e-4,0.632385,Up
RWDD1,1.1234,2.8102,6.97e-4,0.621153,Up
S100A13,1.4257,2.1995,7.31e-4,0.621153,Up
GLRX5,-0.8205,3.618,0.001075,0.464421,Down
RTN3,1.0916,2.5761,0.001541,0.621153,Up
TGM2,-0.9375,2.6861,0.003033,0.621153,Down
FTH1,1.1196,2.1699,0.003719,0.621153,Up
MAP2K2,0.8293,2.9105,0.003857,0.621153,Up
S100A1,1.274,1.818,0.004831,0.632385,Up
AMPD1,-0.9777,2.2304,0.006599,0.621153,Down
BPGM,-1.1244,1.9207,0.006925,0.632385,Down
DEFA3,-1.699,1.2152,0.008617,0.662042,Down
UCHL1,1.1156,1.794,0.00997,0.632385,Up
EPB41,-1.2699,1.5242,0.011599,0.642312,Down
GPC1,1.5389,1.2432,0.012213,0.662042,Up
RPS20,0.8213,2.3143,0.012566,0.621153,Up
SERPINF2,-1.0867,1.7451,0.012697,0.632385,Down
GMPPB,-0.9667,1.9563,0.012846,0.632385,Down
BPNT1,-0.7955,2.3075,0.014606,0.621153,Down
LMOD3,-0.9128,2.0087,0.014674,0.632385,Down
PNP,-1.1865,1.5449,0.01469,0.642312,Down
KLKB1,-1.2839,1.4221,0.014931,0.649668,Down
PPBP,-1.3407,1.3373,0.016112,0.657094,Down
BDH2,-0.7648,2.341,0.016207,0.621153,Down
PRKRA,1.1134,1.6051,0.016325,0.632385,Up
SLC2A1,-1.2474,1.4315,0.016381,0.649668,Down
S100A9,-1.4831,1.1853,0.017457,0.662042,Down
POLDIP2,-1.1725,1.4735,0.018723,0.649668,Down
PIP4K2B,0.8581,1.9455,0.021404,0.632385,Up
RPL13A,1.0378,1.5974,0.021991,0.632385,Up
GYPC,-1.1684,1.4174,0.022072,0.649668,Down
TNPO3,1.1043,1.4646,0.024137,0.649668,Up
GLUL,-0.6725,2.3199,0.027531,0.621153,Down
SPTB,-0.9961,1.5616,0.027827,0.635798,Down
AKR1C1,0.9473,1.6001,0.030503,0.632385,Up
RANBP1,-0.8417,1.7521,0.033515,0.632385,Down
MYH8,-1.24,1.1797,0.034454,0.662042,Down
SERPING1,-0.9643,1.5156,0.034553,0.642312,Down
RPA3,-0.8084,1.7469,0.038711,0.632385,Down
RPL27,0.8544,1.6293,0.040547,0.632385,Up
PPM1B,-0.8135,1.6993,0.041456,0.632385,Down
ACSS2,-0.9047,1.5251,0.041704,0.642312,Down
HEBP1,-1.0579,1.2899,0.0432,0.661331,Down
S100A8,-1.2472,1.0895,0.04377,0.687772,Down
CCS,-0.9578,1.4151,0.044113,0.649668,Down
CLU,-0.9271,1.4456,0.045696,0.649668,Down
PEA15,1.3606,0.9768,0.046872,0.726967,Up
FTL,1.1409,1.1631,0.047102,0.662042,Up
TOLLIP,0.6096,2.1431,0.049379,0.629551,Up
NLN,1.7254,0.7488,0.051047,0.779416,NS
STOM,-0.9987,1.2874,0.051784,0.661331,NS
PTPN1,1.1846,1.0818,0.0523,0.690329,NS
RO60,1.3425,0.9389,0.054894,0.753202,NS
CA3,0.7,1.7993,0.055021,0.632385,NS
VARS1,0.6773,1.8581,0.055132,0.632385,NS
CAMK2D,0.5282,2.3582,0.056804,0.621153,NS
PFKFB1,-0.7276,1.7018,0.057764,0.632385,NS
