gene,n_miss,pct_miss,mean_intensity,classification,imputation_reliable,group_miss_pval
DENR,2,4.3478260869565215,20.920679647166892,MAR,TRUE,NA
DNPH1,9,19.565217391304348,19.31630867420582,MAR,TRUE,NA
TIMM44,0,0,20.55850823832348,Complete,TRUE,NA
TRAPPC3,12,26.08695652173913,17.509891343349945,MNAR,TRUE,0.7341329335332334
CHMP2A,8,17.391304347826086,16.215247286350245,MNAR,TRUE,0.049475262368815595
NDUFB5,10,21.73913043478261,21.66901896855023,MAR,TRUE,NA
NDUFB3,0,0,23.722852795533335,Complete,TRUE,NA
NDUFA2,0,0,23.401661353042478,Complete,TRUE,NA
ACTN4,0,0,23.18230944689793,Complete,TRUE,NA
GSTZ1,3,6.521739130434782,20.253688500815237,MAR,TRUE,NA
PRKAB2,3,6.521739130434782,18.564525924915024,MAR,TRUE,NA
AP1G1,16,34.78260869565217,17.302434243733714,MNAR,TRUE,0.6286856571714143
SYNGR2,1,2.1739130434782608,19.51136444550905,MAR,TRUE,NA
SGTA,1,2.1739130434782608,18.490421561661112,MAR,TRUE,NA
ENSA,15,32.608695652173914,17.505331034961706,MNAR,TRUE,0.16691654172913542
SLC25A20,0,0,19.7252059573346,Complete,TRUE,NA
NARS1,0,0,19.339817915733626,Complete,TRUE,NA
LANCL1,0,0,22.099315012750658,Complete,TRUE,NA
SLC37A4,1,2.1739130434782608,17.98344960352932,MAR,TRUE,NA
IDH3B,0,0,23.16982538163675,Complete,TRUE,NA
CALU,0,0,21.151516379951676,Complete,TRUE,NA
AHCYL1,1,2.1739130434782608,17.921597093881072,MAR,TRUE,NA
NDUFS5,0,0,22.075853052624215,Complete,TRUE,NA
TIMM8A,11,23.91304347826087,18.153771183196188,MNAR,TRUE,0.02498750624687656
PPP1R12B,18,39.130434782608695,19.27873477733172,MNAR,TRUE,0.6221889055472264
PRPSAP2,10,21.73913043478261,18.868122479794643,MAR,TRUE,NA
OPA1,0,0,20.496235622799503,Complete,TRUE,NA
SNX3,1,2.1739130434782608,20.03579076482425,MAR,TRUE,NA
SYNCRIP,1,2.1739130434782608,20.394547124248078,MAR,TRUE,NA
DIAPH1,28,60.86956521739131,17.796740459387184,MNAR,FALSE,0.27886056971514245
KLHL41,0,0,25.487448983748124,Complete,TRUE,NA
PLIN3,0,0,22.658321351390516,Complete,TRUE,NA
KPNA6,2,4.3478260869565215,17.903125562547977,MAR,TRUE,NA
SNX2,2,4.3478260869565215,17.912952126701242,MAR,TRUE,NA
USO1,0,0,19.521261644610806,Complete,TRUE,NA
TOM1,0,0,21.16723721498061,Complete,TRUE,NA
PFKFB2,5,10.869565217391305,18.555460546859216,MAR,TRUE,NA
CCDC22,21,45.65217391304348,18.80007339267214,MNAR,TRUE,0.5687156421789106
EIF5B,22,47.82608695652174,16.112004560948364,MNAR,TRUE,0.2538730634682659
DNAJA2,0,0,22.734526762970518,Complete,TRUE,NA
CUTA,1,2.1739130434782608,22.002017086411666,MAR,TRUE,NA
NOL3,0,0,21.443797039049784,Complete,TRUE,NA
ABCB7,16,34.78260869565217,16.12554831833443,MNAR,TRUE,0.511744127936032
WDR1,0,0,23.72089940409267,Complete,TRUE,NA
LDB3,0,0,26.296327446152326,Complete,TRUE,NA
CLASP2,27,58.69565217391305,19.416056839108357,MNAR,FALSE,0.022988505747126436
COBL,3,6.521739130434782,18.937090946907645,MAR,TRUE,NA
CPNE3,1,2.1739130434782608,19.424289253110413,MAR,TRUE,NA
CLUH,8,17.391304347826086,17.368343628125984,MNAR,TRUE,0.20889555222388806
CAND2,0,0,22.941996746584117,Complete,TRUE,NA
COQ9,0,0,24.742313631051864,Complete,TRUE,NA
GGCT,0,0,20.8569163193165,Complete,TRUE,NA
NDUFS7,0,0,22.849125656186906,Complete,TRUE,NA
RTN2,0,0,25.460136974193574,Complete,TRUE,NA
NDUFS2,0,0,23.464692090599325,Complete,TRUE,NA
NIPSNAP2,0,0,24.6219053058449,Complete,TRUE,NA
PDCD6,11,23.91304347826087,17.527458752372922,MNAR,TRUE,0.4492753623188406
TBCA,0,0,19.641814125471036,Complete,TRUE,NA
ATP6V1G1,18,39.130434782608695,17.420426306337973,MNAR,TRUE,0.6671664167916042
VPS4B,1,2.1739130434782608,18.449694196920284,MAR,TRUE,NA
MPDU1,25,54.347826086956516,15.93681309573062,MNAR,FALSE,0.06446776611694154
SH3BGRL,22,47.82608695652174,17.693835362194058,MNAR,TRUE,0.8385807096451774
FLNB,0,0,25.50005829621515,Complete,TRUE,NA
NDUFS6,0,0,23.5785207188024,Complete,TRUE,NA
CS,0,0,26.385952018520946,Complete,TRUE,NA
SEC22B,1,2.1739130434782608,20.328794442904332,MAR,TRUE,NA
MTX2,4,8.695652173913043,20.548210261176575,MAR,TRUE,NA
VPS26A,0,0,20.162526661310558,Complete,TRUE,NA
NDUFB1,0,0,22.46653022179454,Complete,TRUE,NA
PMPCB,16,34.78260869565217,17.840677010510657,MNAR,TRUE,0.5972013993003499
NDUFS3,0,0,23.870719469577303,Complete,TRUE,NA
ECI2,0,0,21.74995564645733,Complete,TRUE,NA
BANF1,0,0,22.348434015202464,Complete,TRUE,NA
CSDE1,1,2.1739130434782608,21.12261398221569,MAR,TRUE,NA
PRKRA,20,43.47826086956522,15.04974691969601,MNAR,TRUE,0.22938530734632684
LYPLA1,0,0,21.868461085419547,Complete,TRUE,NA
TIPRL,1,2.1739130434782608,19.158427092919784,MAR,TRUE,NA
PPM1B,22,47.82608695652174,19.53736766045696,MNAR,TRUE,0.8450774612693653
SLC25A12,0,0,24.61723123397293,Complete,TRUE,NA
EIF3G,1,2.1739130434782608,19.284250611709048,MAR,TRUE,NA
EIF3J,0,0,20.914347755902963,Complete,TRUE,NA
PSMD10,1,2.1739130434782608,19.57075519234866,MAR,TRUE,NA
IDH1,0,0,21.905561984567445,Complete,TRUE,NA
ALDH1L1,0,0,22.215001696271976,Complete,TRUE,NA
ARL6IP5,0,0,24.198798609005358,Complete,TRUE,NA
DYSF,0,0,25.145521332141758,Complete,TRUE,NA
DCTN3,14,30.434782608695656,16.11317435205581,MNAR,TRUE,0.3243378310844578
ATP5PD,0,0,25.361665066982447,Complete,TRUE,NA
FLOT1,10,21.73913043478261,16.670953313273934,MNAR,TRUE,0.9455272363818091
ATP5MG,0,0,25.839893941657884,Complete,TRUE,NA
GLRX3,1,2.1739130434782608,18.871040982988653,MAR,TRUE,NA
DDAH1,0,0,22.584022505168758,Complete,TRUE,NA
TPPP,15,32.608695652173914,16.576706251689533,MNAR,TRUE,1
TOMM70,0,0,21.56421963811715,Complete,TRUE,NA
UFL1,13,28.26086956521739,17.491254474289754,MNAR,TRUE,0.4497751124437781
PLPBP,0,0,20.640034460299194,Complete,TRUE,NA
ERLIN2,0,0,21.220911729425485,Complete,TRUE,NA
ENDOD1,0,0,21.153911649655477,Complete,TRUE,NA
SEC31A,4,8.695652173913043,18.518502482698942,MAR,TRUE,NA
NDUFB6,0,0,22.24183999404115,Complete,TRUE,NA
MFN2,5,10.869565217391305,17.90037189078461,MAR,TRUE,NA
NDUFA3,12,26.08695652173913,18.85410486508775,MAR,TRUE,NA
NDUFB4,0,0,23.432375692516125,Complete,TRUE,NA
NDUFB8,0,0,20.20651960937671,Complete,TRUE,NA
NDUFA7,0,0,21.87500125141904,Complete,TRUE,NA
RTN3,12,26.08695652173913,18.955368288609563,MAR,TRUE,NA
LETM1,1,2.1739130434782608,17.647803894424833,MAR,TRUE,NA
STBD1,0,0,21.838918884290745,Complete,TRUE,NA
EPM2A,7,15.217391304347828,19.708743479186634,MAR,TRUE,NA
VAPB,0,0,20.39359341603692,Complete,TRUE,NA
NDUFC2,0,0,21.98353215430088,Complete,TRUE,NA
NDUFA10,0,0,23.76657719649727,Complete,TRUE,NA
PGLS,0,0,20.00449303728326,Complete,TRUE,NA
TACC2,15,32.608695652173914,18.205504901234846,MNAR,TRUE,0.2383808095952024
LYPLA2,2,4.3478260869565215,20.33616459508947,MAR,TRUE,NA
IPO7,3,6.521739130434782,20.36708497735949,MAR,TRUE,NA
ARIH2,10,21.73913043478261,19.683400128600358,MAR,TRUE,NA
AHSA1,2,4.3478260869565215,19.7333626429072,MAR,TRUE,NA
H6PD,14,30.434782608695656,17.25090696594,MNAR,TRUE,0.7961019490254873
MPC2,0,0,21.588040194005476,Complete,TRUE,NA
ETHE1,6,13.043478260869565,19.51394913243197,MAR,TRUE,NA
ACSL3,0,0,21.44871309494864,Complete,TRUE,NA
OXSR1,0,0,20.969304734794726,Complete,TRUE,NA
AP2A1,4,8.695652173913043,18.551353792577054,MAR,TRUE,NA
CAVIN2,0,0,20.48099624663913,Complete,TRUE,NA
BAG3,0,0,21.164892129981382,Complete,TRUE,NA
MLYCD,12,26.08695652173913,15.52820330382719,MNAR,TRUE,0.12493753123438281
AIFM1,0,0,24.08506829241376,Complete,TRUE,NA
EML2,7,15.217391304347828,17.440278052099075,MAR,TRUE,NA
BPNT1,12,26.08695652173913,17.41686660112918,MNAR,TRUE,0.16591704147926037
DDAH2,12,26.08695652173913,17.928087998809723,MNAR,TRUE,0.5762118940529735
ABHD16A,31,67.3913043478261,15.2506888187414,MNAR,FALSE,0.3538230884557721
TXNDC12,5,10.869565217391305,18.02341754746728,MAR,TRUE,NA
NUDT3,3,6.521739130434782,19.650091520102276,MAR,TRUE,NA
NDUFB10,0,0,24.324611563961913,Complete,TRUE,NA
MOCS2,28,60.86956521739131,16.708860633148774,MNAR,FALSE,0.2518740629685157
TOMM40,6,13.043478260869565,17.948770661073677,MAR,TRUE,NA
MT-CYB,14,30.434782608695656,17.319151292021754,MNAR,TRUE,0.6366816591704147
CYB5A,18,39.130434782608695,16.678009068758765,MNAR,TRUE,0.5012493753123438
ADH1B,1,2.1739130434782608,21.420969263397655,MAR,TRUE,NA
LDHA,0,0,29.07276335382942,Complete,TRUE,NA
ALDH1A1,0,0,23.066667869285446,Complete,TRUE,NA
GLUD1,1,2.1739130434782608,21.012215805487912,MAR,TRUE,NA
CYB5R3,0,0,24.17371583981126,Complete,TRUE,NA
GSR,1,2.1739130434782608,21.423367830086402,MAR,TRUE,NA
MT-CO1,3,6.521739130434782,20.620473287536196,MAR,TRUE,NA
MT-CO2,0,0,26.74329405112893,Complete,TRUE,NA
SOD1,0,0,26.737000178651606,Complete,TRUE,NA
CP,0,0,22.15267310250202,Complete,TRUE,NA
F13A1,16,34.78260869565217,18.44383834214704,MNAR,TRUE,0.2478760619690155
PNP,2,4.3478260869565215,20.32652453783305,MAR,TRUE,NA
HPRT1,2,4.3478260869565215,19.106239139525602,MAR,TRUE,NA
GOT2,0,0,26.943084166379666,Complete,TRUE,NA
PGK1,0,0,29.34651944728862,Complete,TRUE,NA
AK1,0,0,28.6649125542556,Complete,TRUE,NA
HP,0,0,24.420790205751548,Complete,TRUE,NA
CFB,0,0,20.91804220726002,Complete,TRUE,NA
MT-ATP6,0,0,25.516959859828923,Complete,TRUE,NA
CA2,0,0,29.458389404625663,Complete,TRUE,NA
ASS1,22,47.82608695652174,17.790825380465083,MNAR,TRUE,0.9230384807596201
SERPINA1,0,0,25.374904170834142,Complete,TRUE,NA
SERPINA3,1,2.1739130434782608,20.878250457349942,MAR,TRUE,NA
AGT,1,2.1739130434782608,20.452755512451052,MAR,TRUE,NA
A2M,0,0,23.80700153026559,Complete,TRUE,NA
C3,0,0,23.315153155197205,Complete,TRUE,NA
CST3,12,26.08695652173913,19.410232626182655,MAR,TRUE,NA
KRAS,10,21.73913043478261,17.58501737234934,MNAR,TRUE,0.06946526736631684
JCHAIN,25,54.347826086956516,19.72822679461658,MNAR,FALSE,0.10644677661169415
IGKV3-20,0,0,22.2754343945297,Complete,TRUE,NA
IGKV3-15,0,0,21.57417176264463,Complete,TRUE,NA
IGLV2-11,26,56.52173913043478,18.040823363322183,MNAR,FALSE,0.27936031984008
IGHV3-7,0,0,20.994384777983466,Complete,TRUE,NA
IGKC,0,0,26.369089542737484,Complete,TRUE,NA
IGHG1,0,0,27.15997910175858,Complete,TRUE,NA
IGHG2,0,0,26.082063345784146,Complete,TRUE,NA
IGHG3,0,0,22.535982232187106,Complete,TRUE,NA
IGHM,0,0,22.169369089350003,Complete,TRUE,NA
IGHA1,0,0,24.31936011905234,Complete,TRUE,NA
IGHA2,18,39.130434782608695,19.135014811521057,MNAR,TRUE,0.054972513743128434
HLA-B,22,47.82608695652174,15.106431979808638,MNAR,TRUE,0.511744127936032
HLA-DRA,29,63.04347826086957,17.306823396397608,MNAR,FALSE,0.526736631684158
MB,0,0,32.792885980285156,Complete,TRUE,NA
CRYAB,0,0,28.291535283969296,Complete,TRUE,NA
LMNA,0,0,20.971804931636242,Complete,TRUE,NA
TNNC2,0,0,26.779832547438847,Complete,TRUE,NA
APOE,8,17.391304347826086,17.42213589795586,MNAR,TRUE,0.42128935532233885
APOC2,15,32.608695652173914,19.057862953546643,MNAR,TRUE,0.31334332833583206
C1QB,19,41.30434782608695,18.873300380508013,MNAR,TRUE,0.4607696151924038
C1QC,20,43.47826086956522,16.403687151858357,MNAR,TRUE,0.051974012993503245
LRG1,16,34.78260869565217,18.977459854758976,MNAR,TRUE,0.33833083458270863
FN1,15,32.608695652173914,18.18972328203891,MNAR,TRUE,0.10494752623688156
RBP4,10,21.73913043478261,19.67888143519091,MAR,TRUE,NA
ORM1,0,0,24.43399170708819,Complete,TRUE,NA
TTR,0,0,24.43721825142138,Complete,TRUE,NA
ALB,0,0,30.57204773091778,Complete,TRUE,NA
PPBP,14,30.434782608695656,17.751878565001245,MNAR,TRUE,0.11694152923538231
TFRC,18,39.130434782608695,15.674675732699574,MNAR,TRUE,0.9660169915042479
TF,0,0,25.292980047795226,Complete,TRUE,NA
LTF,26,56.52173913043478,20.578009853330443,MNAR,FALSE,4.997501249375312e-4
FTL,0,0,21.85036783323298,Complete,TRUE,NA
FTH1,0,0,24.48323789662088,Complete,TRUE,NA
MT-ND1,0,0,21.530618050106618,Complete,TRUE,NA
MT-ND2,0,0,22.856881732384203,Complete,TRUE,NA
MT-ND3,0,0,20.2131241967807,Complete,TRUE,NA
MT-ND4,1,2.1739130434782608,21.83393546474158,MAR,TRUE,NA
MT-ND5,0,0,21.496452242731774,Complete,TRUE,NA
MT-ATP8,8,17.391304347826086,19.903802028400218,MAR,TRUE,NA
KLKB1,30,65.21739130434783,17.764815242113425,MNAR,FALSE,0.4707646176911544
CAT,0,0,23.47432912746597,Complete,TRUE,NA
ALDOA,0,0,31.478231030411482,Complete,TRUE,NA
CSTB,0,0,24.284728714387178,Complete,TRUE,NA
ANXA1,0,0,23.820681017356,Complete,TRUE,NA
SOD2,0,0,25.21404362974128,Complete,TRUE,NA
THY1,21,45.65217391304348,18.760290067285464,MNAR,TRUE,0.5217391304347826
KRT1,0,0,23.142475974236678,Complete,TRUE,NA
GAPDH,0,0,31.243416628496586,Complete,TRUE,NA
IGKV3-11,4,8.695652173913043,20.546987101216825,MAR,TRUE,NA
HLA-A,1,2.1739130434782608,18.280248324756265,MAR,TRUE,NA
CAPNS1,0,0,22.41776301872884,Complete,TRUE,NA
HSPB1,0,0,29.146204272762372,Complete,TRUE,NA
RPN1,0,0,21.536507291089578,Complete,TRUE,NA
RPN2,0,0,20.271841727215882,Complete,TRUE,NA
GNAI2,0,0,21.318552461255614,Complete,TRUE,NA
GYPC,12,26.08695652173913,18.53314504263925,MNAR,TRUE,0.5107446276861569
ATP1A1,0,0,22.956757592451684,Complete,TRUE,NA
ATP1B1,0,0,22.442333066148034,Complete,TRUE,NA
APOD,7,15.217391304347828,20.832165684890505,MAR,TRUE,NA
ALDH2,0,0,22.440748427576956,Complete,TRUE,NA
S100A8,0,0,22.12510870742698,Complete,TRUE,NA
SLC25A5,0,0,26.392988870388443,Complete,TRUE,NA
SERPING1,1,2.1739130434782608,20.708369783396186,MAR,TRUE,NA
CFI,24,52.17391304347826,18.960962399088125,MNAR,FALSE,0.04147926036981509
MPO,35,76.08695652173914,22.812353229960937,MNAR,FALSE,4.997501249375312e-4
PCCA,5,10.869565217391305,19.287597998116293,MAR,TRUE,NA
PCCB,1,2.1739130434782608,18.545497011404063,MAR,TRUE,NA
EIF2S1,0,0,20.73888531128792,Complete,TRUE,NA
RPLP1,0,0,21.20181315026769,Complete,TRUE,NA
RPLP2,0,0,22.733288291785872,Complete,TRUE,NA
RPLP0,0,0,21.21328758334856,Complete,TRUE,NA
FABP3,0,0,27.12342375001088,Complete,TRUE,NA
CLEC3B,18,39.130434782608695,18.56664378453625,MNAR,TRUE,0.5952023988005997
SSB,18,39.130434782608695,17.029800408418136,MNAR,TRUE,0.05297351324337831
ITGB1,0,0,20.85454111740694,Complete,TRUE,NA
KRT8,7,15.217391304347828,22.126350183264883,MAR,TRUE,NA
MYL1,0,0,29.32935573582879,Complete,TRUE,NA
UROD,23,50,18.085574140695464,MNAR,FALSE,0.5082458770614693
IGKV4-1,12,26.08695652173913,20.83819454251025,MAR,TRUE,NA
GSN,0,0,23.65726595225484,Complete,TRUE,NA
ATP5F1B,0,0,28.253416156475506,Complete,TRUE,NA
C2,35,76.08695652173914,17.260007440594542,MNAR,FALSE,0.0034982508745627187
S100A9,2,4.3478260869565215,21.92384070002255,MAR,TRUE,NA
S100A6,0,0,22.282901872585352,Complete,TRUE,NA
EIF4E,1,2.1739130434782608,18.82313984985192,MAR,TRUE,NA
CKM,0,0,32.04056550858798,Complete,TRUE,NA
ENO1,0,0,30.570307921106807,Complete,TRUE,NA
PYGL,0,0,24.75879866024968,Complete,TRUE,NA
GPI,0,0,26.96047376378605,Complete,TRUE,NA
NPM1,0,0,20.836173763917625,Complete,TRUE,NA
TPM3,0,0,25.12689699960039,Complete,TRUE,NA
EPHX1,0,0,23.55702498254386,Complete,TRUE,NA
DBI,0,0,24.716687862780876,Complete,TRUE,NA
LDHB,0,0,25.41132420020706,Complete,TRUE,NA
GPX1,1,2.1739130434782608,21.074505071006094,MAR,TRUE,NA
P4HB,0,0,23.80587005377346,Complete,TRUE,NA
H1-0,3,6.521739130434782,21.195588765604224,MAR,TRUE,NA
CTSD,0,0,22.67742013599359,Complete,TRUE,NA
ANXA2,0,0,24.669368737404287,Complete,TRUE,NA
C8G,16,34.78260869565217,16.894220684246495,MNAR,TRUE,0.09345327336331834
CAPN1,0,0,22.10332736308658,Complete,TRUE,NA
TUBB,0,0,26.30100336119099,Complete,TRUE,NA
CA3,0,0,30.24946081908005,Complete,TRUE,NA
DCN,0,0,22.895701524757364,Complete,TRUE,NA
PSAP,0,0,22.246869206144662,Complete,TRUE,NA
PFN1,0,0,25.123458242910473,Complete,TRUE,NA
BPGM,0,0,21.460981137505595,Complete,TRUE,NA
APRT,0,0,21.64788991293601,Complete,TRUE,NA
