uniprot_id,protein,gene,description,S03_T1,S10_T1,S16_T1,S22_T1,S24_T1,S27_T1,S28_T1,S04_T1,S05_T1,S06_T1,S12_T1,S14_T1,S17_T1,S21_T1,S30_T1,S03_T2,S10_T2,S16_T2,S22_T2,S24_T2,S27_T2,S29_T2,S04_T2,S05_T2,S06_T2,S12_T2,S14_T2,S17_T2,S21_T2,S30_T2,S03_T3,S10_T3,S16_T3,S22_T3,S24_T3,S27_T3,S29_T3,S04_T3,S05_T3,S06_T3,S12_T3,S14_T3,S17_T3,S21_T3,S30_T3
Q9H7C9,AAMDC_HUMAN,AAMDC,Mth938 domain-containing protein,23.3563880551913,22.85570867228733,23.348695920295533,23.44307050764015,23.77537062654195,24.651581934493283,23.69047095528608,23.576299215310197,23.63639883906719,23.84926021790406,22.570590596889534,24.39116948147221,23.659489331684565,23.296113457282654,22.259747595964328,22.57268210291648,22.965601619926296,23.60932043731154,23.24806171399541,23.552684341391956,23.775063971790495,23.60186746918622,24.04323371701116,23.622866649213044,23.578471650982102,21.84241295773479,22.76257567785455,23.52760390973714,23.476387728291556,22.38649809941417,22.07005905230281,21.24307440563481,23.200018302020283,23.0460527432307,22.69566920802397,23.969954065211898,23.8042131321865,23.31016838445585,23.59346166217736,23.39136590511726,22.39173682727232,22.967599639926945,22.946954953746424,22.874232489641173,22.228509599415514
P49588,SYAC_HUMAN,AARS1,"Alanine--tRNA ligase, cytoplasmic",16.708399416792723,16.39937426930001,16.04165315403517,16.814807124114704,16.804665836279685,16.516818498012185,16.19104050168208,16.311893090186647,16.589682051485628,16.47375749088765,16.372163473290986,16.649885139994485,17.112473234095926,16.537231443731844,16.855088864200066,16.22224226410855,17.32565528224383,16.793190269162015,17.062528458033906,16.56931842618788,16.272468781735036,16.804299471747434,16.306904445424014,16.281061877234407,16.605818287626114,16.412351743554506,15.761434734060948,16.74191482126998,17.117877618887942,17.073490897591135,15.676070625093397,17.59937866847528,15.667884669698555,16.64699328719834,17.034627757309025,16.441662567831496,16.93167555770721,16.417761149662383,16.44475731445301,16.43127682204634,16.393495928508415,16.080779915920196,16.58982927863563,16.511076730190922,17.047717007918365
Q9BTE6,AASD1_HUMAN,AARSD1,Alanyl-tRNA editing protein Aarsd1,17.47318675989163,17.818488733785433,18.59585690562684,17.000139786799295,18.11482132673079,18.301979860211535,18.5031041844558,18.005509032008163,19.227458988732792,17.84639149042429,17.682150931836162,18.761788543185386,16.636024926884613,17.318640871668133,18.276932031430036,17.553550711828276,17.436963972573224,18.586370378988367,18.363271473906725,17.852026983124947,18.77807034466586,18.427599258629236,18.146509705539668,18.311885301949417,17.937138935669115,17.956661784122474,17.189441716530215,17.61171892572519,17.98811280349347,18.640885471342376,18.15674658106039,17.927523375900503,18.26826973383979,17.01532104566167,16.248171056988575,18.737138542877545,18.19777356044038,17.85648362573785,18.658648304828123,17.93204384459686,18.26844679767726,18.08633253507886,18.238407654292324,17.56738529686002,17.818454500628743
O75027,ABCB7_HUMAN,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",16.212753785093792,15.535012492925816,16.140646159739788,16.65473463644529,16.501341613570325,16.088028687309787,15.92027390504401,16.00219508441422,15.585276634509135,16.741636852033224,16.264775445511308,16.132757665329517,16.27425608863082,16.075413935707196,17.034076942706495,16.507618471307644,16.055674933824374,15.862000564555071,15.92036027610332,16.239180089965345,15.909866439627532,16.409107668277315,14.020205930186243,15.21623642738739,15.85358410088856,16.21563577659721,15.919611727778712,16.123528183764947,15.943141224716834,16.622757072182125,15.831248866148044,15.867158753018469,16.139884430089406,16.47502396941056,16.116053881483786,15.979866650208828,16.665726079617166,16.072164165605006,15.982603671622268,16.59231554432715,16.183147609556283,16.311731432008486,16.692644037657733,15.78788281927332,16.557447657206627
P61221,ABCE1_HUMAN,ABCE1,ATP-binding cassette sub-family E member 1,18.439308321049985,17.671152618763482,18.16796800260865,18.920460125888876,18.32811297672752,18.5119570395147,17.544103718131698,18.51420529153212,18.042009638972896,18.19158837040714,18.607494701197343,17.690567637004648,19.177542573727564,18.697909973975985,19.093134624074175,18.118066742087173,18.16059894447873,17.516348061339787,18.048660375795148,18.126708626324305,18.07946776872564,17.9474487091531,17.28374524902435,18.70440894601403,18.60330573251295,18.96066627347935,18.630813711362148,18.76137922901043,17.808525512170007,18.287876803494655,18.05603624334959,18.134272932960585,18.498482436902368,18.552226911576387,19.788206485317325,18.155349097078957,18.4142896398566,18.97559678734554,18.170080749854588,18.349002746261093,17.80988431818354,18.18001538168715,17.912421009669522,18.397930494459768,18.11261212718479
Q8NE71,ABCF1_HUMAN,ABCF1,ATP-binding cassette sub-family F member 1,17.332073183374316,18.772945702314665,17.538897770446038,17.892412272243142,18.6253683416328,18.41941261878968,19.236392168484777,19.35810910808757,19.373819443006983,19.113791070649604,18.49712805519632,17.216590899392873,18.55741245648368,19.227053596860596,17.711191017775057,18.933470257466347,18.44211988131155,19.044617593339417,18.81532388786416,18.086192055218945,19.08305918605257,19.05861438229736,18.753333727579538,18.93780892031017,18.180975158589995,18.986934204869808,18.028485553521495,16.702872508395643,19.65383916258818,18.294220521850285,19.509785324250178,19.61896682966906,18.87877704883914,18.06939911649708,18.45187009373752,18.974402747122248,18.509025799295877,18.218932866623163,18.49510362415754,18.475835108638243,19.035855404544037,19.41791037893929,19.25788144732835,19.58245172799219,18.199502385894764
Q9UG63,ABCF2_HUMAN,ABCF2,ATP-binding cassette sub-family F member 2,17.183038066892088,17.327653230385664,16.58412459207549,17.364302082814454,16.81392502864874,16.801669287095308,17.16358935550293,17.06035930783668,17.99885616896187,17.351944548622317,17.339946402213357,16.752895566797267,16.921442202597863,17.470749447342953,16.096193209422143,17.61877283288169,17.10588575469055,16.94183886180795,16.206610449713256,17.42687210260846,16.945223756006925,17.313019027863845,16.407530446657812,17.807827199174852,15.58773161200016,17.66083923879139,16.512199534162466,16.983706631483034,17.6083485425074,16.51203086010342,17.908623225982474,17.354039306978027,17.847265565089668,17.45096271828022,16.31686126602108,17.54000912545057,15.954489741739838,17.760407173474253,17.647679721019028,17.235812268600057,18.183931504313037,17.632995460331653,17.38534644867819,17.142423678181924,16.87550448800926
Q9NUQ8,ABCF3_HUMAN,ABCF3,ATP-binding cassette sub-family F member 3,16.512766585508505,16.849179003257422,16.71764632688307,16.349391667860218,16.787002962011854,16.410355233590742,16.682450466271668,15.710245435519427,16.91169319229207,16.839521172239994,17.028216296889532,15.782902918469157,16.24876135225193,16.63682003646387,16.722164895416565,17.230662514502306,16.496944618330488,16.458555212954636,16.31263614900537,16.616976129717614,17.56890455141221,17.29099780653143,15.374689590627844,15.867502587816498,16.6283383131306,17.392264806654357,16.028273463822853,16.152677556325955,16.78646210270786,16.81754131442298,17.43654792472318,16.470590288620528,16.500326271353767,16.43086184859416,16.30922566708975,17.09382103257221,16.84119371714364,16.639506430675848,16.723629762268036,16.73631699234678,16.90336497656707,16.47526908417778,16.568586209431018,16.753972511324474,16.62219991509216
Q9NUJ1,ABHDA_HUMAN,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",20.278544075817656,20.036656997771303,19.049458751204387,20.768960832699648,20.29809886948053,20.514535968145072,19.958588071793663,19.6078579330527,20.24415912126955,19.355940212176915,20.158109719151145,19.27672797817106,20.689313449972698,19.82848552951308,19.614744719231233,19.959654811746553,18.73654133314268,20.173213155712023,20.37119191632609,19.924619498458252,20.180960006142943,20.30977247848507,19.59944173105857,20.13872621618357,20.00793272915581,20.068979213837252,18.832514564923407,21.00841407372203,19.91112384561135,19.90919653561368,19.42191150266818,19.21915605119848,19.752700847877232,19.7416864049975,20.484226659490915,20.336480376618503,20.026428965873755,19.570554322784105,19.976176432466605,19.557919365721883,20.072880299824043,19.334088245444804,20.647785065378535,19.93002873135641,19.72056935811588
Q8NFV4,ABHDB_HUMAN,ABHD11,Protein ABHD11,17.40030277046513,18.18202843865915,17.517948564205252,18.108234764980537,19.269331444025823,18.432416512637303,18.69348191097084,17.41633431664968,19.166912271736624,18.565409496006428,18.466339509214265,18.101604491380694,17.33725688093604,17.694098425409734,18.767864450248055,20.10785697596069,18.50724511186531,18.714240657889487,19.12752543008963,17.759701873652507,18.868503405473803,19.502225964553364,18.79224379256238,18.698803740875924,18.856431392928737,18.94321221501934,17.775488174415035,19.00795673327067,17.879000974276693,19.652465397209298,19.500006450711776,18.308506080015995,18.6469566507874,17.873948055260293,18.151414780831647,17.97666139521856,18.881865682633137,17.53366917526003,17.83452336143574,18.658593937957846,19.243478555406476,18.499373410490044,19.12162081160354,18.275127444178338,18.372662556942156
