grid_x,grid_y,neg_log10_p
1,1,3.283
2,1,1.961
3,1,1.67
4,1,1.498
5,1,1.375
6,1,1.279
7,1,1.2
8,1,1.134
9,1,1.076
10,1,1.025
11,1,0.98
12,1,0.939
13,1,0.901
14,1,0.866
15,1,0.834
16,1,0.805
17,1,0.777
18,1,0.75
19,1,0.726
20,1,0.702
21,1,0.68
22,1,0.659
23,1,0.639
24,1,0.619
25,1,0.601
26,1,0.583
27,1,0.566
28,1,0.55
29,1,0.534
30,1,0.519
31,1,0.504
32,1,0.49
33,1,0.476
34,1,0.463
35,1,0.45
36,1,0.437
37,1,0.425
38,1,0.413
39,1,0.402
40,1,0.39
41,1,0.379
42,1,0.369
43,1,0.358
44,1,0.348
45,1,0.338
46,1,0.328
47,1,0.319
48,1,0.309
49,1,NA
50,1,NA
51,1,-0
52,1,-0
53,1,-0
54,1,-0
55,1,-0
56,1,-0
57,1,-0
58,1,-0
59,1,-0
60,1,-0
61,1,-0
62,1,-0
63,1,-0
64,1,-0
65,1,-0
66,1,-0
67,1,-0
68,1,-0
69,1,-0
70,1,-0
71,1,-0
72,1,-0
73,1,-0
74,1,-0
75,1,-0
76,1,-0
77,1,-0
78,1,-0
79,1,-0
80,1,-0
81,1,-0
82,1,-0
83,1,-0
84,1,-0
85,1,-0
86,1,-0
87,1,-0
88,1,-0
89,1,-0
90,1,-0
91,1,-0
92,1,-0
93,1,-0
94,1,-0
95,1,-0
96,1,-0
97,1,-0
98,1,-0
1,2,1.961
2,2,1.675
3,2,2.035
4,2,1.568
5,2,1.992
6,2,1.665
7,2,1.409
8,2,1.809
9,2,1.58
10,2,1.385
11,2,1.762
12,2,1.574
13,2,1.956
14,2,3.037
15,2,3.513
16,2,3.262
17,2,3.755
18,2,4.282
19,2,4.845
20,2,5.45
21,2,5.17
22,2,4.906
23,2,4.657
24,2,4.421
25,2,4.197
26,2,3.985
27,2,3.782
28,2,3.59
29,2,3.407
30,2,3.232
31,2,3.064
32,2,2.905
33,2,3.413
34,2,3.247
35,2,3.089
36,2,2.936
37,2,4.247
38,2,4.07
39,2,3.898
40,2,3.732
41,2,3.571
42,2,4.225
43,2,4.995
44,2,4.813
45,2,4.637
46,2,4.465
47,2,4.298
48,2,4.135
49,2,NA
50,2,NA
51,2,0
52,2,0
53,2,0
54,2,0
55,2,0
56,2,0
57,2,-0
58,2,-0
59,2,-0
60,2,-0
61,2,-0
62,2,-0
63,2,-0
64,2,-0
65,2,-0
66,2,-0
67,2,-0
68,2,-0
69,2,-0
70,2,-0
71,2,-0
72,2,-0
73,2,-0
74,2,-0
75,2,-0
76,2,-0
77,2,-0
78,2,-0
79,2,-0
80,2,-0
81,2,-0
82,2,-0
83,2,-0
84,2,-0
85,2,-0
86,2,-0
87,2,-0
88,2,-0
89,2,-0
90,2,-0
91,2,-0
92,2,-0
93,2,-0
94,2,-0
95,2,-0
96,2,-0
97,2,-0
98,2,-0
1,3,1.67
2,3,3.083
3,3,2.831
4,3,2.068
5,3,2.889
6,3,2.999
7,3,2.488
8,3,3.286
9,3,2.827
10,3,3.627
11,3,3.813
12,3,3.391
13,3,3.594
14,3,4.428
15,3,4.651
16,3,4.884
17,3,5.127
18,3,6.077
19,3,6.353
20,3,6.642
21,3,6.213
22,3,6.516
23,3,6.113
24,3,5.733
25,3,5.376
26,3,5.038
27,3,5.343
28,3,5.019
29,3,4.712
30,3,4.42
31,3,4.142
32,3,3.879
33,3,4.168
34,3,4.474
35,3,4.208
36,3,3.955
37,3,4.861
38,3,4.592
39,3,4.334
40,3,5.318
41,3,5.721
42,3,6.157
43,3,6.629
44,3,6.329
45,3,6.038
46,3,5.757
47,3,5.483
48,3,5.963
49,3,NA
50,3,NA
51,3,0
52,3,0
53,3,0
54,3,0
55,3,0
56,3,0
57,3,0
58,3,0
59,3,0
60,3,0
61,3,0
62,3,0
63,3,0
64,3,0
65,3,0
66,3,0
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,3,0
73,3,0
74,3,0
75,3,0
76,3,0
77,3,0
78,3,0
79,3,0
80,3,0
81,3,0
82,3,-0
83,3,-0
84,3,-0
85,3,-0
86,3,-0
87,3,-0
88,3,-0
89,3,-0
90,3,-0
91,3,-0
92,3,-0
93,3,-0
94,3,-0
95,3,-0
96,3,-0
97,3,-0
98,3,-0
1,4,1.498
2,4,2.433
3,4,3.652
4,4,3.291
5,4,3.797
6,4,3.641
7,4,2.953
8,4,3.498
9,4,3.476
10,4,4.037
11,4,4.036
12,4,4.618
13,4,4.634
14,4,5.854
15,4,6.511
16,4,6.542
17,4,7.235
18,4,7.962
19,4,8.024
20,4,8.798
21,4,8.886
22,4,8.987
23,4,8.398
24,4,8.521
25,4,7.976
26,4,7.462
27,4,7.608
28,4,7.126
29,4,6.669
30,4,6.236
31,4,5.826
32,4,5.436
33,4,5.596
34,4,5.763
35,4,5.939
36,4,6.717
37,4,7.564
38,4,7.145
39,4,6.742
40,4,8.315
41,4,8.597
42,4,8.899
43,4,9.223
44,4,8.783
45,4,8.358
46,4,7.946
47,4,7.547
48,4,7.875
49,4,NA
50,4,NA
51,4,0
52,4,0
53,4,0
54,4,0
55,4,0
56,4,0
57,4,0
58,4,0
59,4,0
60,4,0
61,4,0
62,4,0
63,4,0
64,4,0
65,4,0
66,4,0
67,4,0
68,4,0
69,4,0
70,4,0
71,4,0
72,4,0
73,4,0
74,4,0
75,4,0
76,4,0
77,4,0
78,4,0
79,4,0
80,4,0
81,4,0
82,4,0
83,4,0
84,4,0
85,4,0
86,4,0
87,4,0
88,4,-0
89,4,-0
90,4,-0
91,4,-0
92,4,-0
93,4,-0
94,4,-0
95,4,-0
96,4,-0
97,4,-0
98,4,-0
1,5,1.375
2,5,2.85
3,5,3.66
4,5,3.105
5,5,3.38
6,5,3.686
7,5,4.011
8,5,4.353
9,5,4.145
10,5,4.515
11,5,4.357
12,5,4.745
13,5,4.62
14,5,5.56
15,5,5.987
16,5,5.875
17,5,6.322
18,5,7.365
19,5,7.859
20,5,8.374
21,5,8.91
22,5,9.47
23,5,8.775
24,5,8.727
25,5,8.69
26,5,8.07
27,5,8.057
28,5,7.484
29,5,6.944
30,5,6.434
31,5,6.979
32,5,6.482
33,5,6.516
34,5,7.084
35,5,7.687
36,5,8.329
37,5,9.651
38,5,9.097
39,5,8.566
40,5,9.958
41,5,10.082
42,5,10.219
43,5,10.368
44,5,10.531
45,5,9.987
46,5,9.461
47,5,9.637
48,5,9.827
49,5,NA
50,5,NA
51,5,0
52,5,0
53,5,0
54,5,0
55,5,0
56,5,0
57,5,0
58,5,0
59,5,0
60,5,0
61,5,0
62,5,0
63,5,0
64,5,0
65,5,0
66,5,0
67,5,0
68,5,0
69,5,0
70,5,0
71,5,0
72,5,0
73,5,0
74,5,0
75,5,0
76,5,0
77,5,0
78,5,0
79,5,0
80,5,0
81,5,0
82,5,0
83,5,0
84,5,0
85,5,0
86,5,0
87,5,0
88,5,0
89,5,-0
90,5,-0
91,5,-0
92,5,-0
93,5,-0
94,5,-0
95,5,-0
96,5,-0
97,5,-0
98,5,-0
1,6,1.279
2,6,3.283
3,6,3.731
4,6,3.641
5,6,3.686
6,6,4.381
7,6,4.502
8,6,4.655
9,6,4.304
10,6,4.509
11,6,4.236
12,6,4.468
13,6,4.244
14,6,5.446
15,6,5.707
16,6,5.486
17,6,6.26
18,6,7.071
19,6,7.38
20,6,7.701
21,6,8.036
22,6,8.385
23,6,7.664
24,6,7.501
25,6,7.867
26,6,7.722
27,6,7.588
28,6,7.465
29,6,6.863
30,6,6.298
31,6,6.673
32,6,6.132
33,6,6.059
34,6,6.444
35,6,6.847
36,6,7.271
37,6,8.236
38,6,8.185
39,6,7.622
40,6,8.644
41,6,9.76
42,6,9.742
43,6,10.344
44,6,10.347
45,6,9.739
46,6,9.153
47,6,9.172
48,6,9.814
49,6,NA
50,6,NA
51,6,0
52,6,0
53,6,0
54,6,0
55,6,0
56,6,0
57,6,0
58,6,0
59,6,0
60,6,0
61,6,0
62,6,0
63,6,0
64,6,0
65,6,0
66,6,0
67,6,0
68,6,0
69,6,0
70,6,0
71,6,0
72,6,0
73,6,0
74,6,0
75,6,0
76,6,0
77,6,0
78,6,0
79,6,0
80,6,0
81,6,0
82,6,0
83,6,0
84,6,0
85,6,0
86,6,0
87,6,0
88,6,0
89,6,0
90,6,0
91,6,0
92,6,-0
93,6,-0
94,6,-0
95,6,-0
96,6,-0
97,6,-0
98,6,-0
1,7,1.2
2,7,3.733
3,7,3.84
4,7,4.19
5,7,4.011
6,7,4.502
7,7,5.013
8,7,4.991
9,7,4.503
10,7,4.566
11,7,4.193
12,7,4.745
13,7,4.414
14,7,5.43
15,7,5.557
16,7,5.246
17,7,5.841
18,7,7.433
19,7,8.107
20,7,8.281
21,7,8.468
22,7,9.194
23,7,8.362
24,7,8.079
25,7,8.306
26,7,8.544
27,7,8.293
28,7,8.057
29,7,7.368
30,7,6.722
31,7,6.977
32,7,7.242
33,7,7.065
34,7,7.344
35,7,7.636
36,7,7.941
37,7,8.753
38,7,8.595
39,7,7.959
40,7,8.8
41,7,10.25
42,7,10.113
43,7,10.545
44,7,10.424
45,7,9.75
46,7,9.104
47,7,9.006
48,7,9.457
49,7,NA
50,7,NA
51,7,0
52,7,0
53,7,0
54,7,0
55,7,0
56,7,0
57,7,0
58,7,0
59,7,0
60,7,0
61,7,0
62,7,0
63,7,0
64,7,0
65,7,0
66,7,0
67,7,0
68,7,0
69,7,0
70,7,0
71,7,0
72,7,0
73,7,0
74,7,0
75,7,0
76,7,0
77,7,0
78,7,0
79,7,0
80,7,0
81,7,0
82,7,0
83,7,0
84,7,0
85,7,0
86,7,0
87,7,0
88,7,0
89,7,0
90,7,0
91,7,0
92,7,-0
93,7,-0
94,7,-0
95,7,-0
96,7,-0
97,7,-0
98,7,-0
1,8,1.134
2,8,4.203
3,8,3.974
4,8,5.445
5,8,5.587
6,8,6.453
7,8,7.349
8,8,7.04
9,8,7.392
10,8,7.205
11,8,6.543
12,8,6.974
13,8,6.909
14,8,7.883
15,8,7.844
16,8,7.826
17,8,8.328
18,8,9.908
19,8,11.021
20,8,11.037
21,8,11.073
22,8,11.684
23,8,10.65
24,8,10.207
25,8,10.306
26,8,10.418
27,8,10.027
28,8,9.659
29,8,9.311
30,8,8.513
31,8,8.669
32,8,8.835
33,8,8.544
34,8,8.725
35,8,8.916
36,8,9.117
37,8,9.819
38,8,9.554
39,8,8.823
40,8,9.54
41,8,10.825
42,8,11.113
43,8,11.418
44,8,11.186
45,8,10.426
46,8,9.698
47,8,9.499
48,8,9.82
49,8,NA
50,8,NA
51,8,0
52,8,0
53,8,0
54,8,0
55,8,0
56,8,0
57,8,0
58,8,0
59,8,0
60,8,0
61,8,0
62,8,0
63,8,0
64,8,0
65,8,0
66,8,0
67,8,0
68,8,0
69,8,0
70,8,0
71,8,0
72,8,0
73,8,0
74,8,0
75,8,0
76,8,0
77,8,0
78,8,0
79,8,0
80,8,0
81,8,0
82,8,0
83,8,0
84,8,0
85,8,0
86,8,0
87,8,0
88,8,0
89,8,0
90,8,0
91,8,0
92,8,-0
93,8,-0
94,8,-0
95,8,-0
96,8,-0
97,8,-0
98,8,-0
1,9,1.076
2,9,3.787
3,9,3.451
4,9,4.681
5,9,4.71
6,9,5.389
