"uniprot_id","omega2","gene","label"
"NDRG2",0.411097291950423,NA,"NDRG2"
"HNRNPR",0.373204516280445,NA,"HNRNPR"
"LCP1",0.366442820680176,NA,"LCP1"
"PREP",0.304448384302976,NA,"PREP"
"RCSD1",0.293061228693252,NA,"RCSD1"
"MAP2K2",0.288846041086696,NA,"MAP2K2"
"SNCA",0.277289432505442,NA,"SNCA"
"SPTB",0.277126625661886,NA,"SPTB"
"BDH2",0.276883675528509,NA,"BDH2"
"ANK1",0.276581103276632,NA,"ANK1"
"ILF3",0.275760768964873,NA,"ILF3"
"HNRNPDL",0.275690874840578,NA,"HNRNPDL"
"MTX1",0.27376264782134,NA,"MTX1"
"PNPT1",0.272319678324661,NA,"PNPT1"
"SYNE2",0.263307902627691,NA,"SYNE2"
"BLVRB",0.259191896890893,NA,"BLVRB"
"CAT",0.256719335384526,NA,"CAT"
"RRAD",0.255370926334723,NA,"RRAD"
"PLCD4",0.25531665573823,NA,"PLCD4"
"PNP",0.254632909731966,NA,"PNP"
"BPNT1",0.253650922766891,NA,"BPNT1"
"ARMT1",0.252325388539861,NA,"ARMT1"
"STOM",0.25208838620998,NA,"STOM"
"MPP1",0.249352924186243,NA,"MPP1"
"SYNCRIP",0.244475281809553,NA,"SYNCRIP"
"COPS7A",0.244175495722655,NA,"COPS7A"
"TNPO3",0.242692396242959,NA,"TNPO3"
"CMBL",0.241030270855703,NA,"CMBL"
"BPGM",0.238813362242618,NA,"BPGM"
"GLUL",0.236992562128028,NA,"GLUL"
"TCAP",0.236065191137243,NA,"TCAP"
"GLRX5",0.235478075591357,NA,"GLRX5"
"ARPC4",0.235456915255532,NA,"ARPC4"
"MAP1LC3B2",0.23511099128908,NA,"MAP1LC3B2"
"MAP2K6",0.232390146677825,NA,"MAP2K6"
"HMGCL",0.230716924050563,NA,"HMGCL"
"LYPLA2",0.229821362126732,NA,"LYPLA2"
"EPB41",0.223767977165438,NA,"EPB41"
"LPCAT3",0.222767422356864,NA,"LPCAT3"
"PGAM2",0.220332686496574,NA,"PGAM2"
"AK1",0.219888075010261,NA,"AK1"
"STOML2",0.216891782571728,NA,"STOML2"
"PLIN4",0.211619527333714,NA,"PLIN4"
"TPD52L1",0.21147339139473,NA,"TPD52L1"
"ACSF2",0.210923689257283,NA,"ACSF2"
"CIRBP",0.209865499710731,NA,"CIRBP"
"S100A1",0.206376581799255,NA,"S100A1"
"GPC1",0.203834718731182,NA,"GPC1"
"UBA3",0.202810815178039,NA,"UBA3"
"SLC2A1",0.200229918086602,NA,"SLC2A1"
"BSG",0.200194773284448,NA,"BSG"
"AMPD1",0.199024929215862,NA,"AMPD1"
"RPS20",0.198073389586604,NA,"RPS20"
"MRPL22",0.197699083728599,NA,"MRPL22"
"COQ8A",0.196533723223359,NA,"COQ8A"
"LETM1",0.195474292149004,NA,"LETM1"
"MYLK2",0.195369642643388,NA,"MYLK2"
"ARHGAP19",0.194453104735317,NA,"ARHGAP19"
"SNTA1",0.194095932685717,NA,"SNTA1"
"TOLLIP",0.192854146024757,NA,"TOLLIP"
"TTC38",0.19111337101968,NA,"TTC38"
"EIF3G",0.188901891697157,NA,"EIF3G"
"ERI3",0.186725945207938,NA,"ERI3"
"ADD1",0.184958245592705,NA,"ADD1"
"TGM2",0.183680521490808,NA,"TGM2"
"SH3BGRL3",0.183416562447092,NA,"SH3BGRL3"
"RTN3",0.181629636457379,NA,"RTN3"
"AIFM1",0.178415323987519,NA,"AIFM1"
"AHCYL2",0.178372245037941,NA,"AHCYL2"
"TRAP1",0.177164638341818,NA,"TRAP1"
