"contrast","med_abs_lfc","annotation"
"Baseline_HRvLR",0.179598050363509,"0.18"
"Training_HR",0.204302158323838,"0.20"
"Training_LR",0.149357661349977,"0.15"
"Acute_HR",0.224396315882814,"0.22"
"Acute_LR",0.17306614007433,"0.17"
