"sample","PC1","PC2","Group","Timepoint"
"S03_T1",-21.9703486240501,-29.571407974604,"HR","T1"
"S10_T1",11.1432750881872,-2.4719798661724,"HR","T1"
"S16_T1",2.04761641628515,5.19185485487606,"HR","T1"
"S22_T1",-46.8913773976513,-6.98269818343109,"HR","T1"
"S24_T1",2.41849243440557,6.73453328447123,"HR","T1"
"S27_T1",-9.89073497141613,6.57937820760481,"HR","T1"
"S28_T1",13.8702443862037,2.82518706291275,"HR","T1"
"S04_T1",8.78520916796304,6.60237893879843,"LR","T1"
"S05_T1",14.4437439703058,-3.53733077701614,"LR","T1"
"S06_T1",13.0587315668558,-4.29349465097776,"LR","T1"
"S12_T1",8.03906292858452,-16.5157507403262,"LR","T1"
"S14_T1",-4.93852207782413,8.83895134664738,"LR","T1"
"S17_T1",-25.3570364494098,-26.2327766995567,"LR","T1"
"S21_T1",-7.45626073453129,2.2494347088114,"LR","T1"
"S30_T1",-10.8601655159766,-17.927553719303,"LR","T1"
"S03_T2",15.5328849367578,-5.15903037390123,"HR","T2"
"S10_T2",6.24561645804286,-5.42171427040224,"HR","T2"
"S16_T2",11.1753370445972,2.06256252824828,"HR","T2"
"S22_T2",-0.926678605992713,7.36918756882606,"HR","T2"
"S24_T2",-4.87092331155377,-11.923729271292,"HR","T2"
"S27_T2",8.87462032810404,5.0633652962956,"HR","T2"
"S29_T2",9.85753205299905,5.61213121707538,"HR","T2"
"S04_T2",24.7394948760436,-4.66421297370681,"LR","T2"
"S05_T2",4.27247156790464,-12.5902831011798,"LR","T2"
"S06_T2",-2.93797292858032,-11.8388954982143,"LR","T2"
"S12_T2",9.39945878852108,-17.4078829793891,"LR","T2"
"S14_T2",-21.9950460640445,29.4272341577377,"LR","T2"
"S17_T2",-24.6197861706732,-31.7234732090182,"LR","T2"
"S21_T2",8.96084751311004,1.6459538232756,"LR","T2"
"S30_T2",9.91957619602323,-5.2131729839257,"LR","T2"
"S03_T3",5.90212020693472,17.046819409705,"HR","T3"
"S10_T3",-4.84210893243217,37.7744349533926,"HR","T3"
"S16_T3",11.1625095022637,-1.02504337973388,"HR","T3"
"S22_T3",-13.9915920492813,20.3355324426692,"HR","T3"
"S24_T3",-57.9283115847023,13.9443875884321,"HR","T3"
"S27_T3",14.5661457279202,-1.97411063201589,"HR","T3"
"S29_T3",5.39656915668532,-6.42501910683076,"HR","T3"
"S04_T3",3.30133430591996,-5.74140575117608,"LR","T3"
"S05_T3",16.7369369754747,-0.246969925678808,"LR","T3"
"S06_T3",2.91449142501624,-9.45668451623628,"LR","T3"
"S12_T3",20.0256506611908,-0.130489750473846,"LR","T3"
"S14_T3",-2.55640844150897,32.4696169675667,"LR","T3"
"S17_T3",6.79145284438451,10.5443278223971,"LR","T3"
"S21_T3",4.34944400194825,4.8551433386321,"LR","T3"
"S30_T3",-11.8975966690046,11.3026948161864,"LR","T3"
