"contrast","gene"
"Base.","FXYD1"
"Base.","PMPCB"
"Base.","LYPLA2"
"Base.","MLYCD"
"Base.","ACAA1"
"Base.","LAMP1"
"Base.","MYH6"
"Base.","MYH8"
"Base.","HNRNPL"
"Base.","S100A1"
"Base.","AKT2"
"Base.","PPP1CC"
"Base.","CPT1A"
"Base.","DYNLT1"
"Base.","LMAN2"
"Base.","DCAF8"
"Base.","CORO6"
"Base.","SND1"
"Base.","ECHDC2"
"Base.","CLYBL"
"Base.","SPPL2A"
"Base.","SYNE2"
"Base.","SYNC"
"Base.","SYNPO2L"
"Base.","MRPL47"
"Base.","PALMD"
"Base.","ATP6V1H"
"Base.","TMED5"
"Base.","TNPO3"
"Tr.(HR)","MAP1LC3B2"
"Tr.(HR)","BCKDK"
"Tr.(HR)","SYNCRIP"
"Tr.(HR)","PPM1B"
"Tr.(HR)","MLYCD"
"Tr.(HR)","TOMM40"
"Tr.(HR)","MYH3"
"Tr.(HR)","LAMP1"
"Tr.(HR)","COL6A2"
"Tr.(HR)","MYH6"
"Tr.(HR)","HNRNPL"
"Tr.(HR)","HRC"
"Tr.(HR)","GPC1"
"Tr.(HR)","HMGCL"
"Tr.(HR)","ARL1"
"Tr.(HR)","VDAC2"
"Tr.(HR)","CPT1A"
"Tr.(HR)","COPA"
"Tr.(HR)","EIF3B"
"Tr.(HR)","RAP2B"
"Tr.(HR)","RPL32"
"Tr.(HR)","DYNLT1"
"Tr.(HR)","PURA"
"Tr.(HR)","LMAN2"
"Tr.(HR)","MTX1"
"Tr.(HR)","PEA15"
"Tr.(HR)","DHCR24"
"Tr.(HR)","ADIRF"
"Tr.(HR)","TKFC"
"Tr.(HR)","ACAD10"
"Tr.(HR)","CORO6"
"Tr.(HR)","SND1"
"Tr.(HR)","FERMT3"
"Tr.(HR)","PDPR"
"Tr.(HR)","RTN4IP1"
"Tr.(HR)","SYNE2"
"Tr.(HR)","CCDC124"
"Tr.(HR)","DCUN1D1"
"Tr.(HR)","MRPL13"
"Tr.(HR)","ANKRD2"
"Tr.(HR)","SYNC"
"Tr.(HR)","SYNPO2L"
"Tr.(HR)","CAB39L"
"Tr.(HR)","OXSM"
"Tr.(HR)","TMOD4"
"Tr.(HR)","TOMM7"
"Tr.(HR)","SEPTIN9"
"Tr.(HR)","TRMT112"
"Tr.(HR)","MYH13"
"Tr.(HR)","DRG1"
"Tr.(HR)","TMED5"
"Tr.(HR)","TPRKB"
"Tr.(HR)","TIMM13"
"Tr.(HR)","NUBP2"
"Tr.(HR)","MYH4"
"Tr.(LR)","TIMM8A"
"Tr.(LR)","PRPSAP2"
"Tr.(LR)","PFKFB2"
"Tr.(LR)","LYPLA2"
"Tr.(LR)","HLA-DRA"
"Tr.(LR)","NMT1"
"Tr.(LR)","AKT2"
"Tr.(LR)","TSFM"
"Tr.(LR)","ARCN1"
"Tr.(LR)","CACNB3"
"Tr.(LR)","RPS15"
"Tr.(LR)","PITPNA"
"Tr.(LR)","MRPL49"
"Tr.(LR)","MTX1"
"Tr.(LR)","COX20"
"Tr.(LR)","DCAF8"
"Tr.(LR)","COMTD1"
"Tr.(LR)","S100A13"
"Tr.(LR)","UBE2O"
"Tr.(LR)","MRPL44"
"Tr.(LR)","OXSM"
"Tr.(LR)","CA14"
"Tr.(LR)","LAMTOR2"
"Tr.(LR)","POLDIP2"
"Tr.(LR)","SNX5"
"Tr.Int.","PRPSAP2"
"Tr.Int.","SYNCRIP"
"Tr.Int.","PPM1B"
"Tr.Int.","MFN2"
"Tr.Int.","MLYCD"
"Tr.Int.","HLA-DRA"
"Tr.Int.","RO60"
"Tr.Int.","GAA"
"Tr.Int.","LAMP1"
"Tr.Int.","XRCC5"
"Tr.Int.","MYH6"
"Tr.Int.","HNRNPL"
"Tr.Int.","CTPS1"
"Tr.Int.","TYMP"
"Tr.Int.","CD9"
"Tr.Int.","NMT1"
"Tr.Int.","AKT2"
"Tr.Int.","MAPKAPK2"
"Tr.Int.","HINT1"
"Tr.Int.","CPT1A"
"Tr.Int.","COPA"
"Tr.Int.","ROMO1"
"Tr.Int.","RAP2B"
"Tr.Int.","RPL32"
"Tr.Int.","DYNLT1"
"Tr.Int.","PURA"
"Tr.Int.","LMAN2"
"Tr.Int.","DHCR24"
"Tr.Int.","HNRNPUL2"
"Tr.Int.","DCAF8"
"Tr.Int.","MLIP"
"Tr.Int.","ACAD10"
"Tr.Int.","CORO6"
"Tr.Int.","KYAT3"
"Tr.Int.","SND1"
"Tr.Int.","COMTD1"
"Tr.Int.","PDPR"
"Tr.Int.","RTN4IP1"
"Tr.Int.","SYNE2"
"Tr.Int.","ALPK3"
"Tr.Int.","UBE2O"
"Tr.Int.","RBKS"
"Tr.Int.","SYNC"
"Tr.Int.","JPT2"
"Tr.Int.","SYNPO2L"
"Tr.Int.","PALMD"
"Tr.Int.","MRPL22"
"Tr.Int.","CHORDC1"
"Tr.Int.","ATP6V1H"
"Tr.Int.","EIF3L"
"Tr.Int.","DRG1"
"Tr.Int.","POLDIP2"
"Tr.Int.","TMED5"
"Tr.Int.","TPRKB"
"Tr.Int.","MYH4"
"Ac.(HR)","MAP1LC3B2"
"Ac.(HR)","FXYD1"
"Ac.(HR)","FBP2"
"Ac.(HR)","ARPC2"
"Ac.(HR)","HNRNPR"
"Ac.(HR)","CALU"
"Ac.(HR)","SYNCRIP"
"Ac.(HR)","RTN3"
"Ac.(HR)","EPM2A"
"Ac.(HR)","FTL"
"Ac.(HR)","RPLP1"
"Ac.(HR)","RPLP2"
"Ac.(HR)","CD63"
"Ac.(HR)","RO60"
"Ac.(HR)","HLA-C"
"Ac.(HR)","IFITM1"
"Ac.(HR)","KRT10"
"Ac.(HR)","RPA2"
"Ac.(HR)","PTPN1"
"Ac.(HR)","RPL7"
"Ac.(HR)","NCL"
"Ac.(HR)","RPL12"
"Ac.(HR)","GPC1"
"Ac.(HR)","HMGCL"
"Ac.(HR)","ARL1"
"Ac.(HR)","HNRNPA3"
"Ac.(HR)","MAP2K6"
"Ac.(HR)","ARHGDIB"
"Ac.(HR)","RRAD"
"Ac.(HR)","CD81"
"Ac.(HR)","RPS20"
"Ac.(HR)","RPL7A"
"Ac.(HR)","H2BC4"
"Ac.(HR)","CSNK2B"
"Ac.(HR)","SRSF2"
"Ac.(HR)","RPL6"
"Ac.(HR)","CACNG1"
"Ac.(HR)","ARHGAP1"
"Ac.(HR)","ILF3"
"Ac.(HR)","MLEC"
"Ac.(HR)","PPP2R5D"
"Ac.(HR)","DHCR24"
"Ac.(HR)","MAPRE1"
"Ac.(HR)","FSCN1"
"Ac.(HR)","PHKG1"
"Ac.(HR)","HNRNPUL2"
"Ac.(HR)","COX19"
"Ac.(HR)","DUSP28"
"Ac.(HR)","PDLIM3"
"Ac.(HR)","DCAF8"
"Ac.(HR)","RCSD1"
"Ac.(HR)","ACAD10"
"Ac.(HR)","FERMT3"
