"resp_group","timepoint","group","med","ci_lo","ci_hi","cv_max"
"HR","T1","HR_T1",32.5949496148282,31.7460037375355,33.4213825622986,156.032530902681
"HR","T2","HR_T2",26.17248785753,25.6513439319072,26.9837578078833,188.696840116637
"HR","T3","HR_T3",32.4129169519747,31.4887423823037,33.5611839130704,171.819875635634
"LR","T1","LR_T1",30.715874734752,29.92032077966,31.3932692587625,166.964839112285
"LR","T2","LR_T2",32.5120304939697,31.7424169732286,33.3389428498824,232.969722384694
"LR","T3","LR_T3",25.8685963866981,25.1025060271363,26.6045690090551,173.94272811675
