contrast,n_sig,n_total,pct,ci_lo,ci_hi
Training_HR,59,1943,3.0365414307771488,2.319420181390938,3.8995989002443165
Training_LR,31,1943,1.59547092125579,1.0865524472748151,2.257054524180757
Acute_HR,92,1943,4.734945959855893,3.8338261999920813,5.775612251832641
Acute_LR,97,1943,4.992279979413278,4.0667598671924,6.056437324732212
Baseline_HRvLR,29,1943,1.492537313432836,1.0017941075844135,2.136545774893861
Training_Interaction,58,1943,2.985074626865672,2.274327035238791,3.841968102387028
Acute_Interaction,97,1943,4.992279979413278,4.0667598671924,6.056437324732212
