"uniprot_id","eta2","gene","label"
"Q13310",0.186192047799914,"PABPC4","PABPC4"
"P62913",0.186015104179844,"RPL11","RPL11"
"P51151",0.185950429176481,"RAB9A","RAB9A"
"P60842",0.185777117694448,"EIF4A1","EIF4A1"
"P17174",0.185380665750881,"GOT1","GOT1"
"A8MU46",0.185193008486,"SMTNL1","SMTNL1"
"O43826",0.185083229491176,"SLC37A4","SLC37A4"
"Q9UPY8",0.185007759253533,"MAPRE3","MAPRE3"
"Q16762",0.184709953824731,"TST","TST"
"P14927",0.18458162865762,"UQCRB","UQCRB"
"P31415",0.184468517349591,"CASQ1","CASQ1"
"Q15772",0.18445909938218,"SPEG","SPEG"
"P09669",0.184359333154632,"COX6C","COX6C"
"P40939",0.184106176788161,"HADHA","HADHA"
"Q9NVD7",0.184077570465816,"PARVA","PARVA"
"P08758",0.18397583038004,"ANXA5","ANXA5"
"Q96S19",0.183914804383643,"METTL26","METTL26"
"Q8WW22",0.183598695704711,"DNAJA4","DNAJA4"
"P08962",0.182927954033818,"CD63","CD63"
"P63167",0.182872990411033,"DYNLL1","DYNLL1"
"P53999",0.18268143537568,"SUB1","SUB1"
"Q96QK1",0.182263468490755,"VPS35","VPS35"
"P09936",0.182049387975034,"UCHL1","UCHL1"
"P54727",0.181975542234455,"RAD23B","RAD23B"
"Q9GZP4",0.181971416420194,"PITHD1","PITHD1"
"O60784",0.181945828273051,"TOM1","TOM1"
"P53004",0.181716881629915,"BLVRA","BLVRA"
"P26640",0.181675571919185,"VARS1","VARS1"
"O15061",0.181636345799092,"SYNM","SYNM"
"P14314",0.181594022283044,"PRKCSH","PRKCSH"
"Q9Y4L1",0.181537276494767,"HYOU1","HYOU1"
"Q86TP1",0.181334815148422,"PRUNE1","PRUNE1"
"Q12849",0.181251373574176,"GRSF1","GRSF1"
"P62333",0.18053098881937,"PSMC6","PSMC6"
"Q9NQX3",0.180506218007086,"GPHN","GPHN"
"Q8NCN5",0.179925782951577,"PDPR","PDPR"
"P08311",0.179780216345892,"CTSG","CTSG"
"Q49B96",0.179443546894067,"COX19","COX19"
"P49189",0.179368486508307,"ALDH9A1","ALDH9A1"
"P04921",0.179321944820165,"GYPC","GYPC"
"Q9NSD9",0.178870877951447,"FARSB","FARSB"
"P32119",0.178773432356381,"PRDX2","PRDX2"
"P49748",0.178709617564081,"ACADVL","ACADVL"
"Q9NVS9",0.178377380328978,"PNPO","PNPO"
"Q13554",0.178350296488485,"CAMK2B","CAMK2B"
"Q9Y6C9",0.178344151682123,"MTCH2","MTCH2"
"Q9NQC3",0.178269024672626,"RTN4","RTN4"
"O75436",0.178164234370036,"VPS26A","VPS26A"
"Q15907",0.178035815328526,"RAB11B","RAB11B"
"Q5JWF2",0.178029034714419,"GNAS","GNAS"
"O43181",0.177677101611559,"NDUFS4","NDUFS4"
"Q8NFV4",0.177581373171802,"ABHD11","ABHD11"
"P10768",0.17725190116864,"ESD","ESD"
"P51649",0.177074118999956,"ALDH5A1","ALDH5A1"
"O43760",0.177058814999412,"SYNGR2","SYNGR2"
"Q99807",0.177034976666365,"COQ7","COQ7"
"P35579",0.176988793336956,"MYH9","MYH9"
"Q8WYQ3",0.176817538777093,"CHCHD10","CHCHD10"
"P14923",0.176587098966405,"JUP","JUP"
"Q9Y277",0.176509481866169,"VDAC3","VDAC3"
"Q9UKX3",0.176149868120298,"MYH13","MYH13"
"P29692",0.176100803510184,"EEF1D","EEF1D"
"Q96CX2",0.175883124577615,"KCTD12","KCTD12"
"P55072",0.175827617408423,"VCP","VCP"
"Q9H3K2",0.175603213211593,"GHITM","GHITM"
"Q9NP79",0.175537277291323,"VTA1","VTA1"
"Q9HCC0",0.175524699964845,"MCCC2","MCCC2"
"P62277",0.175340533589231,"RPS13","RPS13"
"P62888",0.1750440864342,"RPL30","RPL30"
"Q96C11",0.174923297051339,"FGGY","FGGY"
"Q93100",0.174878753303192,"PHKB","PHKB"
"Q9BSL1",0.174793282600213,"UBAC1","UBAC1"
"P25398",0.174608562898977,"RPS12","RPS12"
"P35813",0.174455229545996,"PPM1A","PPM1A"
"Q9HCU5",0.174355964997169,"PREB","PREB"
"Q9BV86",0.173742871031776,"NTMT1","NTMT1"
"Q7KZF4",0.173736637733895,"SND1","SND1"
"P11177",0.173655551621884,"PDHB","PDHB"
"O60936",0.173509345045915,"NOL3","NOL3"
"P25705",0.172865367477405,"ATP5F1A","ATP5F1A"
"P27797",0.172645323094184,"CALR","CALR"
"Q9Y6G9",0.172398630663557,"DYNC1LI1","DYNC1LI1"
"P23634",0.172027179070777,"ATP2B4","ATP2B4"
"O00303",0.171519698178815,"EIF3F","EIF3F"
"Q9UHG3",0.171362484863838,"PCYOX1","PCYOX1"
"P62195",0.171045464888846,"PSMC5","PSMC5"
"P24752",0.17092313983292,"ACAT1","ACAT1"
"O14841",0.170833912760138,"OPLAH","OPLAH"
"Q07020",0.170667683741209,"RPL18","RPL18"
"Q13564",0.170331009408998,"NAE1","NAE1"
"Q16586",0.170168359605722,"SGCA","SGCA"
"Q9Y376",0.170131217831928,"CAB39","CAB39"
"Q01105",0.170028616524489,"SET","SET"
"Q9BVG4",0.169853306914859,"PBDC1","PBDC1"
"Q86TC9",0.169681402909794,"MYPN","MYPN"
"Q9Y3D3",0.169350056939349,"MRPS16","MRPS16"
"Q9Y3U8",0.168893959438282,"RPL36","RPL36"
"Q9NYL2",0.168686066214817,"MAP3K20","MAP3K20"
"P10253",0.168629745712221,"GAA","GAA"
"Q9HBH5",0.16857358577305,"RDH14","RDH14"
"P27348",0.168476079026314,"YWHAQ","YWHAQ"
"Q9H477",0.168247861981379,"RBKS","RBKS"
"P21397",0.168226864093607,"MAOA","MAOA"
"P07900",0.167914183536955,"HSP90AA1","HSP90AA1"
"Q9NRP0",0.167823875908906,"OSTC","OSTC"
"Q13813",0.167435199265517,"SPTAN1","SPTAN1"
"Q96S66",0.167334371329612,"CLCC1","CLCC1"
"P19971",0.167251806755955,"TYMP","TYMP"
"P62753",0.167150158939968,"RPS6","RPS6"
"Q15369",0.166994550229362,"ELOC","ELOC"
"Q8NBN7",0.166816937234796,"RDH13","RDH13"
"Q9Y6M9",0.166815980366741,"NDUFB9","NDUFB9"
"O95359",0.166729332623877,"TACC2","TACC2"
"P00505",0.166716586589174,"GOT2","GOT2"
"Q16816",0.166460581885509,"PHKG1","PHKG1"
"Q13825",0.166393482791053,"AUH","AUH"
"P31153",0.165834959785482,"MAT2A","MAT2A"
"Q9H845",0.165652086866571,"ACAD9","ACAD9"
"Q9H1E5",0.16561688659895,"TMX4","TMX4"
"Q9Y241",0.165449474916766,"HIGD1A","HIGD1A"
"O00232",0.165313715897812,"PSMD12","PSMD12"
"O15400",0.165277616610077,"STX7","STX7"
"Q4G0W2",0.165175459618464,"DUSP28","DUSP28"
"P07919",0.165161925125524,"UQCRH","UQCRH"
"P49840",0.164960964136799,"GSK3A","GSK3A"
"P06576",0.164843664626761,"ATP5F1B","ATP5F1B"
"Q5VYK3",0.164794684892066,"ECPAS","ECPAS"
"P62826",0.164499689052678,"RAN","RAN"
"P17987",0.164498211990647,"TCP1","TCP1"
"Q02952",0.164458504495894,"AKAP12","AKAP12"
"P49720",0.164118388579108,"PSMB3","PSMB3"
"P55084",0.164110322030902,"HADHB","HADHB"
"P17655",0.16409264754278,"CAPN2","CAPN2"
"P18124",0.163915193390732,"RPL7","RPL7"
"Q8NBF2",0.163524943783206,"NHLRC2","NHLRC2"
"P32969",0.163428997398265,"RPL9","RPL9"
"Q9H0U4",0.163367838852544,"RAB1B","RAB1B"
"Q9BXB4",0.163296719666681,"OSBPL11","OSBPL11"
"Q13526",0.163166838649537,"PIN1","PIN1"
"Q9NR28",0.163149378454693,"DIABLO","DIABLO"
"Q96EY8",0.163017281676953,"MMAB","MMAB"
"Q9UNS2",0.162870067140373,"COPS3","COPS3"
"P05388",0.162738702624642,"RPLP0","RPLP0"
"P62701",0.162628275589191,"RPS4X","RPS4X"
"Q14165",0.162620231869726,"MLEC","MLEC"
