"uniprot_id","eta2","gene","label"
"Q9BS40",0.251342570068125,"LXN","LXN"
"Q02218",0.250829287756087,"OGDH","OGDH"
"O14561",0.250531518313211,"NDUFAB1","NDUFAB1"
"P52209",0.250501547116101,"PGD","PGD"
"P48506",0.250463436115497,"GCLC","GCLC"
"Q9NUQ8",0.250296682411419,"ABCF3","ABCF3"
"O75131",0.25027674762089,"CPNE3","CPNE3"
"P27824",0.250221024416686,"CANX","CANX"
"Q9Y4E8",0.249943001882228,"USP15","USP15"
"Q9Y2S7",0.249633841151866,"POLDIP2","POLDIP2"
"Q13557",0.249486260592884,"CAMK2D","CAMK2D"
"Q0VAK6",0.249329293746393,"LMOD3","LMOD3"
"Q99685",0.24897469936565,"MGLL","MGLL"
"O96008",0.248899936074056,"TOMM40","TOMM40"
"P13716",0.247523966695371,"ALAD","ALAD"
"P61225",0.246910432028426,"RAP2B","RAP2B"
"Q01130",0.246200857545287,"SRSF2","SRSF2"
"Q9UI12",0.246117104560995,"ATP6V1H","ATP6V1H"
"Q96FQ6",0.245967791240032,"S100A16","S100A16"
"P00966",0.24556295306618,"ASS1","ASS1"
"P0CW19",0.245330092355446,"LIMS3","LIMS3"
"P22102",0.243838003665483,"GART","GART"
"P45880",0.242819152464188,"VDAC2","VDAC2"
"P50416",0.242491084284861,"CPT1A","CPT1A"
"P61006",0.242194877489844,"RAB8A","RAB8A"
"P61978",0.240647345397404,"HNRNPK","HNRNPK"
"P09651",0.240228118885338,"HNRNPA1","HNRNPA1"
"Q13907",0.239845353879954,"IDI1","IDI1"
"P07910",0.2398416587251,"HNRNPC","HNRNPC"
"P16298",0.239826871847123,"PPP3CB","PPP3CB"
"P51692",0.239819208737334,"STAT5B","STAT5B"
"Q15121",0.239301391970434,"PEA15","PEA15"
"P35244",0.239041100946586,"RPA3","RPA3"
"Q15942",0.238982752612191,"ZYX","ZYX"
"P55786",0.238686352178224,"NPEPPS","NPEPPS"
"P37837",0.238126403555964,"TALDO1","TALDO1"
"Q8TAT6",0.237872095171973,"NPLOC4","NPLOC4"
"P36776",0.237634867032376,"LONP1","LONP1"
