"subject","resp_group","median_lfc","mad_lfc","sd_lfc","iqr_lfc","q25","q75","n_proteins","n_imputed_lfc","pct_imputed","n_mnar_lfc","pct_mnar"
"HR_S27","HR",-0.0101675125619458,0.56577542765274,0.732997667904386,0.761184896957591,-0.372703076243717,0.388481820713874,1885,299,15.8620689655172,0,0
"HR_S03","HR",-0.00943892975091387,0.744396579236464,0.957340015612955,1.00577053418924,-0.504798004214894,0.500972529974341,1885,588,31.1936339522546,0,0
"HR_S16","HR",-0.00750216311899266,0.473867077830134,0.638355847551504,0.63942338279676,-0.3401103645452,0.29931301825156,1885,410,21.7506631299735,0,0
"HR_S22","HR",0,0.70980920762071,0.877565458677434,0.95704286024894,-0.478759751531573,0.478283108717367,1885,289,15.3315649867374,0,0
"HR_S10","HR",0.000948429633968573,0.501344821846412,0.682355065365946,0.675802768411874,-0.344115725855534,0.331687042556339,1885,653,34.6419098143236,0,0
"HR_S24","HR",0.0181380339036927,0.542584186329376,0.690376559588857,0.736269441119205,-0.340906142937385,0.39536329818182,1885,400,21.2201591511936,0,0
"LR_S14","LR",-0.0190595333704557,0.771143738922751,0.926412004102145,1.04484781405309,-0.524951783655851,0.519896030397234,1885,313,16.604774535809,0,0
"LR_S05","LR",-0.0125482944721149,0.395432506699012,0.54142521991323,0.540170837423883,-0.275900709812102,0.26427012761178,1885,186,9.86737400530504,0,0
"LR_S04","LR",0.00456143137740028,0.616809100269833,0.827468375499135,0.820326797358732,-0.396232872743411,0.42409392461532,1885,173,9.17771883289125,0,0
"LR_S12","LR",0.0118570719473787,0.351184675731998,0.544067628478901,0.474708778187225,-0.224430438544488,0.250278339642737,1885,263,13.9522546419098,0,0
"LR_S06","LR",0.0146305617434521,0.507699348690783,0.620560783831303,0.696889805207295,-0.34703372295359,0.349856082253705,1885,486,25.7824933687003,0,0
"LR_S17","LR",0.0207533637338244,0.564275183723468,0.782650369202947,0.753636608851302,-0.36707190927256,0.386564699578742,1885,514,27.2679045092838,0,0
"LR_S21","LR",0.0311012283551655,0.505476121266625,0.683335340659318,0.682465916817137,-0.344248616256198,0.338217300560938,1885,349,18.5145888594164,0,0
"LR_S30","LR",0.0561045620490503,0.45736080644884,0.639423848697636,0.616390444323027,-0.260573607977925,0.355816836345102,1885,173,9.17771883289125,0,0
